domainID,siteID,plotID,trapID,nlcdClass,decimalLatitude,decimalLongitude,elevation,MDS1,MDS2
D02,SCBI,SCBI_004,S,deciduousForest,38.896755,-78.146463,312.6,-1.608573816,-0.795026162
D02,SCBI,SCBI_004,N,deciduousForest,38.897115,-78.146448,312.6,-1.603498123,-1.098558045
D02,SCBI,SCBI_004,W,deciduousForest,38.896941,-78.146686,312.6,-1.493911159,-1.055559729
D02,SCBI,SCBI_004,E,deciduousForest,38.89693,-78.146225,312.6,-1.580441667,-1.095331589
D02,SCBI,SCBI_010,N,deciduousForest,38.884956,-78.125145,491.3,-1.652106872,-0.792404197
D02,SCBI,SCBI_010,W,deciduousForest,38.884782,-78.125382,491.3,-1.188899892,-0.689450411
D02,SCBI,SCBI_010,E,deciduousForest,38.884771,-78.124922,491.3,-1.469663514,-0.690572723
D02,SCBI,SCBI_007,S,deciduousForest,38.884735,-78.130303,409.1,-1.736473923,-0.705702522
D02,SCBI,SCBI_003,S,deciduousForest,38.883131,-78.120378,568.7,-1.758474954,-0.832825878
D02,SCBI,SCBI_003,N,deciduousForest,38.883491,-78.120363,568.7,-1.659040746,-0.846230377
D02,SCBI,SCBI_002,W,deciduousForest,38.895218,-78.142931,316.8,-1.316721657,-0.895455889
D02,SCBI,SCBI_005,N,deciduousForest,38.900719,-78.161852,269.8,-1.48692007,-1.130280376
D02,SCBI,SCBI_005,S,deciduousForest,38.900359,-78.161866,269.8,-1.408048991,-1.375259983
D02,SCBI,SCBI_005,W,deciduousForest,38.900545,-78.162089,269.8,-1.596134323,-1.149742637
D02,SCBI,SCBI_005,E,deciduousForest,38.900533,-78.161629,269.8,-1.824880167,-1.352496942
D02,SCBI,SCBI_033,S,pastureHay,38.888737,-78.161309,299.3,-1.113758996,-1.524934571
D02,SCBI,SCBI_012,W,pastureHay,38.889101,-78.169126,264.6,-1.570613864,-1.281613862
D02,SCBI,SCBI_012,E,pastureHay,38.88909,-78.168665,264.6,-1.141149144,-1.49852495
D02,SCBI,SCBI_012,N,pastureHay,38.889275,-78.168888,264.6,-1.033419497,-1.516109359
D02,SCBI,SCBI_008,N,deciduousForest,38.888091,-78.147126,367.5,-1.683545219,-0.862857343
D02,SCBI,SCBI_008,S,deciduousForest,38.887731,-78.147141,367.5,-1.495337291,-0.956758964
D02,SCBI,SCBI_008,E,deciduousForest,38.887906,-78.146903,367.5,-1.202984388,-1.393204635
D02,SCBI,SCBI_008,W,deciduousForest,38.887917,-78.147364,367.5,-1.716900614,-1.143091244
D02,SCBI,SCBI_002,N,deciduousForest,38.895392,-78.142693,316.8,-1.299488133,-0.950743599
D02,SCBI,SCBI_033,E,pastureHay,38.888911,-78.161072,299.3,-1.012612551,-0.850553907
D02,SCBI,SCBI_010,S,deciduousForest,38.884596,-78.125159,491.3,-1.388642303,-0.859720914
D02,SCBI,SCBI_007,E,deciduousForest,38.884909,-78.130066,409.1,-1.709999309,-0.795158432
D02,SCBI,SCBI_007,W,deciduousForest,38.88492,-78.130526,409.1,-1.755456016,-0.756128125
D02,SCBI,SCBI_003,E,deciduousForest,38.883305,-78.12014,568.7,-1.801210002,-0.884102973
D02,SCBI,SCBI_002,S,deciduousForest,38.895032,-78.142708,316.8,-1.348068411,-0.777511198
D02,SCBI,SCBI_007,N,deciduousForest,38.885095,-78.130289,409.1,-1.540129958,-0.904692967
D02,SCBI,SCBI_003,W,deciduousForest,38.883316,-78.120601,568.7,-1.562735254,-0.939325153
D02,SCBI,SCBI_002,E,deciduousForest,38.895206,-78.14247,316.8,-1.838609932,-0.980181836
D02,SCBI,SCBI_033,W,pastureHay,38.888922,-78.161532,299.3,-1.248684345,-1.568874592
D03,DSNY,DSNY_004,N,woodyWetlands,28.099914,-81.399971,17.2,0.983369052,1.824540286
D03,DSNY,DSNY_001,E,woodyWetlands,28.096699,-81.418374,19,-172.3270165,149.7494754
D03,DSNY,DSNY_021,W,pastureHay,28.052639,-81.393579,18.1,0.842829768,1.705740372
D03,DSNY,DSNY_006,S,woodyWetlands,28.092784,-81.399334,19,0.983369052,1.824540286
D03,DSNY,DSNY_005,N,woodyWetlands,28.039822,-81.393318,17.8,0.654526088,1.575518141
D03,DSNY,DSNY_021,N,pastureHay,28.05282,-81.393376,18.1,0.771222497,1.770491646
D03,DSNY,DSNY_016,N,pastureHay,28.044127,-81.393639,18,0.300685431,1.47029899
D03,DSNY,DSNY_016,E,pastureHay,28.043947,-81.393435,18,0.80913199,1.615531108
D03,DSNY,DSNY_007,N,woodyWetlands,28.053291,-81.417504,16.1,0.667609538,1.863448973
D03,DSNY,DSNY_007,S,woodyWetlands,28.05293,-81.417502,16.1,0.61503479,1.724287934
D03,DSNY,DSNY_003,S,woodyWetlands,28.074028,-81.425532,17.2,0.68885303,1.536518031
D03,DSNY,DSNY_003,E,woodyWetlands,28.07421,-81.425329,17.2,0.535745632,1.569478407
D03,DSNY,DSNY_002,S,woodyWetlands,28.048066,-81.416883,16,1.235376066,1.405840867
D03,DSNY,DSNY_002,N,woodyWetlands,28.048427,-81.416885,16,1.025154886,1.57704199
