domainID,siteID,plotID,trapID,collectDate,sampleID,taxonID,scientificName
D02,SCBI,SCBI_004,S,6/10/2014,SCBI_004.S.20140610,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_004,N,6/10/2014,SCBI_004.N.20140610,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_004,W,6/10/2014,SCBI_004.W.20140610,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_004,E,6/10/2014,SCBI_004.E.20140610,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_010,N,6/10/2014,SCBI_010.N.20140610,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_010,W,6/10/2014,SCBI_010.W.20140610,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_010,E,6/10/2014,SCBI_010.E.20140610,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_007,S,6/10/2014,SCBI_007.S.20140610,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_003,S,6/10/2014,SCBI_003.S.20140610,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_003,N,6/10/2014,SCBI_003.N.20140610,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_002,W,6/10/2014,SCBI_002.W.20140610,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_005,N,6/11/2014,SCBI_005.N.20140611,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_005,S,6/11/2014,SCBI_005.S.20140611,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_005,W,6/11/2014,SCBI_005.W.20140611,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_005,E,6/11/2014,SCBI_005.E.20140611,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_033,S,6/11/2014,SCBI_033.S.20140611,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_012,W,6/11/2014,SCBI_012.W.20140611,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_012,E,6/11/2014,SCBI_012.E.20140611,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_012,N,6/11/2014,SCBI_012.N.20140611,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_008,N,6/11/2014,SCBI_008.N.20140611,CHLEMA,Chlaenius emarginatus
D02,SCBI,SCBI_008,S,6/11/2014,SCBI_008.S.20140611,CHLEMA,Chlaenius emarginatus
D02,SCBI,SCBI_008,E,6/11/2014,SCBI_008.E.20140611,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_008,W,6/11/2014,SCBI_008.W.20140611,CHLEMA,Chlaenius emarginatus
D02,SCBI,SCBI_008,W,6/11/2014,SCBI_008.W.20140611,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_008,N,6/11/2014,SCBI_008.N.20140611,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_008,S,6/11/2014,SCBI_008.S.20140611,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_008,E,6/11/2014,SCBI_008.E.20140611,CHLEMA,Chlaenius emarginatus
D02,SCBI,SCBI_002,N,6/11/2014,SCBI_002.N.20140611,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_002,N,6/24/2014,SCBI_002.N.20140624,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_005,W,6/24/2014,SCBI_005.W.20140624,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_005,N,6/24/2014,SCBI_005.N.20140624,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_004,E,6/24/2014,SCBI_004.E.20140624,CHLEMA,Chlaenius emarginatus
D02,SCBI,SCBI_004,E,6/24/2014,SCBI_004.E.20140624,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_033,E,6/24/2014,SCBI_033.E.20140624,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_010,W,6/24/2014,SCBI_010.W.20140624,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_010,N,6/24/2014,SCBI_010.N.20140624,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_010,S,6/24/2014,SCBI_010.S.20140624,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_010,E,6/24/2014,SCBI_010.E.20140624,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_008,W,6/24/2014,SCBI_008.W.20140624,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_008,N,6/24/2014,SCBI_008.N.20140624,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_008,E,6/24/2014,SCBI_008.E.20140624,CHLAES,Chlaenius aestivus
D02,SCBI,SCBI_008,W,6/24/2014,SCBI_008.W.20140624,CHLEMA,Chlaenius emarginatus
