domainID,siteID,plotID,trapID,collectDate,processingDate,identifiedDate,sampleID,individualID,specimenSource,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,identificationReferences,identifiedBy,recordedBy,remarks,duplicateIndividualIDQF,individualCount,sampleType
D02,SCBI,SCBI_008,N,9/2/2014,10/6/2014,10/6/2014,SCBI_008.N.20140902.OC.01,NEON.BET.D02.000384,vial of pooled individuals,PTECOR1,Pterostichus coracinus,species,,Newman,,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,wYCqaZcA+7slXlj5N/mM6vobrh4QDptp,,0,1,other carabid
D07,ORNL,ORNL_027,N,8/25/2014,8/26/2014,1/8/2015,ORNL_027.N.20140825.OC.01,NEON.BET.D07.000267,vial of pooled individuals,CYCSOD2,Cyclotrachelus sodalis sodalis,subspecies,cf. species,LeConte,,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186",nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8,EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke,,0,1,other carabid
D07,ORNL,ORNL_027,W,9/8/2014,9/9/2014,1/8/2015,ORNL_027.W.20140908.OC.01,NEON.BET.D07.000266,vial of pooled individuals,CYCSOD2,Cyclotrachelus sodalis sodalis,subspecies,cf. species,LeConte,,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186",nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8,EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke,,0,1,other carabid
D10,CPER,CPER_004,N,8/14/2014,1/22/2015,1/26/2015,CPER_004.N.20140814.OC.01,NEON.BET.D10.001426,vial of pooled individuals,,,,,,D10.2014.MorphAB,NA,Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So,XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl,"similar to, or is, either Harpalus fuscipalpus or Harpalus carbonatus. ~10 mm long. Basal fovea more convex. Sparsely punctate. Posterior pronotal corners rounded but defined with small overlap onto elytra.",0,1,other carabid
D10,STER,STER_033,N,7/8/2014,2/6/2015,2/6/2015,STER_033.N.20140708.OC.01,NEON.BET.D10.001673,vial of pooled individuals,,,,,,D10.2014.MorphQ,NA,P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh,P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh,Little AMACAR. No ridge on lower edges of pronotum.,0,1,other carabid
D10,STER,STER_033,N,7/8/2014,2/6/2015,2/6/2015,STER_033.N.20140708.OC.01,NEON.BET.D10.001672,vial of pooled individuals,HARREV,Harpalus reversus,species,,Casey,,NA,P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh,P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh,,0,1,other carabid
D10,STER,STER_033,E,7/8/2014,2/10/2015,2/10/2015,STER_033.E.20140708.OC.01,NEON.BET.D10.001675,vial of pooled individuals,POESCI,Poecilus scitulus,species,,LeConte,,NA,P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh,P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh,,0,1,other carabid
D10,STER,STER_033,N,7/8/2014,2/6/2015,2/6/2015,STER_033.N.20140708.OC.01,NEON.BET.D10.001674,vial of pooled individuals,,,,,,D10.2014.MorphB,NA,P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh,P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh,approximately 5 mm in length. 2 orbital setae. pronotum with somewhat parallel sides. brassy iridescence overall. Could be Amara cupreolata or A. convexa,0,1,other carabid
D10,STER,STER_033,E,7/8/2014,2/10/2015,2/10/2015,STER_033.E.20140708.OC.01,NEON.BET.D10.001677,vial of pooled individuals,CALAFF1,Calosoma affine,species,,Chaudoir,,NA,P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh,P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh,,0,1,other carabid
D10,STER,STER_033,N,7/8/2014,2/6/2015,2/6/2015,STER_033.N.20140708.OC.01,NEON.BET.D10.001670,vial of pooled individuals,,,,,,D10.2014.MorphJ,NA,P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh,P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh,Could be Amara sp. approximately 10mm. bottom of pronotum has hook on it. brown color. Smaller than B,0,1,other carabid
D10,STER,STER_033,N,7/8/2014,2/6/2015,2/6/2015,STER_033.N.20140708.OC.01,NEON.BET.D10.001671,vial of pooled individuals,,,,,,D10.2014.MorphQ,NA,P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh,P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh,Little AMACAR. No ridge on lower edges of pronotum.,0,1,other carabid
D10,STER,STER_033,N,7/8/2014,2/6/2015,2/6/2015,STER_033.N.20140708.OC.01,NEON.BET.D10.001664,vial of pooled individuals,ANIRUS,Anisodactylus rusticus,species,,Say,,NA,P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh,P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh,,0,1,other carabid
D10,STER,STER_033,N,7/8/2014,2/6/2015,2/6/2015,STER_033.N.20140708.OC.01,NEON.BET.D10.001663,vial of pooled individuals,ANIRUS,Anisodactylus rusticus,species,,Say,,NA,P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh,P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh,,0,1,other carabid
D10,STER,STER_033,N,7/8/2014,2/6/2015,2/6/2015,STER_033.N.20140708.OC.01,NEON.BET.D10.001662,vial of pooled individuals,ANIRUS,Anisodactylus rusticus,species,,Say,,NA,P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh,P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh,,0,1,other carabid
D10,STER,STER_033,N,7/8/2014,2/5/2015,2/6/2015,STER_033.N.20140708.OC.01,NEON.BET.D10.001661,vial of pooled individuals,HARAMP1,Harpalus amputatus,species,,Say,,NA,P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh,P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh,,0,1,other carabid
