domainID,siteID,plotID,trapID,collectDate,etOHChangeDate,processingDate,identifiedDate,associatedSampleID,sampleID,targetTaxaPresent,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks,duplicateSampleIDQF
D01,BART,BART_002,S,7/10/2014,7/11/2014,7/11/2014,,BART_002.S.20140710.OC.01,,Y,other carabid,,,,NA,,NA,NA,NA,,IPTKIJlOlynEsXdNtjpcReVD3gBTCRSH,NA,0
D01,BART,BART_031,E,7/10/2014,7/11/2014,7/11/2014,,BART_031.E.20140710.OC.01,,Y,other carabid,,,,NA,,NA,NA,NA,,IPTKIJlOlynEsXdNtjpcReVD3gBTCRSH,NA,0
D01,BART,BART_031,N,7/10/2014,7/11/2014,7/11/2014,,BART_031.20140710.IB.01,BART_031.20140710.ib.01,N,invert bycatch,,,,NA,,NA,NA,NA,,IPTKIJlOlynEsXdNtjpcReVD3gBTCRSH,NA,0
D01,BART,BART_031,E,7/10/2014,7/11/2014,7/11/2014,7/11/2014,BART_031.E.20140710.PLECIN.01,BART_031.E.20140710.PLECIN.01,N,vert bycatch herp,PLECIN,Plethodon cinereus,species,NA,Green,NA,4,NA,5nSNnSHYvIu2L30FLkRVEImU5PGdjam1,IPTKIJlOlynEsXdNtjpcReVD3gBTCRSH,NA,0
D01,BART,BART_031,S,7/10/2014,7/11/2014,7/11/2014,,BART_031.S.20140710.OC.01,,Y,other carabid,,,,NA,,NA,NA,NA,,IPTKIJlOlynEsXdNtjpcReVD3gBTCRSH,NA,0
D01,BART,BART_068,W,7/10/2014,7/11/2014,7/11/2014,7/11/2014,BART_068.W.20140710.PLECIN.01,BART_068.W.20140710.PLECIN.01,N,vert bycatch herp,PLECIN,Plethodon cinereus,species,NA,Green,NA,1,NA,5nSNnSHYvIu2L30FLkRVEImU5PGdjam1,5nSNnSHYvIu2L30FLkRVEImU5PGdjam1,NA,0
D01,BART,BART_068,N,7/10/2014,7/11/2014,7/11/2014,,BART_068.20140710.IB.01,BART_068.20140710.ib.01,N,invert bycatch,,,,NA,,NA,NA,NA,,5nSNnSHYvIu2L30FLkRVEImU5PGdjam1,NA,0
D01,BART,BART_068,E,7/10/2014,7/11/2014,7/11/2014,,BART_068.E.20140710.OC.01,,Y,other carabid,,,,NA,,NA,NA,NA,,5nSNnSHYvIu2L30FLkRVEImU5PGdjam1,NA,0
D01,BART,BART_068,S,7/10/2014,7/11/2014,7/11/2014,,BART_068.S.20140710.OC.01,,Y,other carabid,,,,NA,,NA,NA,NA,,5nSNnSHYvIu2L30FLkRVEImU5PGdjam1,NA,0
D01,BART,BART_068,N,7/10/2014,7/11/2014,7/11/2014,,BART_068.N.20140710.OC.01,,Y,other carabid,,,,NA,,NA,NA,NA,,5nSNnSHYvIu2L30FLkRVEImU5PGdjam1,NA,0
D01,BART,BART_068,W,7/10/2014,7/11/2014,7/11/2014,,BART_068.W.20140710.OC.01,,Y,other carabid,,,,NA,,NA,NA,NA,,5nSNnSHYvIu2L30FLkRVEImU5PGdjam1,NA,0
D01,BART,BART_066,E,7/10/2014,7/11/2014,7/11/2014,,BART_066.E.20140710.OC.01,,Y,other carabid,,,,NA,,NA,NA,NA,,5nSNnSHYvIu2L30FLkRVEImU5PGdjam1,NA,0
D01,BART,BART_066,N,7/10/2014,7/11/2014,7/11/2014,,BART_066.20140710.IB.01,BART_066.20140710.ib.01,N,invert bycatch,,,,NA,,NA,NA,NA,,5nSNnSHYvIu2L30FLkRVEImU5PGdjam1,NA,0
D01,BART,BART_066,N,7/10/2014,7/11/2014,7/11/2014,,BART_066.N.20140710.OC.01,,Y,other carabid,,,,NA,,NA,NA,NA,,5nSNnSHYvIu2L30FLkRVEImU5PGdjam1,NA,0
D01,BART,BART_066,W,7/10/2014,7/11/2014,7/11/2014,,BART_066.W.20140710.OC.01,,Y,other carabid,,,,NA,,NA,NA,NA,,5nSNnSHYvIu2L30FLkRVEImU5PGdjam1,NA,0
D01,BART,BART_066,N,7/10/2014,7/11/2014,7/11/2014,7/11/2014,BART_066.N.20140710.PLECIN.01,BART_066.N.20140710.PLECIN.01,N,vert bycatch herp,PLECIN,Plethodon cinereus,species,NA,Green,NA,1,NA,5nSNnSHYvIu2L30FLkRVEImU5PGdjam1,5nSNnSHYvIu2L30FLkRVEImU5PGdjam1,NA,0
D01,BART,BART_028,W,7/10/2014,7/11/2014,7/11/2014,,BART_028.W.20140710.OC.01,,Y,other carabid,,,,NA,,NA,NA,NA,,IPTKIJlOlynEsXdNtjpcReVD3gBTCRSH,NA,0
D01,BART,BART_028,N,7/10/2014,7/11/2014,7/11/2014,,BART_028.N.20140710.OC.01,,Y,other carabid,,,,NA,,NA,NA,NA,,IPTKIJlOlynEsXdNtjpcReVD3gBTCRSH,NA,0
D01,BART,BART_028,N,7/10/2014,7/11/2014,7/11/2014,,BART_028.20140710.IB.01,BART_028.20140710.ib.01,N,invert bycatch,,,,NA,,NA,NA,NA,,IPTKIJlOlynEsXdNtjpcReVD3gBTCRSH,NA,0
D01,BART,BART_028,S,7/10/2014,7/11/2014,7/11/2014,,BART_028.S.20140710.OC.01,,Y,other carabid,,,,NA,,NA,NA,NA,,IPTKIJlOlynEsXdNtjpcReVD3gBTCRSH,NA,0
D01,BART,BART_028,E,7/10/2014,7/11/2014,7/11/2014,,BART_028.E.20140710.OC.01,,Y,other carabid,,,,NA,,NA,NA,NA,,IPTKIJlOlynEsXdNtjpcReVD3gBTCRSH,NA,0
D01,BART,BART_025,N,7/10/2014,7/25/2014,7/25/2014,,BART_025.20140710.IB.01,BART_025.20140710.ib.01,N,invert bycatch,,,,NA,,NA,NA,NA,,Sikrq0vhwvQkgp88jX4iHJSBncPL0qND,NA,2
D01,BART,BART_025,E,7/10/2014,7/11/2014,7/11/2014,,BART_025.E.20140710.OC.01,,Y,other carabid,,,,NA,,NA,NA,NA,,5nSNnSHYvIu2L30FLkRVEImU5PGdjam1,NA,0
D01,BART,BART_025,S,7/10/2014,7/11/2014,7/11/2014,,BART_025.S.20140710.OC.01,,Y,other carabid,,,,NA,,NA,NA,NA,,5nSNnSHYvIu2L30FLkRVEImU5PGdjam1,NA,0
D01,BART,BART_025,W,7/10/2014,7/11/2014,7/11/2014,,BART_025.W.20140710.OC.01,,Y,other carabid,,,,NA,,NA,NA,NA,,5nSNnSHYvIu2L30FLkRVEImU5PGdjam1,NA,0
