uid,domainID,siteID,plotID,trapID,collectDate,processingDate,identifiedDate,sampleID,individualID,specimenSource,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,identificationReferences,identifiedBy,recordedBy,remarks,duplicateIndividualIDQF
FE9182F0219E4F86B7EBB11AC0CDB3B5,D01,BART,BART_025,W,7/10/2014,7/11/2014,10/7/2014,BART_025.W.20140710.oc,NEON.BET.D01.000741,vial of pooled individuals,PTEADO,Pterostichus adoxus,species,cf. species,Say,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,o4x/pCw14pnPs7REA1xyRDUo767y8AEN,,0
2EC071B16A1447A0969C5F8A30703AC6,D01,BART,BART_025,W,7/10/2014,7/11/2014,10/3/2014,BART_025.W.20140710.oc,NEON.BET.D01.000768,vial of pooled individuals,PTEROS,Pterostichus rostratus,species,,Newman,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,o4x/pCw14pnPs7REA1xyRDUo767y8AEN,,0
ABFB156CE838491ABAC8D32BB6C9BE0B,D01,BART,BART_025,E,7/10/2014,7/11/2014,9/30/2014,BART_025.E.20140710.oc,NEON.BET.D01.000579,vial of pooled individuals,SPHSTE3,Sphaeroderus stenostomus,species,,Weber,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,CfLPtGPs9A+xSnAnpCSzYKbyeN/rvFBV,,0
9F63D5A9F8084438AC586751D1AFEE64,D01,BART,BART_025,W,7/10/2014,7/11/2014,10/14/2014,BART_025.W.20140710.oc,NEON.BET.D01.001586,vial of pooled individuals,SYNIMP,Synuchus impunctatus,species,,Say,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",o4x/pCw14pnPs7REA1xyRDUo767y8AEN,4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,,0
DF2575F8A6CB42F7A5A76BB7C363084C,D01,BART,BART_025,N,7/10/2014,7/11/2014,10/9/2014,BART_025.N.20140710.oc,NEON.BET.D01.001316,vial of pooled individuals,CYMNEG,Cymindis neglecta,species,,Haldeman,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,o4x/pCw14pnPs7REA1xyRDUo767y8AEN,,0
E22D4EFCD1BD4BE2AE6483A6B66BDAF6,D01,BART,BART_025,N,7/10/2014,7/11/2014,10/8/2014,BART_025.N.20140710.oc,NEON.BET.D01.001131,vial of pooled individuals,SYNIMP,Synuchus impunctatus,species,,Say,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,o4x/pCw14pnPs7REA1xyRDUo767y8AEN,,0
9837F2C8865045998E3B810E49D83275,D01,BART,BART_002,S,7/10/2014,7/11/2014,10/7/2014,BART_002.S.20140710.oc,NEON.BET.D01.000823,vial of pooled individuals,PTEADO,Pterostichus adoxus,species,,Say,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,CfLPtGPs9A+xSnAnpCSzYKbyeN/rvFBV,,0
2455458FCB4B4BEC9C52E187EE735538,D01,BART,BART_002,N,7/10/2014,7/11/2014,10/3/2014,BART_002.N.20140710.oc,NEON.BET.D01.000857,vial of pooled individuals,PTEROS,Pterostichus rostratus,species,,Newman,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,CfLPtGPs9A+xSnAnpCSzYKbyeN/rvFBV,,0
7EB5926C3920411982988C16322F23C0,D01,BART,BART_025,N,7/10/2014,7/11/2014,10/7/2014,BART_025.N.20140710.oc,NEON.BET.D01.000955,vial of pooled individuals,PTEADO,Pterostichus adoxus,species,cf. species,Say,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,o4x/pCw14pnPs7REA1xyRDUo767y8AEN,,0
C03DC08D6B5148598AA10D7B6784C4C3,D01,BART,BART_025,N,7/10/2014,7/11/2014,10/8/2014,BART_025.N.20140710.oc,NEON.BET.D01.001177,vial of pooled individuals,SYNIMP,Synuchus impunctatus,species,,Say,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,o4x/pCw14pnPs7REA1xyRDUo767y8AEN,,0
3BD55C0C9A2A47C2AE4214317CA92AF6,D01,BART,BART_025,N,7/10/2014,7/11/2014,10/8/2014,BART_025.N.20140710.oc,NEON.BET.D01.001165,vial of pooled individuals,SYNIMP,Synuchus impunctatus,species,,Say,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,o4x/pCw14pnPs7REA1xyRDUo767y8AEN,,0
DA856B64E2494078A9EADE1A3F97F5E7,D01,BART,BART_025,W,7/10/2014,7/11/2014,10/3/2014,BART_025.W.20140710.oc,NEON.BET.D01.000906,vial of pooled individuals,PTEROS,Pterostichus rostratus,species,,Newman,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,o4x/pCw14pnPs7REA1xyRDUo767y8AEN,,0
27260AB402FF43ACA27D36E5088AF6AF,D01,BART,BART_025,S,7/10/2014,7/11/2014,10/3/2014,BART_025.S.20140710.oc,NEON.BET.D01.000809,vial of pooled individuals,PTEROS,Pterostichus rostratus,species,,Newman,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,o4x/pCw14pnPs7REA1xyRDUo767y8AEN,,0
06A920D888814AF9BD470CB9EF6A27A1,D01,BART,BART_025,N,7/10/2014,7/11/2014,10/8/2014,BART_025.N.20140710.oc,NEON.BET.D01.001146,vial of pooled individuals,SYNIMP,Synuchus impunctatus,species,,Say,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,o4x/pCw14pnPs7REA1xyRDUo767y8AEN,,0
A0B0E68402F54F80B63B1E7C65D015C3,D01,BART,BART_025,N,7/10/2014,7/11/2014,10/3/2014,BART_025.N.20140710.oc,NEON.BET.D01.000875,vial of pooled individuals,PTEROS,Pterostichus rostratus,species,,Newman,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,o4x/pCw14pnPs7REA1xyRDUo767y8AEN,,0
BFF0E573D9E34770B969762A9C6041D1,D01,BART,BART_025,S,7/10/2014,7/11/2014,10/9/2014,BART_025.S.20140710.oc,NEON.BET.D01.001244,vial of pooled individuals,CALING,Calathus ingratus,species,,Dejean,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",o4x/pCw14pnPs7REA1xyRDUo767y8AEN,4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,,0
684C231DFA954A86B8CEE842DC26DFEC,D01,BART,BART_025,S,7/10/2014,7/11/2014,9/29/2014,BART_025.S.20140710.oc,NEON.BET.D01.000483,vial of pooled individuals,SPHCAN1,Sphaeroderus canadensis canadensis,subspecies,,Chaudoir,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,CfLPtGPs9A+xSnAnpCSzYKbyeN/rvFBV,,0
1252DDBB9CCA454094FC48B12147A50F,D01,BART,BART_025,N,7/10/2014,7/11/2014,9/29/2014,BART_025.N.20140710.oc,NEON.BET.D01.000448,vial of pooled individuals,SPHCAN1,Sphaeroderus canadensis canadensis,subspecies,,Chaudoir,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,CfLPtGPs9A+xSnAnpCSzYKbyeN/rvFBV,,0
A0A4F15320C645DC9872905B3A55232D,D01,BART,BART_025,N,7/10/2014,7/11/2014,10/8/2014,BART_025.N.20140710.oc,NEON.BET.D01.001096,vial of pooled individuals,PTECOR1,Pterostichus coracinus,species,,Newman,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,o4x/pCw14pnPs7REA1xyRDUo767y8AEN,,0
2CBF4345048445AA92B4E4A4BAB3385E,D01,BART,BART_025,W,7/10/2014,7/11/2014,10/3/2014,BART_025.W.20140710.oc,NEON.BET.D01.000945,vial of pooled individuals,PTEROS,Pterostichus rostratus,species,,Newman,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,o4x/pCw14pnPs7REA1xyRDUo767y8AEN,,0
F7EE7C40D3DF4F7BA0C158D6353FE5CE,D01,BART,BART_025,N,7/10/2014,7/11/2014,10/9/2014,BART_025.N.20140710.oc,NEON.BET.D01.001397,vial of pooled individuals,CALING,Calathus ingratus,species,,Dejean,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",o4x/pCw14pnPs7REA1xyRDUo767y8AEN,4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,,0
F3420663DCBD46EDA5B94C54B66FE437,D01,BART,BART_028,N,7/10/2014,7/11/2014,9/30/2014,BART_028.N.20140710.oc,NEON.BET.D01.000562,vial of pooled individuals,SPHSTE3,Sphaeroderus stenostomus,species,,Weber,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",o4x/pCw14pnPs7REA1xyRDUo767y8AEN,4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,,0
B217B8DBE163477087DA5FC9A49A2402,D01,BART,BART_028,S,7/10/2014,7/11/2014,10/8/2014,BART_028.S.20140710.oc,NEON.BET.D01.001051,vial of pooled individuals,PTEPEN,Pterostichus pensylvanicus,species,,LeConte,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,,0
68B6CB69474E43528E681641BB3825CF,D01,BART,BART_028,W,7/10/2014,7/11/2014,10/7/2014,BART_028.W.20140710.oc,NEON.BET.D01.000923,vial of pooled individuals,PTEADO,Pterostichus adoxus,species,cf. species,Say,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,,0
22F23272BBAA494185A8DE7A7114B19C,D01,BART,BART_028,S,7/10/2014,7/11/2014,10/8/2014,BART_028.S.20140710.oc,NEON.BET.D01.001196,vial of pooled individuals,SYNIMP,Synuchus impunctatus,species,,Say,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",XBWa+3GMw2VPDBGMEaTC+eMrNADD06Q4,4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,,0
12ED9C472585400385B0FBFBF35921E3,D01,BART,BART_028,S,7/10/2014,7/11/2014,10/9/2014,BART_028.S.20140710.oc,NEON.BET.D01.001188,vial of pooled individuals,CYMNEG,Cymindis neglecta,species,,Haldeman,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",o4x/pCw14pnPs7REA1xyRDUo767y8AEN,4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,,0
BEB8A33B9C9D48C6A90CBE2789A60B57,D01,BART,BART_028,E,7/10/2014,7/11/2014,10/9/2014,BART_028.E.20140710.oc,NEON.BET.D01.001271,vial of pooled individuals,AGORET,Agonum retractum,species,,LeConte,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",o4x/pCw14pnPs7REA1xyRDUo767y8AEN,4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,,0
52B8E20BB589400E8B2746D8F770EE40,D01,BART,BART_028,S,7/10/2014,7/11/2014,10/9/2014,BART_028.S.20140710.oc,NEON.BET.D01.001274,vial of pooled individuals,SYNIMP,Synuchus impunctatus,species,,Say,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",o4x/pCw14pnPs7REA1xyRDUo767y8AEN,4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,,0
0CED89C4F2B948DB87CD62C969CB3C38,D01,BART,BART_028,S,7/10/2014,7/11/2014,10/3/2014,BART_028.S.20140710.oc,NEON.BET.D01.000831,vial of pooled individuals,PTEROS,Pterostichus rostratus,species,,Newman,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",o4x/pCw14pnPs7REA1xyRDUo767y8AEN,4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,,0
5F7A6B9E893C4119B99071477268A56E,D01,BART,BART_028,S,7/10/2014,7/11/2014,10/9/2014,BART_028.S.20140710.oc,NEON.BET.D01.001154,vial of pooled individuals,CYMNEG,Cymindis neglecta,species,,Haldeman,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",o4x/pCw14pnPs7REA1xyRDUo767y8AEN,4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,,0
8CF79A32071549658188E7D661D643EE,D01,BART,BART_028,E,7/10/2014,7/11/2014,10/9/2014,BART_028.E.20140710.oc,NEON.BET.D01.001284,vial of pooled individuals,AGORET,Agonum retractum,species,,LeConte,,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.",o4x/pCw14pnPs7REA1xyRDUo767y8AEN,4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m,,0
