"uid","domainID","siteID","plotID","trapID","collectDate","etOHChangeDate","processingDate","identifiedDate","associatedSampleID","sampleID","targetTaxaPresent","sampleType","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","individualCount","identificationReferences","identifiedBy","recordedBy","remarks","duplicateSampleIDQF"
"DBA1F10BD7204920B3F03251770EF4A5","D01","BART","BART_002","S","2014-07-10","2014-07-11","2014-07-11",,"BART_002.S.20140710.oc.01",,"Y","other carabid",,,,,,,,,,"IPTKIJlOlynEsXdNtjpcReVD3gBTCRSH",,0
"76187F4115D149979A412F020B4EE1B3","D01","BART","BART_031","E","2014-07-10","2014-07-11","2014-07-11",,"BART_031.E.20140710.oc.01",,"Y","other carabid",,,,,,,,,,"IPTKIJlOlynEsXdNtjpcReVD3gBTCRSH",,0
"47588191FBC74BB5AA86257DFAADE8FF","D01","BART","BART_031","N","2014-07-10","2014-07-11","2014-07-11",,"BART_031.20140710.ib.01","BART_031.20140710.ib.01","N","invert bycatch",,,,,,,,,,"IPTKIJlOlynEsXdNtjpcReVD3gBTCRSH",,0
"63150806ECF4410490DA135AA4C73517","D01","BART","BART_031","E","2014-07-10","2014-07-11","2014-07-11","2014-07-11","BART_031.E.20140710.PLECIN.01","BART_031.E.20140710.PLECIN.01","N","vert bycatch herp","PLECIN","Plethodon cinereus","species",,"Green",,4,,"5nSNnSHYvIu2L30FLkRVEImU5PGdjam1","IPTKIJlOlynEsXdNtjpcReVD3gBTCRSH",,0
"B6AEBDB813B6426EA3709B59183CE8A6","D01","BART","BART_031","S","2014-07-10","2014-07-11","2014-07-11",,"BART_031.S.20140710.oc.01",,"Y","other carabid",,,,,,,,,,"IPTKIJlOlynEsXdNtjpcReVD3gBTCRSH",,0
"C8076DF1C234412C8840E66B4037E847","D01","BART","BART_068","W","2014-07-10","2014-07-11","2014-07-11","2014-07-11","BART_068.W.20140710.PLECIN.01","BART_068.W.20140710.PLECIN.01","N","vert bycatch herp","PLECIN","Plethodon cinereus","species",,"Green",,1,,"5nSNnSHYvIu2L30FLkRVEImU5PGdjam1","5nSNnSHYvIu2L30FLkRVEImU5PGdjam1",,0
"EB00F274C52B491AB522433BB34841DE","D01","BART","BART_068","N","2014-07-10","2014-07-11","2014-07-11",,"BART_068.20140710.ib.01","BART_068.20140710.ib.01","N","invert bycatch",,,,,,,,,,"5nSNnSHYvIu2L30FLkRVEImU5PGdjam1",,0
"C0887BC2482A4865BC98ED80C1CE5322","D01","BART","BART_068","E","2014-07-10","2014-07-11","2014-07-11",,"BART_068.E.20140710.oc.01",,"Y","other carabid",,,,,,,,,,"5nSNnSHYvIu2L30FLkRVEImU5PGdjam1",,0
"B9174AC4B6A140C1ADE3D2185E65771F","D01","BART","BART_068","S","2014-07-10","2014-07-11","2014-07-11",,"BART_068.S.20140710.oc.01",,"Y","other carabid",,,,,,,,,,"5nSNnSHYvIu2L30FLkRVEImU5PGdjam1",,0
"82EF52E732824EB096C93B810EEED8EC","D01","BART","BART_068","N","2014-07-10","2014-07-11","2014-07-11",,"BART_068.N.20140710.oc.01",,"Y","other carabid",,,,,,,,,,"5nSNnSHYvIu2L30FLkRVEImU5PGdjam1",,0
"9BD51AB02F4042BBA99801FB9EA5734B","D01","BART","BART_068","W","2014-07-10","2014-07-11","2014-07-11",,"BART_068.W.20140710.oc.01",,"Y","other carabid",,,,,,,,,,"5nSNnSHYvIu2L30FLkRVEImU5PGdjam1",,0
"2C65877E83C64224A0DAF5BEF730D92B","D01","BART","BART_066","E","2014-07-10","2014-07-11","2014-07-11",,"BART_066.E.20140710.oc.01",,"Y","other carabid",,,,,,,,,,"5nSNnSHYvIu2L30FLkRVEImU5PGdjam1",,0
"78A149C1CBD24BB9BF735591AF34167B","D01","BART","BART_066","N","2014-07-10","2014-07-11","2014-07-11",,"BART_066.20140710.ib.01","BART_066.20140710.ib.01","N","invert bycatch",,,,,,,,,,"5nSNnSHYvIu2L30FLkRVEImU5PGdjam1",,0
"E2767C655D45487E9B9950E4A932BE5D","D01","BART","BART_066","N","2014-07-10","2014-07-11","2014-07-11",,"BART_066.N.20140710.oc.01",,"Y","other carabid",,,,,,,,,,"5nSNnSHYvIu2L30FLkRVEImU5PGdjam1",,0
"EB5DCE411649408B8AEA1DDA4D682968","D01","BART","BART_066","W","2014-07-10","2014-07-11","2014-07-11",,"BART_066.W.20140710.oc.01",,"Y","other carabid",,,,,,,,,,"5nSNnSHYvIu2L30FLkRVEImU5PGdjam1",,0
"9152DB6CF7D44249B43F094C01FF5EC2","D01","BART","BART_066","N","2014-07-10","2014-07-11","2014-07-11","2014-07-11","BART_066.N.20140710.PLECIN.01","BART_066.N.20140710.PLECIN.01","N","vert bycatch herp","PLECIN","Plethodon cinereus","species",,"Green",,1,,"5nSNnSHYvIu2L30FLkRVEImU5PGdjam1","5nSNnSHYvIu2L30FLkRVEImU5PGdjam1",,0
"66E3DB6515614DA18D4363BCAEDAB390","D01","BART","BART_028","W","2014-07-10","2014-07-11","2014-07-11",,"BART_028.W.20140710.oc.01",,"Y","other carabid",,,,,,,,,,"IPTKIJlOlynEsXdNtjpcReVD3gBTCRSH",,0
"682E0FCF8FE34A268B540148E4DB0CB8","D01","BART","BART_028","N","2014-07-10","2014-07-11","2014-07-11",,"BART_028.N.20140710.oc.01",,"Y","other carabid",,,,,,,,,,"IPTKIJlOlynEsXdNtjpcReVD3gBTCRSH",,0
"D0910429613B42DFBF6C5832F8083B0E","D01","BART","BART_028","N","2014-07-10","2014-07-11","2014-07-11",,"BART_028.20140710.ib.01","BART_028.20140710.ib.01","N","invert bycatch",,,,,,,,,,"IPTKIJlOlynEsXdNtjpcReVD3gBTCRSH",,0
"13BCBA1037ED41F182556022A5630BDC","D01","BART","BART_028","S","2014-07-10","2014-07-11","2014-07-11",,"BART_028.S.20140710.oc.01",,"Y","other carabid",,,,,,,,,,"IPTKIJlOlynEsXdNtjpcReVD3gBTCRSH",,0
"27AEE8F8A2654E29A923D38C1116A828","D01","BART","BART_028","E","2014-07-10","2014-07-11","2014-07-11",,"BART_028.E.20140710.oc.01",,"Y","other carabid",,,,,,,,,,"IPTKIJlOlynEsXdNtjpcReVD3gBTCRSH",,0
"4300DC2C74734C1BB7D79BA0CC04351A","D01","BART","BART_025","N","2014-07-10","2014-07-25","2014-07-25",,"BART_025.20140710.ib.01","BART_025.20140710.ib.01","N","invert bycatch",,,,,,,,,,"Sikrq0vhwvQkgp88jX4iHJSBncPL0qND",,2
"6AD48DBE054E4B57889089AACC531CD1","D01","BART","BART_025","N","2014-07-10","2014-07-11","2014-07-11",,"BART_025.20140710.ib.01","BART_025.20140710.ib.01","N","invert bycatch",,,,,,,,,,"5nSNnSHYvIu2L30FLkRVEImU5PGdjam1",,2
"00C69A7AB9E14596BDB99CFC6BD5F870","D01","BART","BART_025","E","2014-07-10","2014-07-11","2014-07-11",,"BART_025.E.20140710.oc.01",,"Y","other carabid",,,,,,,,,,"5nSNnSHYvIu2L30FLkRVEImU5PGdjam1",,0
"078E0DD4FC824460A694E38E5DC3E262","D01","BART","BART_025","S","2014-07-10","2014-07-11","2014-07-11",,"BART_025.S.20140710.oc.01",,"Y","other carabid",,,,,,,,,,"5nSNnSHYvIu2L30FLkRVEImU5PGdjam1",,0
"4B875A85638342E3AE72EC243AEED0DD","D01","BART","BART_025","W","2014-07-10","2014-07-11","2014-07-11",,"BART_025.W.20140710.oc.01",,"Y","other carabid",,,,,,,,,,"5nSNnSHYvIu2L30FLkRVEImU5PGdjam1",,0
"DB32458013EF4BE6974D06B89E5E7724","D01","BART","BART_025","N","2014-07-10","2014-07-11","2014-07-11",,"BART_025.N.20140710.oc.01",,"Y","other carabid",,,,,,,,,,"5nSNnSHYvIu2L30FLkRVEImU5PGdjam1",,0
"BB2CF734F80440D883049E5805E6D255","D01","BART","BART_002","N","2014-07-10","2014-07-11","2014-07-11",,"BART_002.N.20140710.oc.01",,"Y","other carabid",,,,,,,,,,"IPTKIJlOlynEsXdNtjpcReVD3gBTCRSH",,0
"920125E78B3142CD99532346C0605809","D01","BART","BART_002","N","2014-07-10","2014-07-11","2014-07-11",,"BART_002.20140710.ib.01","BART_002.20140710.ib.01","N","invert bycatch",,,,,,,,,,"IPTKIJlOlynEsXdNtjpcReVD3gBTCRSH",,0
"8D21C2D6D0E946F6B18BE4054EA242C2","D01","BART","BART_002","N","2014-07-24","2014-07-25","2014-07-25","2014-07-25","BART_002.N.20140724.PLECIN.01","BART_002.N.20140724.PLECIN.01","N","vert bycatch herp","PLECIN","Plethodon cinereus","species",,"Green",,1,,"bx2IzDOX0PRWxL2qYNwW0cIx2hiD7oH8","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,0
"E24F677A1D834AC8806F6D4A59AD5E96","D01","BART","BART_031","S","2014-07-24","2014-07-25","2014-07-25","2014-07-25","BART_031.S.20140724.PLECIN.01","BART_031.S.20140724.PLECIN.01","N","vert bycatch herp","PLECIN","Plethodon cinereus","species",,"Green",,1,,"Py+ZzXoQAhNiZLMUhePVy0KW1AyjvubF","Sikrq0vhwvQkgp88jX4iHJSBncPL0qND",,0
"659B2F3DB19D4377B45990D1C5C108D3","D01","BART","BART_031","N","2014-07-24","2014-07-25","2014-07-25",,"BART_031.N.20140724.oc.01",,"Y","other carabid",,,,,,,,,,"Sikrq0vhwvQkgp88jX4iHJSBncPL0qND",,0
"44405627431947938381604F459DD8C6","D01","BART","BART_031","N","2014-07-24","2014-07-25","2014-07-25",,"BART_031.20140724.ib.01","BART_031.20140724.ib.01","N","invert bycatch",,,,,,,,,,"Sikrq0vhwvQkgp88jX4iHJSBncPL0qND",,0
"D3DA3DA3A9CB4FFD93157CC92F034036","D01","BART","BART_031","E","2014-07-24","2014-07-25","2014-07-25",,"BART_031.E.20140724.oc.01",,"Y","other carabid",,,,,,,,,,"Sikrq0vhwvQkgp88jX4iHJSBncPL0qND",,0
"9080D5D972F94380AD1B2A760D8EF6AC","D01","BART","BART_031","S","2014-07-24","2014-07-25","2014-07-25",,"BART_031.S.20140724.oc.01",,"Y","other carabid",,,,,,,,,,"Sikrq0vhwvQkgp88jX4iHJSBncPL0qND",,0
"B03977DA56FF48FDA62DAE71827D7480","D01","BART","BART_068","N","2014-07-24","2014-07-25","2014-07-25",,"BART_068.N.20140724.oc.01",,"Y","other carabid",,,,,,,,,,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,0
"4855DF9968A845D391C8881C9BB32C5C","D01","BART","BART_068","E","2014-07-24","2014-07-25","2014-07-25",,"BART_068.E.20140724.oc.01",,"Y","other carabid",,,,,,,,,,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,0
"DB84A05980314DE794D929D77AC6DDAA","D01","BART","BART_068","N","2014-07-24","2014-07-25","2014-07-25",,"BART_068.20140724.ib.01","BART_068.20140724.ib.01","N","invert bycatch",,,,,,,,,,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,0
"B3A16403935841168669B7F78B457CCE","D01","BART","BART_068","S","2014-07-24","2014-07-25","2014-07-25",,"BART_068.S.20140724.oc.01",,"Y","other carabid",,,,,,,,,,"FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT",,0
