"uid","domainID","siteID","plotID","trapID","collectDate","processingDate","identifiedDate","sampleID","individualID","specimenSource","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","identificationReferences","identifiedBy","recordedBy","remarks","duplicateIndividualIDQF"
"C8CB290C6172458A85E2555ABA32C315","D01","HARV","HARV_001","E","2014-05-20","2014-05-21","2014-10-08","HARV_001.E.20140520.oc","NEON.BET.D01.001010","vial of pooled individuals","PTEPEN","Pterostichus pensylvanicus","species",,"LeConte",,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.","XBWa+3GMw2VPDBGMEaTC+eMrNADD06Q4","4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m",,0
"A6721ACE32904C74A847EE993F7FC71F","D01","HARV","HARV_022","W","2014-05-20","2014-05-21","2014-09-30","HARV_022.W.20140520.oc","NEON.BET.D01.000517","vial of pooled individuals","SPHSTE3","Sphaeroderus stenostomus","species",,"Weber",,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.","4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m","XBWa+3GMw2VPDBGMEaTC+eMrNADD06Q4",,0
"FAA92329D719446591DC49D74A72BA57","D01","HARV","HARV_022","N","2014-05-20","2014-05-21","2014-10-08","HARV_022.N.20140520.oc","NEON.BET.D01.000993","vial of pooled individuals","PTEPEN","Pterostichus pensylvanicus","species",,"LeConte",,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.","4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m","XBWa+3GMw2VPDBGMEaTC+eMrNADD06Q4",,0
"5CE381EB098445AAB9A3B6C5E859F63A","D01","HARV","HARV_022","W","2014-05-20","2014-05-21","2014-09-29","HARV_022.W.20140520.oc","NEON.BET.D01.000491","vial of pooled individuals","NOTAEN","Notiophilus aeneus","species",,"Herbst",,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.","4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m","XBWa+3GMw2VPDBGMEaTC+eMrNADD06Q4",,0
"FF1EBBE96D4945CB9E61226A7C5DBFEA","D01","HARV","HARV_022","N","2014-05-20","2014-05-21","2014-10-01","HARV_022.N.20140520.oc","NEON.BET.D01.000649","vial of pooled individuals","CARGOR","Carabus goryi","species",,"Dejean",,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.","4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m","XBWa+3GMw2VPDBGMEaTC+eMrNADD06Q4",,0
"506C7221773D41A8AA8EB1AF6D748D22","D01","HARV","HARV_022","N","2014-05-20","2014-05-21","2014-10-03","HARV_022.N.20140520.oc","NEON.BET.D01.000966","vial of pooled individuals","PTEMUT2","Pterostichus mutus","species",,"Say",,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.","4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m","XBWa+3GMw2VPDBGMEaTC+eMrNADD06Q4",,0
"132FDCB56F9E448CA840EE40EC801C3F","D01","HARV","HARV_022","N","2014-05-20","2014-05-21","2014-10-08","HARV_022.N.20140520.oc","NEON.BET.D01.001028","vial of pooled individuals","PTEPEN","Pterostichus pensylvanicus","species",,"LeConte",,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.","4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m","XBWa+3GMw2VPDBGMEaTC+eMrNADD06Q4",,0
"37F45028A89546DD9DBD50852A800B61","D01","HARV","HARV_022","E","2014-05-20","2014-05-21","2014-09-29","HARV_022.E.20140520.oc","NEON.BET.D01.000473","vial of pooled individuals","SPHCAN1","Sphaeroderus canadensis canadensis","subspecies",,"Chaudoir",,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.","4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m","XBWa+3GMw2VPDBGMEaTC+eMrNADD06Q4",,0
"B6E95E53D799484AB020E94414111F8B","D01","HARV","HARV_022","N","2014-05-20","2014-05-21","2014-10-08","HARV_022.N.20140520.oc","NEON.BET.D01.001011","vial of pooled individuals","PTEPEN","Pterostichus pensylvanicus","species",,"LeConte",,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.","4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m","XBWa+3GMw2VPDBGMEaTC+eMrNADD06Q4",,0
"86848E88C09A4404B8077A96C0C65EE7","D01","HARV","HARV_021","S","2014-05-20","2014-05-21","2014-10-08","HARV_021.S.20140520.oc","NEON.BET.D01.000999","vial of pooled individuals","PTEPEN","Pterostichus pensylvanicus","species",,"LeConte",,"Lindroth C.H., 1969.  The Ground Beetles of Canada and Alaska; Parts 1-6.  Opuscula Entomol. Suppl. 20; 24; 29; 33; 34.","4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m","XBWa+3GMw2VPDBGMEaTC+eMrNADD06Q4",,0
