"uid","domainID","siteID","plotID","trapID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDate","collectDate","boutNumber","eventID","sampleID","daysOfTrapping","cupStatus","lidStatus","fluidLevel","trapReset","samplingProtocol","recordedBy","remarks","missingRecordsPerBoutQF","duplicateCollectionEventQF","compareSetCollectDateQF"
"3282D2A4C5AE409E94267043F56538E8","D01","HARV","HARV_001","E","deciduousForest",42.424264,-72.258046,"WGS84",,191.5,,"2014-05-06","2014-05-20",1,"BET.HARV_001.2014.01","HARV_001.E.20140520",14,"ok","ok","ok","Y","NEON.DOC.014050","4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m","1 red-back salamander in East trap.",0,0,0
"92C2887BEB9C4989A850E8FBE499A819","D01","HARV","HARV_022","E","evergreenForest",42.434171,-72.198534,"WGS84",,188.8,,"2014-05-06","2014-05-20",1,"BET.HARV_022.2014.01","HARV_022.E.20140520",14,"ok","ok","ok","Y","NEON.DOC.014050","4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m",,0,0,0
"CB13B86E4F7548CE855663D02F735C65","D01","HARV","HARV_022","N","evergreenForest",42.434356,-72.198769,"WGS84",,188.8,,"2014-05-06","2014-05-20",1,"BET.HARV_022.2014.01","HARV_022.N.20140520",14,"ok","ok","ok","Y","NEON.DOC.014050","4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m",,0,0,0
"AF63BE40B04A46D7851F0C1D6C026BBA","D01","HARV","HARV_022","W","evergreenForest",42.434182,-72.199020,"WGS84",,188.8,,"2014-05-06","2014-05-20",1,"BET.HARV_022.2014.01","HARV_022.W.20140520",14,"ok","ok","ok","Y","NEON.DOC.014050","4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m",,0,0,0
"EDEA87EC423F4356897FC67D9EBCB30C","D01","HARV","HARV_022","S","evergreenForest",42.433997,-72.198785,"WGS84",,188.8,,"2014-05-06","2014-05-20",1,"BET.HARV_022.2014.01","HARV_022.S.20140520",14,"ok","ok","ok","Y","NEON.DOC.014050","4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m",,0,0,0
"9B4F8A49AAD249EAA000EDF8BDA6AD53","D01","HARV","HARV_021","N","evergreenForest",42.452629,-72.250485,"WGS84",,213.7,,"2014-05-06","2014-05-20",1,"BET.HARV_021.2014.01","HARV_021.N.20140520",14,"ok","ok","ok","Y","NEON.DOC.014050","4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m",,0,0,0
"05E768167BCD491ABF6EF96572DB60E8","D01","HARV","HARV_021","E","evergreenForest",42.452443,-72.250250,"WGS84",,213.7,,"2014-05-06","2014-05-20",1,"BET.HARV_021.2014.01","HARV_021.E.20140520",14,"ok","ok","ok","Y","NEON.DOC.014050","4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m",,0,0,0
"D94C60E29B2A415BA8A665CC8DF68B4D","D01","HARV","HARV_021","W","evergreenForest",42.452455,-72.250736,"WGS84",,213.7,,"2014-05-06","2014-05-20",1,"BET.HARV_021.2014.01","HARV_021.W.20140520",14,"ok","ok","ok","Y","NEON.DOC.014050","4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m",,0,0,0
"035F2EBF4766420D82C54279659AD44E","D01","HARV","HARV_021","S","evergreenForest",42.452269,-72.250501,"WGS84",,213.7,,"2014-05-06","2014-05-20",1,"BET.HARV_021.2014.01","HARV_021.S.20140520",14,"ok","ok","ok","Y","NEON.DOC.014050","4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m",,0,0,0
"1FE7F9E477BF4FA89595D31D62530FC7","D01","HARV","HARV_014","N","mixedForest",42.471634,-72.265709,"WGS84",,193.5,,"2014-05-06","2014-05-20",1,"BET.HARV_014.2014.01","HARV_014.N.20140520",14,"ok","ok","ok","Y","NEON.DOC.014050","4v8Iip1UQDTps5xXBZKHaW3WZMLzxe+m",,0,0,0
