"uid","domainID","siteID","plotID","trapID","collectDate","etOHChangeDate","processingDate","identifiedDate","associatedSampleID","sampleID","targetTaxaPresent","sampleType","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","individualCount","identificationReferences","identifiedBy","recordedBy","remarks","duplicateSampleIDQF"
"BE31C9FF2D73441592BA73B3AE51B8E6","D01","HARV","HARV_001","N","2014-05-20","2014-05-21","2014-05-21",,"HARV_001.20140520.ib.01","HARV_001.20140520.ib.01","N","invert bycatch",,,,,,,,,,"XBWa+3GMw2VPDBGMEaTC+eMrNADD06Q4",,0
"E11B7F55664343AF8F52DED92DD99507","D01","HARV","HARV_022","W","2014-05-20","2014-05-21","2014-05-21",,"HARV_022.W.20140520.oc.01",,"Y","other carabid",,,,,,,,,,"XBWa+3GMw2VPDBGMEaTC+eMrNADD06Q4",,0
"D214330F215E4361ACD0AD17793449D3","D01","HARV","HARV_022","N","2014-05-20","2014-05-21","2014-05-21",,"HARV_022.N.20140520.oc.01",,"Y","other carabid",,,,,,,,,,"XBWa+3GMw2VPDBGMEaTC+eMrNADD06Q4",,0
"AC06917BF4EE4FD09F8BF27F43B958AB","D01","HARV","HARV_022","N","2014-05-20","2014-05-21","2014-05-21",,"HARV_022.20140520.ib.01","HARV_022.20140520.ib.01","N","invert bycatch",,,,,,,,,,"XBWa+3GMw2VPDBGMEaTC+eMrNADD06Q4",,0
"4C257448C1604C2B835F7EF8FD39471B","D01","HARV","HARV_022","E","2014-05-20","2014-05-21","2014-05-21",,"HARV_022.E.20140520.oc.01",,"Y","other carabid",,,,,,,,,,"XBWa+3GMw2VPDBGMEaTC+eMrNADD06Q4",,0
"2575742383F648EDA206CBE5001735A4","D01","HARV","HARV_021","N","2014-05-20","2014-05-21","2014-05-21",,"HARV_021.20140520.ib.01","HARV_021.20140520.ib.01","N","invert bycatch",,,,,,,,,,"XBWa+3GMw2VPDBGMEaTC+eMrNADD06Q4",,0
"0066D46647AB4A2A918BA43C506A1F6D","D01","HARV","HARV_021","S","2014-05-20","2014-05-21","2014-05-21",,"HARV_021.S.20140520.oc.01",,"Y","other carabid",,,,,,,,,,"XBWa+3GMw2VPDBGMEaTC+eMrNADD06Q4",,0
"FDD8F5AFB7CB41BCBFCBC9A316D0CB9A","D01","HARV","HARV_014","S","2014-05-20","2014-05-21","2014-05-21","2014-11-16","HARV_014.S.20140520.PLECIN.01","HARV_014.S.20140520.PLECIN.01","N","vert bycatch herp","PLECIN","Plethodon cinereus","species",,"Green",,1,,"k/k/kBf3UsZO1iBmWXMyCKPJySRlqaon","XBWa+3GMw2VPDBGMEaTC+eMrNADD06Q4","Plethodon cinereus, Leadback color morph",0
"F8382862DFE54DFD831AB7FEC74898F5","D01","HARV","HARV_014","S","2014-05-20","2014-05-21","2014-05-21",,"HARV_014.S.20140520.oc.01",,"Y","other carabid",,,,,,,,,,"XBWa+3GMw2VPDBGMEaTC+eMrNADD06Q4",,0
"5BBE7FDC9E5D45009F7A1363493BFD01","D01","HARV","HARV_014","N","2014-05-20","2014-05-21","2014-05-21",,"HARV_014.20140520.ib.01","HARV_014.20140520.ib.01","N","invert bycatch",,,,,,,,,,"XBWa+3GMw2VPDBGMEaTC+eMrNADD06Q4",,0
"9DA5F2BE4D894603A3CC5CEEE96C4075","D01","HARV","HARV_014","N","2014-05-20","2014-05-21","2014-05-21",,"HARV_014.N.20140520.oc.01",,"Y","other carabid",,,,,,,,,,"XBWa+3GMw2VPDBGMEaTC+eMrNADD06Q4",,0
"66D73FBD55D14E92A7B799F1E553A4FB","D01","HARV","HARV_014","W","2014-05-20","2014-05-21","2014-05-21",,"HARV_014.W.20140520.oc.01",,"Y","other carabid",,,,,,,,,,"XBWa+3GMw2VPDBGMEaTC+eMrNADD06Q4",,0
"D690E387D1DE4D878B44ACC61A0521B6","D01","HARV","HARV_014","E","2014-05-20","2014-05-21","2014-05-21",,"HARV_014.E.20140520.oc.01",,"Y","other carabid",,,,,,,,,,"XBWa+3GMw2VPDBGMEaTC+eMrNADD06Q4",,0
