"uid","domainID","siteID","plotID","trapID","collectDate","processingDate","identifiedDate","sampleID","individualID","specimenSource","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","identificationReferences","identifiedBy","recordedBy","remarks","duplicateIndividualIDQF"
"52499E48028C4B519A3127268D395F77","D02","SCBI","SCBI_002","N","2014-06-10","2014-10-01","2014-10-01","SCBI_002.N.20140610.CHLAES.01","NEON.BET.D02.000013","vial of pooled individuals","CHLAES","Chlaenius aestivus","species",,"Say",,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
"C8AEDFC39B4C44DDB3FC0E5CE8CA5FFF","D02","SCBI","SCBI_004","S","2014-06-10","2014-10-07","2014-10-07","SCBI_004.S.20140610.oc.01","NEON.BET.D02.000643","vial of pooled individuals","DICDIL1","Dicaelus dilatatus dilatatus","subspecies",,"Say",,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
"2F040F58AFA4488A85232C56814C3472","D02","SCBI","SCBI_004","S","2014-06-10","2014-10-07","2014-10-07","SCBI_004.S.20140610.oc.01","NEON.BET.D02.000600","vial of pooled individuals","GALBIC","Galerita bicolor","species",,"Drury",,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
"EB24559D09B04C4389306DC3541E6D57","D02","SCBI","SCBI_004","W","2014-06-10","2014-10-07","2014-10-07","SCBI_004.W.20140610.oc.01","NEON.BET.D02.000601","vial of pooled individuals","GALBIC","Galerita bicolor","species",,"Drury",,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
"F94F8D78AC2E477B9EFD0406BE9E19E9","D02","SCBI","SCBI_004","W","2014-06-10","2014-10-07","2014-10-07","SCBI_004.W.20140610.oc.01","NEON.BET.D02.000602","vial of pooled individuals","GALBIC","Galerita bicolor","species",,"Drury",,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
"0F95ECDCE76942CA861D06CE357E030A","D02","SCBI","SCBI_004","S","2014-06-10","2014-10-07","2014-10-07","SCBI_004.S.20140610.oc.01","NEON.BET.D02.000599","vial of pooled individuals","GALBIC","Galerita bicolor","species",,"Drury",,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
"7CDF38F643F241FEBE0089046DF248C6","D02","SCBI","SCBI_004","N","2014-06-10","2014-10-06","2014-10-06","SCBI_004.N.20140610.oc.01","NEON.BET.D02.000373","vial of pooled individuals","PTECOR1","Pterostichus coracinus","species",,"Newman",,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
"0A791FF601FB4F568068A31D5385A2AD","D02","SCBI","SCBI_004","N","2014-06-10","2014-10-07","2014-10-07","SCBI_004.N.20140610.oc.01","NEON.BET.D02.000561","vial of pooled individuals","POELUC","Poecilus lucublandus","species",,"Say",,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
"46240FF603F542EFAF5ED6AB767BA006","D02","SCBI","SCBI_004","N","2014-06-10","2014-10-07","2014-10-07","SCBI_004.N.20140610.oc.01","NEON.BET.D02.000560","vial of pooled individuals","POELUC","Poecilus lucublandus","species",,"Say",,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
"651EE49D912D4CB5B271DCDA4EB62D27","D02","SCBI","SCBI_004","N","2014-06-10","2014-10-07","2014-10-07","SCBI_004.N.20140610.oc.01","NEON.BET.D02.000563","vial of pooled individuals","POELUC","Poecilus lucublandus","species",,"Say",,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
