"uid","domainID","siteID","plotID","trapID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDate","collectDate","boutNumber","eventID","sampleID","daysOfTrapping","cupStatus","lidStatus","fluidLevel","trapReset","samplingProtocol","recordedBy","remarks","missingRecordsPerBoutQF","duplicateCollectionEventQF","compareSetCollectDateQF"
"8D1001E7FBE842FBB9EB9237F8D68E3E","D02","SCBI","SCBI_002","N","deciduousForest",38.895392,-78.142693,"WGS84",1.1,316.8,0.4,"2014-05-27","2014-06-10",1,"BET.SCBI_002.2014.01","SCBI_002.N.20140610",14,"ok","ok","ok","Y","NEON.DOC.014050","2r8mKA55ObZP5m82rTGIsyj0ZPC2lev8",,0,0,0
"F1422F9A1ABB47DCB5919C86AB413BC4","D02","SCBI","SCBI_004","W","deciduousForest",38.896941,-78.146686,"WGS84",1.3,312.6,0.5,"2014-05-27","2014-06-10",1,"BET.SCBI_004.2014.01","SCBI_004.W.20140610",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"65C40AC5D3A5436BBD14CE7058E7F63E","D02","SCBI","SCBI_004","N","deciduousForest",38.897115,-78.146448,"WGS84",1.3,312.6,0.5,"2014-05-27","2014-06-10",1,"BET.SCBI_004.2014.01","SCBI_004.N.20140610",14,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"A10A04BD511841178A3CA4B7DF07A956","D02","SCBI","SCBI_004","S","deciduousForest",38.896755,-78.146463,"WGS84",1.3,312.6,0.5,"2014-05-27","2014-06-10",1,"BET.SCBI_004.2014.01","SCBI_004.S.20140610",14,"ok","ok","high","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"78B0E335C2D049D9A1AED3796AAC88D1","D02","SCBI","SCBI_004","E","deciduousForest",38.896930,-78.146225,"WGS84",1.3,312.6,0.5,"2014-05-28","2014-06-10",1,"BET.SCBI_004.2014.01","SCBI_004.E.20140610",13,"ok","ok","ok","Y","NEON.DOC.014050","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0,0,0
"589E0ADB7DF54C8A81F1EBBA4833571C","D02","SCBI","SCBI_010","N","deciduousForest",38.884956,-78.125145,"WGS84",1.7,491.3,1.1,"2014-05-27","2014-06-10",1,"BET.SCBI_010.2014.01","SCBI_010.N.20140610",14,"ok","ok","ok","Y","NEON.DOC.014050","2r8mKA55ObZP5m82rTGIsyj0ZPC2lev8",,0,0,0
"C1ED020BB35D4D818C508383EAC4DCEB","D02","SCBI","SCBI_010","W","deciduousForest",38.884782,-78.125382,"WGS84",1.7,491.3,1.1,"2014-05-27","2014-06-10",1,"BET.SCBI_010.2014.01","SCBI_010.W.20140610",14,"ok","ok","ok","Y","NEON.DOC.014050","2r8mKA55ObZP5m82rTGIsyj0ZPC2lev8",,0,0,0
"CA6F37ED6C154985A56975FFC26AAB02","D02","SCBI","SCBI_010","E","deciduousForest",38.884771,-78.124922,"WGS84",1.7,491.3,1.1,"2014-05-27","2014-06-10",1,"BET.SCBI_010.2014.01","SCBI_010.E.20140610",14,"ok","ok","ok","Y","NEON.DOC.014050","2r8mKA55ObZP5m82rTGIsyj0ZPC2lev8",,0,0,0
"D9A6CA17B618469A98D83AE3E02E504B","D02","SCBI","SCBI_010","S","deciduousForest",38.884596,-78.125159,"WGS84",1.7,491.3,1.1,"2014-05-27","2014-06-10",1,"BET.SCBI_010.2014.01","SCBI_010.S.20140610",14,"ok","ok","ok","Y","NEON.DOC.014050","2r8mKA55ObZP5m82rTGIsyj0ZPC2lev8",,0,0,0
"131954BBC83040578DB130F52BF23EA9","D02","SCBI","SCBI_007","W","deciduousForest",38.884920,-78.130526,"WGS84",1.2,409.1,0.3,"2014-05-27","2014-06-10",1,"BET.SCBI_007.2014.01","SCBI_007.W.20140610",14,"ok","ok","ok","Y","NEON.DOC.014050","2r8mKA55ObZP5m82rTGIsyj0ZPC2lev8",,0,0,0
