"uid","domainID","siteID","plotID","trapID","collectDate","etOHChangeDate","processingDate","identifiedDate","associatedSampleID","sampleID","targetTaxaPresent","sampleType","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","individualCount","identificationReferences","identifiedBy","recordedBy","remarks","duplicateSampleIDQF"
"4C3304E01E9E48F98C8CE1B88D7C861F","D02","SCBI","SCBI_002","W","2014-06-10","2014-06-11","2014-06-12","2014-06-12","SCBI_002.W.20140610.PLECIN.01","SCBI_002.W.20140610.PLECIN.01","N","vert bycatch herp","PLECIN","Plethodon cinereus","species",,"Green",,1,"Conant, R., Collins, J.T. 1998. A Field Guide to Reptiles and Amphibians: Eastern and Central North America. 3rd Ed. Houghton Mifflin Company, New York, New York.","2r8mKA55ObZP5m82rTGIsyj0ZPC2lev8","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
"63BF332877094C6190C04E7ADE4E6CB9","D02","SCBI","SCBI_004","W","2014-06-10","2014-06-11","2014-10-07",,"SCBI_004.W.20140610.oc.01",,"Y","other carabid",,,,,,,,,,"wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
"AC66A92094C14E7F9BC33F5A850E3DD2","D02","SCBI","SCBI_004","S","2014-06-10","2014-06-11","2014-10-07",,"SCBI_004.S.20140610.oc.01",,"Y","other carabid",,,,,,,,,,"wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
"80E5A16C5FA045ABAE5B266299116406","D02","SCBI","SCBI_004","S","2014-06-10","2014-06-11","2014-10-01","2014-10-01","SCBI_004.S.20140610.CHLAES.01","SCBI_004.S.20140610.CHLAES.01","Y","common carabid","CHLAES","Chlaenius aestivus","species",,"Say",,1,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","This beetle was pinned",0
"63E60FE0182648D4B0B78DDF9F9BBBEF","D02","SCBI","SCBI_004","N","2014-06-10","2014-06-11","2014-06-12",,"SCBI_004.20140610.ib.01","SCBI_004.20140610.ib.01","Y","invert bycatch",,,,,,,,,,"wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
"16714676741B453C834B61C025D528B3","D02","SCBI","SCBI_004","N","2014-06-10","2014-06-11","2014-10-01","2014-10-01","SCBI_004.N.20140610.CHLAES.01","SCBI_004.N.20140610.CHLAES.01","Y","common carabid","CHLAES","Chlaenius aestivus","species",,"Say",,6,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","These beetles were pinned",0
"B51BF9A8512F4CE689C9A04B6B3FE24F","D02","SCBI","SCBI_004","W","2014-06-10","2014-06-11","2014-10-01","2014-10-01","SCBI_004.W.20140610.CHLAES.01","SCBI_004.W.20140610.CHLAES.01","Y","common carabid","CHLAES","Chlaenius aestivus","species",,"Say",,10,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","These beetles were pinned",0
"FAFE8278847445B5A74772750674E761","D02","SCBI","SCBI_004","E","2014-06-10","2014-06-11","2014-10-01","2014-10-01","SCBI_004.E.20140610.CHLAES.01","SCBI_004.E.20140610.CHLAES.01","Y","common carabid","CHLAES","Chlaenius aestivus","species",,"Say",,3,"Bousquet, Y. 2010. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","wYCqaZcA+7slXlj5N/mM6vobrh4QDptp","These beetles were pinned",0
"F4743157EAE4495C98D1BA6EFDC35304","D02","SCBI","SCBI_004","E","2014-06-10","2014-06-11","2014-10-07",,"SCBI_004.E.20140610.oc.01",,"Y","other carabid",,,,,,,,,,"wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
"7D30051C22FC4343808F1E053E1B29E1","D02","SCBI","SCBI_004","N","2014-06-10","2014-06-11","2014-10-01",,"SCBI_004.N.20140610.oc.01",,"Y","other carabid",,,,,,,,,,"wYCqaZcA+7slXlj5N/mM6vobrh4QDptp",,0
