"uid","domainID","siteID","plotID","trapID","collectDate","processingDate","identifiedDate","sampleID","individualID","specimenSource","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","identificationReferences","identifiedBy","recordedBy","remarks","duplicateIndividualIDQF"
"825492B744BD4349ACC1D00C8B476499","D03","DSNY","DSNY_003","S","2014-04-16","2014-09-29","2014-09-29","DSNY_003.S.20140416.CYCFAB.01","NEON.BET.D03.000370","vial of pooled individuals","CYCFAB","Cyclotrachelus faber","species",,"Germar",,"Germar 1824","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",,0
"D16EAD896DA844088FAA1F34023A3E8A","D03","DSNY","DSNY_021","E","2014-04-16","2014-06-24","2014-06-24","DSNY_021.E.20140416.CLISP4.01","NEON.BET.D03.000441","vial of pooled individuals","CLISP4","Clivina sp.","genus",,"Latreille",,"Latreille 1802","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",,0
"A0B0A7AA5473407FBCC0A7AC942F3E0B","D03","DSNY","DSNY_021","E","2014-04-16","2014-06-24","2014-06-24","DSNY_021.E.20140416.CLISP4.01","NEON.BET.D03.000442","vial of pooled individuals","CLISP4","Clivina sp.","genus",,"Latreille",,"Latreille 1802","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",,0
"7B69B886A35646089C1A66627F6AFF0F","D03","DSNY","DSNY_021","E","2014-04-16","2014-06-24","2014-06-24","DSNY_021.E.20140416.CLISP4.01","NEON.BET.D03.000444","vial of pooled individuals","CLISP4","Clivina sp.","genus",,"Latreille",,"Latreille 1802","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",,0
"6DAC82554FB4480C94F653BFA312AA46","D03","DSNY","DSNY_021","E","2014-04-16","2014-06-24","2014-06-24","DSNY_021.E.20140416.CLISP4.01","NEON.BET.D03.000465","vial of pooled individuals","CLISP4","Clivina sp.","genus",,"Latreille",,"Latreille 1802","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",,0
"527AAD7818DD45CB8BD189CEC51E4E89","D03","DSNY","DSNY_016","S","2014-04-16","2014-08-11","2014-08-11","DSNY_016.S.20140416.CLISP4.01","NEON.BET.D03.000454","vial of pooled individuals","CLISP4","Clivina sp.","genus",,"Latreille",,"Latreille 1802","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",,0
"59F4567CA5834F0D9A3CE8DE08C8507D","D03","DSNY","DSNY_016","E","2014-04-16","2014-06-25","2014-06-25","DSNY_016.E.20140416.CLISP4.01","NEON.BET.D03.000469","vial of pooled individuals","CLISP4","Clivina sp.","genus",,"Latreille",,"Latreille 1802","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",,0
"D833AE6B37184FE2871035911A5C9D1F","D03","DSNY","DSNY_009","N","2014-04-16","2014-09-29","2014-09-29","DSNY_009.N.20140416.CYCFAB.01","NEON.BET.D03.000372","vial of pooled individuals","CYCFAB","Cyclotrachelus faber","species",,"Germar",,"Germar 1824","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"B2D7A69C42FA4E8CA9915AF1B52BF36D","D03","DSNY","DSNY_009","S","2014-04-16","2014-06-25","2014-06-25","DSNY_009.S.20140416.CLISP4.01","NEON.BET.D03.000466","vial of pooled individuals","CLISP4","Clivina sp.","genus",,"Latreille",,"Latreille 1802","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",,0
"70AC2FA42E27499197F648C2A74B3ABF","D03","DSNY","DSNY_009","W","2014-04-16","2014-09-29","2014-09-29","DSNY_009.W.20140416.CYCFAB.01","NEON.BET.D03.000380","vial of pooled individuals","CYCFAB","Cyclotrachelus faber","species",,"Germar",,"Germar 1824","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"BEFEE394C93147D4A53DEBEB8492415A","D03","DSNY","DSNY_009","E","2014-04-16","2014-09-29","2014-09-29","DSNY_009.E.20140416.CYCFAB.01","NEON.BET.D03.000394","vial of pooled individuals","CYCFAB","Cyclotrachelus faber","species",,"Germar",,"Germar 1824","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"DE38B44D33BD4F459E799778538B5698","D03","DSNY","DSNY_009","E","2014-04-16","2014-06-25","2014-06-25","DSNY_009.E.20140416.SELOPA.01","NEON.BET.D03.000419","vial of pooled individuals","SELOPA","Selenophorus opalinus","species",,"LeConte",,"LeConte 1863","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk","bPko/k8RNU/icSbrBCzMLbJxWeUwZufu",,0
"396E36B991D24E6A933E4F3B67F743CF","D03","DSNY","DSNY_009","N","2014-04-16","2014-09-29","2014-09-29","DSNY_009.N.20140416.CYCFAB.01","NEON.BET.D03.000371","vial of pooled individuals","CYCFAB","Cyclotrachelus faber","species",,"Germar",,"Germar 1824","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"824804A668884C7CA0E55BB5E36D60EB","D03","DSNY","DSNY_005","N","2014-04-16","2014-06-25","2014-06-25","DSNY_005.N.20140416.pasimachus","NEON.BET.D03.000342","vial of pooled individuals","PASSUB1","Pasimachus sublaevis","species",,"Palisot de Beauvois",,"Palisot de Beauvois 1811","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
