"uid","domainID","siteID","plotID","trapID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDate","collectDate","boutNumber","eventID","sampleID","daysOfTrapping","cupStatus","lidStatus","fluidLevel","trapReset","samplingProtocol","recordedBy","remarks","missingRecordsPerBoutQF","duplicateCollectionEventQF","compareSetCollectDateQF"
"259F9A2E2A9348CD9A9430A653D8DD25","D03","DSNY","DSNY_001","W","woodyWetlands",28.096698,-81.418781,"WGS84",5.1,19.0,0.1,"2014-04-02","2014-04-16",1,"BET.DSNY_001.2014.01","DSNY_001.W.20140416",14,"ok","ok","high","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"E7E9C2E81217439BB3F0B07B655F0EE6","D03","DSNY","DSNY_021","W","pastureHay",28.052639,-81.393579,"WGS84",5.1,18.1,0.1,"2014-04-02","2014-04-16",1,"BET.DSNY_021.2014.01","DSNY_021.W.20140416",14,"ok","ok","ok","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"E71D0A64936D4F89945CDA4BCA67501D","D03","DSNY","DSNY_021","E","pastureHay",28.052641,-81.393172,"WGS84",5.1,18.1,0.1,"2014-04-02","2014-04-16",1,"BET.DSNY_021.2014.01","DSNY_021.E.20140416",14,"ok","ok","ok","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"6D2F7C2CE11D406A857C0D03B76CD91A","D03","DSNY","DSNY_021","N","pastureHay",28.052820,-81.393376,"WGS84",5.1,18.1,0.1,"2014-04-02","2014-04-16",1,"BET.DSNY_021.2014.01","DSNY_021.N.20140416",14,"ok","ok","ok","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"66B995ECC7F44E41B53D67A43FAD6E9D","D03","DSNY","DSNY_021","S","pastureHay",28.052459,-81.393375,"WGS84",5.1,18.1,0.1,"2014-04-02","2014-04-16",1,"BET.DSNY_021.2014.01","DSNY_021.S.20140416",14,"ok","ok","ok","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"EB4EBDE92D3549DBB36B9E0FF716E3A0","D03","DSNY","DSNY_016","E","pastureHay",28.043947,-81.393435,"WGS84",5.1,18.0,0.1,"2014-04-02","2014-04-16",1,"BET.DSNY_016.2014.01","DSNY_016.E.20140416",14,"ok","ok","ok","N","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"01F584F1A07246988825C7CEA181EE34","D03","DSNY","DSNY_016","S","pastureHay",28.043766,-81.393638,"WGS84",5.1,18.0,0.1,"2014-04-02","2014-04-16",1,"BET.DSNY_016.2014.01","DSNY_016.S.20140416",14,"ok","ok","ok","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"C01B6287FDB04CBDB1DA07C53EFFD11D","D03","DSNY","DSNY_016","W","pastureHay",28.043945,-81.393842,"WGS84",5.1,18.0,0.1,"2014-04-02","2014-04-16",1,"BET.DSNY_016.2014.01","DSNY_016.W.20140416",14,"ok","ok","ok","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"F6F42415D1754E1CBD491059333E8E9F","D03","DSNY","DSNY_016","N","pastureHay",28.044127,-81.393639,"WGS84",5.1,18.0,0.1,"2014-04-02","2014-04-16",1,"BET.DSNY_016.2014.01","DSNY_016.N.20140416",14,"ok","ok","ok","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"2700C4BA13864045ADBDE3577A8DE9DE","D03","DSNY","DSNY_009","W","pastureHay",28.073116,-81.428765,"WGS84",5.1,17.3,0.1,"2014-04-02","2014-04-16",1,"BET.DSNY_009.2014.01","DSNY_009.W.20140416",14,"ok","ok","ok","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"040861B3FE654CBAA3EFAC439DF71D36","D03","DSNY","DSNY_009","E","pastureHay",28.073117,-81.428358,"WGS84",5.1,17.3,0.1,"2014-04-02","2014-04-16",1,"BET.DSNY_009.2014.01","DSNY_009.E.20140416",14,"ok","ok","high","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
