"uid","domainID","siteID","plotID","trapID","collectDate","etOHChangeDate","processingDate","identifiedDate","associatedSampleID","sampleID","targetTaxaPresent","sampleType","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","individualCount","identificationReferences","identifiedBy","recordedBy","remarks","duplicateSampleIDQF"
"9FD3F98DE6174CE0A630472C3A07FD5F","D03","DSNY","DSNY_009","N","2014-04-14","2014-04-17","2014-04-17",,"DSNY_009.N.20140414.oc.01",,"Y","other carabid",,,,,,,,,,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi",,0
"01640E08C00A42889FCBC73A5C34402F","D03","DSNY","DSNY_009","E","2014-04-14","2014-04-17","2014-04-17",,"DSNY_009.E.20140414.oc.01",,"Y","other carabid",,,,,,,,,,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi",,0
"293BAEB8F9124C528B559C4F998D2701","D03","DSNY","DSNY_001","N","2014-04-16","2014-04-17","2014-04-17",,"DSNY_001.20140416.ib.01","DSNY_001.20140416.ib.01","N","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk","no beetles",0
"BAD4FAC3A13E460392BF467AA2A9D127","D03","DSNY","DSNY_021","N","2014-04-16","2014-04-17","2014-04-17",,"DSNY_021.20140416.ib.01","DSNY_021.20140416.ib.01","Y","invert bycatch",,,,,,,,,,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi",,0
"CF424530C1974486961E51E0B1B40108","D03","DSNY","DSNY_021","E","2014-04-16","2014-04-17","2014-04-17",,"DSNY_021.E.20140416.oc.01",,"Y","other carabid",,,,,,,,,,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi",,0
"E5055C263165476792286E3316D04ABD","D03","DSNY","DSNY_021","W","2014-04-16","2014-04-17","2014-04-17",,"DSNY_021.W.20140416.oc.01",,"Y","other carabid",,,,,,,,,,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi",,0
"AC717147B60C4824B782121149AA8030","D03","DSNY","DSNY_016","E","2014-04-16","2014-04-17","2014-04-17",,"DSNY_016.E.20140416.oc.01",,,"other carabid",,,,,,,,,,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi",,0
"8278537B3A5A4FA68CAB67A30148B6E3","D03","DSNY","DSNY_016","N","2014-04-16","2014-05-02","2014-05-02",,"DSNY_016.20140416.ib.01","DSNY_016.20140416.ib.01","Y","invert bycatch",,,,,,,,,,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",,2
"8CA1EBE83B55447681BDD75A7EE433D1","D03","DSNY","DSNY_016","N","2014-04-16","2014-04-17","2014-04-17",,"DSNY_016.20140416.ib.01","DSNY_016.20140416.ib.01","Y","invert bycatch",,,,,,,,,,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi",,2
"CEB7439D7DFA4F519C32F150184EDC94","D03","DSNY","DSNY_016","S","2014-04-16","2014-04-17","2014-04-17",,"DSNY_016.S.20140416.oc.01",,"Y","other carabid",,,,,,,,,,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi",,0
"CCA0927E764B4440AF212ED8C02E9138","D03","DSNY","DSNY_009","S","2014-04-16","2014-04-17","2014-04-17",,"DSNY_009.S.20140416.oc.01",,"Y","other carabid",,,,,,,,,,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi",,0
"B19767DB115949C38355CE6944B48D8E","D03","DSNY","DSNY_009","W","2014-04-16","2014-04-17","2014-04-17",,"DSNY_009.W.20140416.oc.01",,"Y","other carabid",,,,,,,,,,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi",,0
"B3C0274A8D1B42FB98BFE2CEDD2701A0","D03","DSNY","DSNY_009","N","2014-04-16","2014-04-17","2014-04-17",,"DSNY_009.20140416.ib.01","DSNY_009.20140416.ib.01","Y","invert bycatch",,,,,,,,,,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi",,0
"F3C3EEE3923845CB8CED4D08D7CCD33C","D03","DSNY","DSNY_007","W","2014-04-16","2014-04-17","2014-04-17",,"DSNY_007.20140416.ib.01","DSNY_007.20140416.ib.01","N","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"0E3228F80BC74B03A10E95D2BA6D727E","D03","DSNY","DSNY_005","N","2014-04-16","2014-04-17","2014-04-17",,"DSNY_005.20140416.ib.01","DSNY_005.20140416.ib.01","Y","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
