"uid","domainID","siteID","plotID","trapID","collectDate","processingDate","identifiedDate","sampleID","individualID","specimenSource","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","identificationReferences","identifiedBy","recordedBy","remarks","duplicateIndividualIDQF"
"B1B327B44742475AA7346A54FE4D4D71","D03","JERC","JERC_001","E","2014-06-18","2014-09-30","2014-09-30","JERC_001.E.20140618.ANIHAP.01","NEON.BET.D03.000358","vial of pooled individuals","ANIHAP","Anisodactylus haplomus","species",,"Chaudoir",,"Chaudoir 1868","PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX","PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX",,0
"1606275430204AD98716EBE5975B9A6A","D03","JERC","JERC_001","E","2014-06-18","2014-09-30","2014-09-30","JERC_001.E.20140618.ANIHAP.01","NEON.BET.D03.000357","vial of pooled individuals","ANIHAP","Anisodactylus haplomus","species",,"Chaudoir",,"Chaudoir 1868","PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX","PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX",,0
"DCF1A59B84CD4279902B3FD5223A8BB3","D03","JERC","JERC_001","W","2014-07-02","2014-07-17","2014-09-26","JERC_001.W.20140702.SELELL.01","NEON.BET.D03.000216","vial of pooled individuals","SELELL","Selenophorus ellipticus","species",,"Dejean",,"Dejean 1829","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,2
"DF211536D36944369EDCA27BAB25F04C","D03","JERC","JERC_030","N","2014-07-02","2014-09-26","2014-09-30","JERC_030.N.20140702.CYCLAE.01","NEON.BET.D03.000398","vial of pooled individuals","CYCLAE","Cyclotrachelus laevipennis","species",,"LeConte",,"LeConte 1848","CAQ8kGrHT395X4Qh9Ts+0OToHru/B7z6","CAQ8kGrHT395X4Qh9Ts+0OToHru/B7z6",,0
"1F9FC7FE8EE94DEF803D1AE2804E0851","D03","JERC","JERC_030","N","2014-07-02","2014-09-26","2014-09-26","JERC_030.N.20140702.CYCLAE.01","NEON.BET.D03.000399","vial of pooled individuals","CYCLAE","Cyclotrachelus laevipennis","species",,"LeConte",,"LeConte 1848","CAQ8kGrHT395X4Qh9Ts+0OToHru/B7z6","CAQ8kGrHT395X4Qh9Ts+0OToHru/B7z6",,0
"A28F757144CA4FE38D18061EC24D4EBE","D03","JERC","JERC_030","N","2014-07-02","2014-09-26","2014-09-26","JERC_030.N.20140702.SELOPA.01","NEON.BET.D03.000418","vial of pooled individuals","SELOPA","Selenophorus opalinus","species",,"LeConte",,"LeConte 1848","CAQ8kGrHT395X4Qh9Ts+0OToHru/B7z6","CAQ8kGrHT395X4Qh9Ts+0OToHru/B7z6",,0
"4D7D9AE7400041AAB10F421A4E52A9FE","D03","JERC","JERC_007","S","2014-07-02","2014-07-17","2014-09-29","JERC_007.S.20140702.BRASP8.01","NEON.BET.D03.000309","vial of pooled individuals","BRASP8","Brachinus sp.","genus",,"Weber",,"Weber 1801","PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,2
"C6FF567D4EF441A6B3F4BACE32D7A8CD","D03","JERC","JERC_007","S","2014-07-02","2014-09-29","2014-09-29","JERC_007.S.20140702.BRASP8.01","NEON.BET.D03.000309","vial of pooled individuals","BRASP8","Brachinus sp.","genus",,"Weber",,"Chaudoir 1876","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","Y2v6GhTwVkDJUeaxDC3aaKPn58rqYyJG",,2
"C96B8247BAE34F59B117001A1FB36B1E","D03","JERC","JERC_007","W","2014-07-02","2014-09-30","2014-09-30","JERC_007.W.20140702.ANIHAP.1","NEON.BET.D03.000318","vial of pooled individuals","ANIHAP","Anisodactylus haplomus","species",,"Chaudoir",,"Chaudoir	1868","Y2v6GhTwVkDJUeaxDC3aaKPn58rqYyJG","Y2v6GhTwVkDJUeaxDC3aaKPn58rqYyJG",,2
"9034F6EBABF14C61A5290D2F169CAA8C","D03","JERC","JERC_007","W","2014-07-02","2014-07-17","2014-09-30","JERC_007.W.20140702.AHIHAP.01","NEON.BET.D03.000319","vial of pooled individuals","ANIHAP","Anisodactylus haplomus","species",,"Chaudoir",,"Chaudoir 1868","PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,2
