"uid","domainID","siteID","plotID","trapID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDate","collectDate","boutNumber","eventID","sampleID","daysOfTrapping","cupStatus","lidStatus","fluidLevel","trapReset","samplingProtocol","recordedBy","remarks","missingRecordsPerBoutQF","duplicateCollectionEventQF","compareSetCollectDateQF"
"6D8F06743F3944C59A940486F7E16E37","D03","JERC","JERC_001","E","deciduousForest",31.194314,-84.476867,"WGS84",5.3,37.9,0.3,"2014-06-11","2014-06-18",1,"BET.JERC_001.2014.01","JERC_001.E.20140618",7,"ok","ok","ok","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"56E7FB1C801446CB995CD6D9176DC9AF","D03","JERC","JERC_009","W","evergreenForest",31.194998,-84.457115,"WGS84",5.2,48.6,0.3,"2014-06-11","2014-06-18",1,"BET.JERC_009.2014.01","JERC_009.W.20140618",7,"ok","ok","ok","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"D4CD714784484D6CADD03E23FA9A83CC","D03","JERC","JERC_009","E","evergreenForest",31.194989,-84.456695,"WGS84",5.2,48.6,0.3,"2014-06-11","2014-06-18",1,"BET.JERC_009.2014.01","JERC_009.E.20140618",7,"ok","ok","ok","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"05DC7AFA4F674E36A24DB8E49B1212F4","D03","JERC","JERC_009","N","evergreenForest",31.195174,-84.456900,"WGS84",5.2,48.6,0.3,"2014-06-11","2014-06-18",1,"BET.JERC_009.2014.01","JERC_009.N.20140618",7,"ok","ok","ok","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"5517A5CB5CE842DFAB15CCA2BFB27643","D03","JERC","JERC_009","S","evergreenForest",31.194813,-84.456910,"WGS84",5.2,48.6,0.3,"2014-06-11","2014-06-18",1,"BET.JERC_009.2014.01","JERC_009.S.20140618",7,"ok","ok","ok","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"8C7EAA5855B8463DA6692B60EC0C54B2","D03","JERC","JERC_010","N","deciduousForest",31.208400,-84.469494,"WGS84",5.3,42.9,0.4,"2014-06-11","2014-06-18",1,"BET.JERC_010.2014.01","JERC_010.N.20140618",7,"ok","ok","ok","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"68CE07D060F64A099102387A6662C500","D03","JERC","JERC_010","S","deciduousForest",31.208040,-84.469504,"WGS84",5.3,42.9,0.4,"2014-06-11","2014-06-18",1,"BET.JERC_010.2014.01","JERC_010.S.20140618",7,"ok","ok","ok","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"8EAB8B99E85340FC891E782A127194F8","D03","JERC","JERC_010","W","deciduousForest",31.208224,-84.469709,"WGS84",5.3,42.9,0.4,"2014-06-11","2014-06-18",1,"BET.JERC_010.2014.01","JERC_010.W.20140618",7,"ok","ok","ok","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"1070D84C5C564EB58AD0D9993CAD2761","D03","JERC","JERC_010","E","deciduousForest",31.208216,-84.469289,"WGS84",5.3,42.9,0.4,"2014-06-11","2014-06-18",1,"BET.JERC_010.2014.01","JERC_010.E.20140618",7,"ok","ok","ok","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"37CDADBE418A457AA9D7E0A7255D89FC","D03","JERC","JERC_008","S","mixedForest",31.194975,-84.450936,"WGS84",5.2,46.1,0.3,"2014-06-11","2014-06-18",1,"BET.JERC_008.2014.01","JERC_008.S.20140618",7,"ok","ok","ok","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"AB00B143B7F4459388CB56FF215331CB","D03","JERC","JERC_008","E","mixedForest",31.195151,-84.450721,"WGS84",5.2,46.1,0.3,"2014-06-11","2014-06-18",1,"BET.JERC_008.2014.01","JERC_008.E.20140618",7,"ok","ok","ok","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"A24C67330CB44E9496CBD48D676DE1CA","D03","JERC","JERC_008","W","mixedForest",31.195159,-84.451141,"WGS84",5.2,46.1,0.3,"2014-06-11","2014-06-18",1,"BET.JERC_008.2014.01","JERC_008.W.20140618",7,"ok","ok","ok","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
