"uid","domainID","siteID","plotID","trapID","collectDate","etOHChangeDate","processingDate","identifiedDate","associatedSampleID","sampleID","targetTaxaPresent","sampleType","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","individualCount","identificationReferences","identifiedBy","recordedBy","remarks","duplicateSampleIDQF"
"E22D5D756D154727BC776C793B328EAD","D03","JERC","JERC_001","E","2014-06-18","2014-06-27","2014-06-27",,"JERC_001.E.20140618.oc.01",,"Y","other carabid",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"90A320DE279C4E57A07F490E1E2039E3","D03","JERC","JERC_009","N","2014-06-18","2014-06-27","2014-06-27",,"JERC_009.20140618.ib.01","JERC_009.20140618.ib.01","N","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"BCA61BE7A41944D6A87428062AE16F4E","D03","JERC","JERC_010","N","2014-06-18","2014-06-27","2014-06-27",,"JERC_010.20140618.ib.01","JERC_010.20140618.ib.01","N","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"1A1A5719E4AA43FF8C95920E4B5ABFB4","D03","JERC","JERC_008","N","2014-06-18","2014-06-27","2014-06-27",,"JERC_008.20140618.ib.01","JERC_008.20140618.ib.01","N","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"1F77967348414699869F978FD76248C6","D03","JERC","JERC_008","S","2014-06-18","2014-06-27","2014-06-27","2014-06-27","JERC_008.S.20140618.SCAHOL.01","JERC_008.S.20140618.SCAHOL.01","N","vert bycatch herp","SCAHOL","Scaphiopus holbrookii","species",,"Harlan",,1,,"KcUIh1bHY94S7Wfrlp/39pBm2uWTKGOw","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"27354033615648DDB612BADD4314846B","D03","JERC","JERC_007","N","2014-06-18","2014-06-27","2014-06-27","2014-06-27","JERC_007.N.20140618.PASSUB1.01","JERC_007.20140618.PASSUB1.01","Y","common carabid","PASSUB1","Pasimachus sublaevis","species",,"Palisot de Beauvois",,,,"PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"FFE5AE74ADFE43ECB80A1BF4E681EC8F","D03","JERC","JERC_007","N","2014-06-18","2014-07-17","2014-07-17",,"JERC_007.N.20140618.oc.01",,"Y","other carabid",,,,,,,,,,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",,0
"9D27E9E4D74C4226AACCFBF4546FCF92","D03","JERC","JERC_007","N","2014-06-18","2014-06-27","2014-06-27",,"JERC_007.20140618.ib.01","JERC_007.20140618.ib.01","Y","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"FC3F5CDAA6864FEC90D78B283B425636","D03","JERC","JERC_006","N","2014-06-18","2014-07-17","2014-07-17",,"JERC_006.20140618.ib.01","JERC_006.20140618.ib.01","N","invert bycatch",,,,,,,,,,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",,0
"DCF230783D0E4964BFBD18808721DC11","D03","JERC","JERC_005","E","2014-06-18","2014-06-27","2014-06-27","2014-06-27","JERC_005.E.20140618.SCAHOL.01","JERC_005.E.20140618.SCAHOL.01","N","vert bycatch herp","SCAHOL","Scaphiopus holbrookii","species",,"Harlan",,1,,"KcUIh1bHY94S7Wfrlp/39pBm2uWTKGOw","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"828365B4308A42D0BB8082C3DCF6F047","D03","JERC","JERC_005","N","2014-06-18","2014-06-27","2014-06-27",,"JERC_005.20140618.ib.01","JERC_005.20140618.ib.01","N","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"2F0645F7502B4A569FC90B287B88F189","D03","JERC","JERC_003","N","2014-06-18","2014-06-27","2014-06-27",,"JERC_003.20140618.ib.01","JERC_003.20140618.ib.01","N","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"0FE8BA7B378B477F86348C4A1EE623AE","D03","JERC","JERC_002","N","2014-06-18","2014-06-27","2014-06-27",,"JERC_002.20140618.ib.01","JERC_002.20140618.ib.01","N","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"90327431670C4ABEBBFE36EDDD68A414","D03","JERC","JERC_002","W","2014-06-18","2014-06-27","2014-06-27","2014-06-27","JERC_002.W.20140618.SCAHOL.01","JERC_002.W.20140618.SCAHOL.01","N","vert bycatch herp","SCAHOL","Scaphiopus holbrookii","species","cf. species","Harlan",,1,,"KcUIh1bHY94S7Wfrlp/39pBm2uWTKGOw","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"0E8978C6693C4E09AD9D7EC137AC3F71","D03","JERC","JERC_001","N","2014-06-18","2014-06-27","2014-06-27",,"JERC_001.20140618.ib.01","JERC_001.20140618.ib.01","Y","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"484E282A611D4565B4B60009EA6F734C","D03","JERC","JERC_001","W","2014-07-02","2014-07-17","2014-07-17",,"JERC_001.W.20140702.oc.01",,"Y","other carabid",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,1
"83131D43DE4043BE81870BA8DC749F7C","D03","JERC","JERC_030","N","2014-07-02","2014-07-17","2014-07-17",,"JERC_030.20140702.ib.01","JERC_030.20140702.ib.01","N","invert bycatch",,,,,,,,,,"w9gx7zrN+zBUJ2iV6az0FngRBSIRDJ4m",,0
"8678D926C014456DAE3AD2384E0F38D5","D03","JERC","JERC_030","N","2014-07-02","2014-07-17","2014-07-17",,"JERC_030.N.20140702.oc.01",,"N","other carabid",,,,,,,,,,"w9gx7zrN+zBUJ2iV6az0FngRBSIRDJ4m",,0
"7909785580044FDEBAF4DFA29E9DD42F","D03","JERC","JERC_009","N","2014-07-02","2014-07-17","2014-07-17",,"JERC_009.20140702.ib.01","JERC_009.20140702.ib.01","N","invert bycatch",,,,,,,,,,"w9gx7zrN+zBUJ2iV6az0FngRBSIRDJ4m",,0
"6310024267FC44879C34459DCF354C86","D03","JERC","JERC_010","N","2014-07-02","2014-07-17","2014-07-17",,"JERC_010.20140702.ib.01","JERC_010.20140702.ib.01","N","invert bycatch",,,,,,,,,,"w9gx7zrN+zBUJ2iV6az0FngRBSIRDJ4m",,0
"519AB71C34B14A23A24D5C76F54A1571","D03","JERC","JERC_008","N","2014-07-02","2014-07-16","2014-07-16",,"JERC_008.20140702.ib.01","JERC_008.20140702.ib.01","N","invert bycatch",,,,,,,,,,"w9gx7zrN+zBUJ2iV6az0FngRBSIRDJ4m",,0
"5AFBC8D19DCD4A83A70EBD685B73227D","D03","JERC","JERC_007","N","2014-07-02","2014-07-17","2014-07-17",,"JERC_007.20140702.ib.01","JERC_007.20140702.ib.01","Y","invert bycatch",,,,,,,,,,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",,1
"77CFE0253FF942419C1C070D1DCD1E86","D03","JERC","JERC_007","W","2014-07-02","2014-07-17","2014-07-17",,"JERC_007.W.20140702.oc.01",,"Y","other carabid",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"195E18CBD7D54196856AA77E6D949631","D03","JERC","JERC_007","N","2014-07-02","2014-07-17","2014-07-17","2014-07-17","JERC_007.N.20140702.PASSUB1.01","JERC_007.20140702.PASSUB1.01","Y","common carabid","PASSUB1","Pasimachus sublaevis","species",,"Palisot de Beauvois",,1,,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","don't know identified date",0
"DB140EE2E14343B0922B7031DDE08E84","D03","JERC","JERC_007","S","2014-07-02","2014-07-17","2014-07-17",,"JERC_007.S.20140702.oc.01",,"Y","other carabid",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"257BB7FEB64740F4880040F04EDC81DF","D03","JERC","JERC_006","N","2014-07-02","2014-07-17","2014-07-17",,"JERC_006.20140702.ib.01","JERC_006.20140702.ib.01","N","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"60B2E641B2094FFB929AFBABA7D26FD7","D03","JERC","JERC_005","E","2014-07-02","2014-07-17","2014-07-17","2014-07-17","JERC_005.E.20140702.SCAHOL.01","JERC_005.E.20140702.SCAHOL.01","N","vert bycatch herp","SCAHOL","Scaphiopus holbrookii","species",,"Harlan",,1,"Peterson's Guide to Amphibians and Reptiles","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","IDed date is unknown",2
"ED7318A8BAEB438684E8F09EAABE185F","D03","JERC","JERC_005","E","2014-07-02","2014-07-17","2014-07-17","2014-07-17","JERC_005.E.20140702.SCAHOL.01","JERC_005.E.20140702.SCAHOL.01","Y","vert bycatch herp","SCAHOL","Scaphiopus holbrookii","species",,"Harlan",,1,,"7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,2
"3605E36F024649549FDC72C744330548","D03","JERC","JERC_005","N","2014-07-02","2014-07-17","2014-07-17",,"JERC_005.20140702.ib.01","JERC_005.20140702.ib.01","N","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk","NO PROCESSING DATE AVAILABLE, TENDED TO BE THE DAY OF ETHANOL CHANGE OR WITHIN THAT SAME WEEK",2
