"uid","domainID","siteID","plotID","trapID","collectDate","processingDate","identifiedDate","sampleID","individualID","specimenSource","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","identificationReferences","identifiedBy","recordedBy","remarks","duplicateIndividualIDQF"
"CB3E972A87CD4C3A84FFE7016C518640","D03","OSBS","OSBS_003","N","2014-04-14","2014-06-24","2014-06-24","OSBS_003.N.20140414.oc.1","NEON.BET.D03.000413","vial of pooled individuals","DICELO","Dicaelus elongatus","species",,"Bonelli",,"Bonelli 1813","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk","w9gx7zrN+zBUJ2iV6az0FngRBSIRDJ4m",,0
"870D398E8BC0498E98A6168BECD4D692","D03","OSBS","OSBS_022","N","2014-04-14","2014-06-29","2014-09-29","OSBS_022.N.20140414.oc.1","NEON.BET.D03.000310","vial of pooled individuals","PASMAR","Pasimachus marginatus","species",,"Fabricius",,,"w/KL6MXJXvQ9p4XzhV28GG2D83wW5unkeKKvBIBIGMI=","w/KL6MXJXvQ9p4XzhV28GG2D83wW5unkeKKvBIBIGMI=",,0
"B465E14A42C5436F9FEBF620BF83C8A7","D03","OSBS","OSBS_022","N","2014-04-14","2014-06-29","2014-09-29","OSBS_022.N.20140414.oc.1","NEON.BET.D03.000311","vial of pooled individuals","PASMAR","Pasimachus marginatus","species",,"Fabricius",,,"w/KL6MXJXvQ9p4XzhV28GG2D83wW5unkeKKvBIBIGMI=","w/KL6MXJXvQ9p4XzhV28GG2D83wW5unkeKKvBIBIGMI=",,0
"B96CD4981A2648BBB87E34F09991A6F5","D03","OSBS","OSBS_022","S","2014-04-14","2014-06-24","2014-09-26","OSBS_022.S.20140414.oc.1","NEON.BET.D03.000263","vial of pooled individuals","PASMAR","Pasimachus marginatus","species",,"Fabricius",,"Fabricius 1787","w/KL6MXJXvT5mBbNarUz4BxK3oq5m54maJp47ELp6v0=","w9gx7zrN+zBUJ2iV6az0FngRBSIRDJ4m",,0
"EAEDC0975F1644EBB49E8AAF4CE25CB8","D03","OSBS","OSBS_022","S","2014-04-14","2014-06-24","2014-09-26","OSBS_022.S.20140414.oc.1","NEON.BET.D03.000265","vial of pooled individuals","PASMAR","Pasimachus marginatus","species",,"Fabricius",,,"w/KL6MXJXvQ9p4XzhV28GG2D83wW5unkeKKvBIBIGMI=","w/KL6MXJXvQ9p4XzhV28GG2D83wW5unkeKKvBIBIGMI=",,0
"57CD02F365ED495B8C9C54AE76C21CBE","D03","OSBS","OSBS_022","S","2014-04-14","2014-06-24","2014-09-26","OSBS_022.S.20140414.oc.1","NEON.BET.D03.000264","vial of pooled individuals","PASMAR","Pasimachus marginatus","species",,"Fabricius",,"Fabricius 1787","w/KL6MXJXvQ9p4XzhV28GG2D83wW5unkeKKvBIBIGMI=","w/KL6MXJXvQ9p4XzhV28GG2D83wW5unkeKKvBIBIGMI=",,0
"223192BC2A234B35B2E2D02C0BD8198F","D03","OSBS","OSBS_005","E","2014-04-14","2014-06-25","2014-06-25","OSBS_005.E.20140414.APESP.01","NEON.BET.D03.000479","vial of pooled individuals","APESP","Apenes sp.","genus",,"LeConte",,"LeConte 1851","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",,0
"6029EDA842C94F3788A8778603D5C23A","D03","OSBS","OSBS_004","N","2014-04-14","2014-09-29","2014-09-29","OSBS_004.N.20140414.PASSUB2.01","NEON.BET.D03.000305","vial of pooled individuals","PASSUB2","Pasimachus subsulcatus","species",,"Say",,"Say 1823","PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX","PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX","trap unknown",0
"39B0DEDDD84E48DAB638299CC528505D","D03","OSBS","OSBS_004","N","2014-04-14","2014-09-29","2014-09-29","OSBS_004.N.20140414.PASSUB2.01","NEON.BET.D03.000304","vial of pooled individuals","PASSUB2","Pasimachus subsulcatus","species",,"Say",,"Say 1823","PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX","PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX","trap unknown",0
"DA821D1803E34AD29ECC3C2B0746528F","D03","OSBS","OSBS_001","E","2014-04-14","2014-06-25","2014-06-25","OSBS_001.E.20140414.CHLTRI.01","NEON.BET.D03.000423","vial of pooled individuals","CHLTRI","Chlaenius tricolor","species",,"Dejean",,"Dejean 1826","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6",,0
"5C72C0B30AD046998E68570FE9DDA15B","D03","OSBS","OSBS_002","S","2014-04-14","2014-06-25","2014-06-25","OSBS_002.S.20140414.HELCLA.1","NEON.BET.D03.000439","vial of pooled individuals","HELCLA","Helluomorphoides clairvillei","species",,"Dejean",,"Dejean 1831","bPko/k8RNU/icSbrBCzMLbJxWeUwZufu","gXbKJU6r+idz/WpgwqxUOi3U2+YI3Hz/",,0
"289AF1FF03604167939AF306167FD8D3","D03","OSBS","OSBS_003","N","2014-04-14","2014-09-29","2014-09-29","OSBS_003.N.20140414.oc.1","NEON.BET.D03.000369","vial of pooled individuals","CYCFAB","Cyclotrachelus faber","species",,"Germar",,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk","w9gx7zrN+zBUJ2iV6az0FngRBSIRDJ4m",,0
"8A03E3E060374F4A84A96B6AE214CD90","D03","OSBS","OSBS_003","N","2014-04-14","2014-09-29","2014-09-29","OSBS_003.N.20140414.oc.1","NEON.BET.D03.000367","vial of pooled individuals","CYCFAB","Cyclotrachelus faber","species",,"Germar",,"Germar 1824","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk","w9gx7zrN+zBUJ2iV6az0FngRBSIRDJ4m",,0
"7ECBD7D72C304A7F813B4098B0C65B08","D03","OSBS","OSBS_002","S","2014-04-28","2014-06-25","2014-06-25","OSBS_002.S.20140428.helcla.1","NEON.BET.D03.000440","vial of pooled individuals","HELCLA","Helluomorphoides clairvillei","species",,"Dejean",,"Dejean 1831","bPko/k8RNU/icSbrBCzMLbJxWeUwZufu","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"EB9BA74C048B4BFCA01997707BC63AE7","D03","OSBS","OSBS_008","W","2014-04-28","2014-09-19","2014-09-19","OSBS_008.W.20140428.helcla.1","NEON.BET.D03.000035","vial of pooled individuals","HELCLA","Helluomorphoides clairvillei","species",,"Dejean",,"Dejean 1831","w/KL6MXJXvQ9p4XzhV28GG2D83wW5unkeKKvBIBIGMI=","w/KL6MXJXvQ9p4XzhV28GG2D83wW5unkeKKvBIBIGMI=",,0
