"uid","domainID","siteID","plotID","trapID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDate","collectDate","boutNumber","eventID","sampleID","daysOfTrapping","cupStatus","lidStatus","fluidLevel","trapReset","samplingProtocol","recordedBy","remarks","missingRecordsPerBoutQF","duplicateCollectionEventQF","compareSetCollectDateQF"
"B6D00564B5E0483499BAC0917A5ED6AE","D03","OSBS","OSBS_003","N","evergreenForest",29.695171,-81.947424,"WGS84",5.3,33.9,0.7,"2014-03-31","2014-04-14",1,"BET.OSBS_003.2014.01","OSBS_003.N.20140414",14,"ok","disturbed","ok","Y","NEON.DOC.014050","w9gx7zrN+zBUJ2iV6az0FngRBSIRDJ4m",,0,0,0
"8CA57413965C49FFA313AAD3ECCC9D52","D03","OSBS","OSBS_022","E","emergentHerbaceousWetlands",29.689481,-81.960487,"WGS84",5.1,24.0,0.1,"2014-03-31","2014-04-14",1,"BET.OSBS_022.2014.01","OSBS_022.E.20140414",14,"ok","ok","ok","Y","NEON.DOC.014050","w9gx7zrN+zBUJ2iV6az0FngRBSIRDJ4m",,0,0,0
"EDED62B07F01461C839084D535F0D5E6","D03","OSBS","OSBS_022","W","emergentHerbaceousWetlands",29.689478,-81.960900,"WGS84",5.1,24.0,0.1,"2014-03-31","2014-04-14",1,"BET.OSBS_022.2014.01","OSBS_022.W.20140414",14,"ok","ok","ok","Y","NEON.DOC.014050","w9gx7zrN+zBUJ2iV6az0FngRBSIRDJ4m",,0,0,0
"0D3EBEB557A1418ABBEB846C47AE2E1E","D03","OSBS","OSBS_022","N","emergentHerbaceousWetlands",29.689660,-81.960695,"WGS84",5.1,24.0,0.1,"2014-03-31","2014-04-14",1,"BET.OSBS_022.2014.01","OSBS_022.N.20140414",14,"ok","ok","ok","Y","NEON.DOC.014050","w9gx7zrN+zBUJ2iV6az0FngRBSIRDJ4m",,0,0,0
"3B24868E6A2D4ED9A4418FEFD8DE6395","D03","OSBS","OSBS_022","S","emergentHerbaceousWetlands",29.689299,-81.960692,"WGS84",5.1,24.0,0.1,"2014-03-31","2014-04-14",1,"BET.OSBS_022.2014.01","OSBS_022.S.20140414",14,"ok","ok","ok","Y","NEON.DOC.014050","w9gx7zrN+zBUJ2iV6az0FngRBSIRDJ4m",,0,0,0
"9F51C9926D944C98B6720E837BC1C564","D03","OSBS","OSBS_008","W","evergreenForest",29.685054,-82.007366,"WGS84",5.1,45.2,0.1,"2014-03-31","2014-04-14",1,"BET.OSBS_008.2014.01","OSBS_008.W.20140414",14,"ok","ok","ok","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"404566A94FE645D89D195EAA6DBA9673","D03","OSBS","OSBS_008","S","evergreenForest",29.684875,-82.007157,"WGS84",5.1,45.2,0.1,"2014-03-31","2014-04-14",1,"BET.OSBS_008.2014.01","OSBS_008.S.20140414",14,"ok","ok","ok","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"5AC4B96B8B994FEEB44FB28FF03D5702","D03","OSBS","OSBS_008","N","evergreenForest",29.685236,-82.007161,"WGS84",5.1,45.2,0.1,"2014-03-31","2014-04-14",1,"BET.OSBS_008.2014.01","OSBS_008.N.20140414",14,"ok","ok","high","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"A565D8507DD649BA8D7F30182FC36AEF","D03","OSBS","OSBS_008","E","evergreenForest",29.685057,-82.006952,"WGS84",5.1,45.2,0.1,"2014-03-31","2014-04-14",1,"BET.OSBS_008.2014.01","OSBS_008.E.20140414",14,"ok","ok","ok","Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
"0653CA8DB5FD4198A3E384E169DCFF44","D03","OSBS","OSBS_006","W","evergreenForest",29.686607,-81.983207,"WGS84",5.1,33.0,0.1,,"2014-04-14",1,"BET.OSBS_006.2014.01",,,,,,,"NEON.DOC.014050",,"This record is generated by the system",1,,
"7EC733E0E758468994AE7587D36CE1D5","D03","OSBS","OSBS_006","N","evergreenForest",29.686789,-81.983002,"WGS84",5.1,33.0,0.1,"2014-03-31","2014-04-14",1,"BET.OSBS_006.2014.01",,14,"disturbed","disturbed",,"Y","NEON.DOC.014050","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0,0,0
