"uid","domainID","siteID","plotID","trapID","collectDate","etOHChangeDate","processingDate","identifiedDate","associatedSampleID","sampleID","targetTaxaPresent","sampleType","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","individualCount","identificationReferences","identifiedBy","recordedBy","remarks","duplicateSampleIDQF"
"3E60B873EB064B2DAA5DC65F8AF74F50","D03","OSBS","OSBS_003","N","2014-04-14","2014-04-15","2014-04-15",,"OSBS_003.N.20140414.oc.01",,"N","other carabid",,,,,,,,,,"w9gx7zrN+zBUJ2iV6az0FngRBSIRDJ4m",,0
"B5B9A240FDE74311996025712FDF9E10","D03","OSBS","OSBS_022","N","2014-04-14","2014-04-15","2014-04-15",,"OSBS_022.20140414.ib.01","OSBS_022.20140414.ib.01",,"invert bycatch",,,,,,,,,,"w9gx7zrN+zBUJ2iV6az0FngRBSIRDJ4m",,0
"82B5D26965D7435AB2065FCE2B600407","D03","OSBS","OSBS_022","N","2014-04-14","2014-04-15","2014-04-15",,"OSBS_022.N.20140414.oc.01",,"Y","other carabid",,,,,,,,,,"w9gx7zrN+zBUJ2iV6az0FngRBSIRDJ4m",,0
"950FDA2C31FD49AAA75AD1CD2FC47177","D03","OSBS","OSBS_022","S","2014-04-14","2014-04-15","2014-04-15",,"OSBS_022.S.20140414.oc.01",,"Y","other carabid",,,,,,,,,,"w9gx7zrN+zBUJ2iV6az0FngRBSIRDJ4m",,0
"1D44704A97EF437DBC20FB137B8862A8","D03","OSBS","OSBS_008","N","2014-04-14","2014-04-15","2014-04-15",,"OSBS_008.20140414.ib.01","OSBS_008.20140414.ib.01","N","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"0DD7ED295E444D388CB89B9D0C35E329","D03","OSBS","OSBS_006","N","2014-04-14","2014-04-15","2014-04-15",,"OSBS_006.20140414.ib.01","OSBS_006.20140414.ib.01","N","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"DEF48BA42D664DDC8407E6B4B4F9A77A","D03","OSBS","OSBS_005","N","2014-04-14","2014-04-15","2014-04-15",,"OSBS_005.20140414.ib.01","OSBS_005.20140414.ib.01","Y","invert bycatch",,,,,,,,,,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi",,2
"A5ED9E58B2A443499401382B2A12201F","D03","OSBS","OSBS_005","N","2014-04-14","2014-04-29","2014-04-29",,"OSBS_005.20140414.ib.01","OSBS_005.20140414.ib.01","N","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,2
"8E67771A36824375893478E5AFC6C6A9","D03","OSBS","OSBS_005","N","2014-04-14","2014-04-15","2014-04-15",,"OSBS_005.20140414.ib.01","OSBS_005.20140414.ib.01","Y","invert bycatch",,,,,,,,,,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi",,2
"A1B3500DD3DB417D932ED0CB80234BB7","D03","OSBS","OSBS_005","E","2014-04-14","2014-04-15","2014-04-15",,"OSBS_005.E.20140414.oc.01",,"Y","other carabid",,,,,,,,,,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi",,1
"E9326AE6DA9F4418B3988CFE498C70D2","D03","OSBS","OSBS_007","N","2014-04-14","2014-04-29","2014-04-29",,"OSBS_007.20140414.ib.01","OSBS_007.20140414.ib.01",,"invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"96196C3FEB6E436BBDFA10DBA80711D4","D03","OSBS","OSBS_004","N","2014-04-14","2014-04-15","2014-04-15","2014-09-29","OSBS_004.N.20140414.PASSUB2.01","OSBS_004.N.20140414.PASSUB2.01","Y","common carabid","PASSUB2","Pasimachus subsulcatus","species",,"Say",,2,"Say 1823","PbNu4t/t/O1BAZriMiaA3VbsZD9KatgX","iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi","Trap unknown",0
"B9165AD7ED2549B3BA960646D6D80E35","D03","OSBS","OSBS_004","N","2014-04-14","2014-04-15","2014-04-15",,"OSBS_004.20140414.ib.01","OSBS_004.20140414.ib.01","N","invert bycatch",,,,,,,,,,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi",,2
"12F93050D727426F8E1C89CFE8A0953F","D03","OSBS","OSBS_004","N","2014-04-14","2014-04-15","2014-04-15",,"OSBS_004.20140414.ib.01","OSBS_004.20140414.ib.01","Y","invert bycatch",,,,,,,,,,"iiDgbhaUgfNp3U3OpmVG3zaygcMeRRyi",,2
"024593CF8515434BBC33020CEDDB16AB","D03","OSBS","OSBS_002","S","2014-04-14","2014-04-15","2014-04-15","2014-04-15","OSBS_002.S.20140414.PASSTR.01","OSBS_002.20140414.PASSTR.01","Y","common carabid","PASSTR","Pasimachus strenuus","species",,"LeConte",,,"Palisot de Beauvois","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk","w9gx7zrN+zBUJ2iV6az0FngRBSIRDJ4m",,0
"11A61AB3F3DE4E4CA73D4B0FC4F6F069","D03","OSBS","OSBS_002","S","2014-04-14","2014-04-15","2014-04-15",,"OSBS_002.S.20140414.oc.01",,"Y","other carabid",,,,,,,,,,"w9gx7zrN+zBUJ2iV6az0FngRBSIRDJ4m",,0
"6750BA507D734C17AC6CAD7F3BFF641A","D03","OSBS","OSBS_002","N","2014-04-14","2014-04-15","2014-04-15",,"OSBS_002.20140414.ib.01","OSBS_002.20140414.ib.01","N","invert bycatch",,,,,,,,,,"w9gx7zrN+zBUJ2iV6az0FngRBSIRDJ4m",,0
"A43BD413819342A0B9D05758C956CC21","D03","OSBS","OSBS_003","N","2014-04-14","2014-04-15","2014-04-15",,"OSBS_003.20140414.ib.01","OSBS_003.20140414.ib.01","N","invert bycatch",,,,,,,,,,"w9gx7zrN+zBUJ2iV6az0FngRBSIRDJ4m",,0
"179635E5FEC44FDEAF99B12281C325ED","D03","OSBS","OSBS_003","N","2014-04-14","2014-04-15","2014-04-15","2014-04-15","OSBS_003.N.20140414.PASSUB1.01","OSBS_003.20140414.PASSUB1.01","Y","common carabid","PASSUB1","Pasimachus sublaevis","species",,"Palisot de Beauvois",,,"Palisot de Beauvois","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk","w9gx7zrN+zBUJ2iV6az0FngRBSIRDJ4m",,0
"83B4BBFF16454F18AE5167FF6AE8D55C","D03","OSBS","OSBS_003","N","2014-04-28","2014-04-29","2014-04-29","2014-04-29","OSBS_003.N.20140428.PASSUB1.01","OSBS_003.20140428.PASSUB1.01","Y","common carabid","PASSUB1","Pasimachus sublaevis","species",,"Palisot de Beauvois",,,"Palisot de Beauvois	1811","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"EBB56F59EAB8472F87854988552ADC48","D03","OSBS","OSBS_008","W","2014-04-28","2014-04-29","2014-09-19",,"OSBS_008.W.20140428.oc.01",,"Y","other carabid",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"6597AC19F72E47BCAA4B19BFCDD8E07D","D03","OSBS","OSBS_008","N","2014-04-28","2014-04-29","2014-04-29",,"OSBS_008.20140428.ib.01","OSBS_008.20140428.ib.01","N","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"5822DAB0878948B693C52456B3CEB2FC","D03","OSBS","OSBS_006","E","2014-04-28","2014-04-29","2014-09-19","2014-09-19","OSBS_006.E.20140428.PASSUB2.01","OSBS_006.E.20140428.PASSUB2.01","Y","common carabid","PASSUB2","Pasimachus subsulcatus","species",,"Say",,,"Say 1823","w/KL6MXJXvQ9p4XzhV28GG2D83wW5unkeKKvBIBIGMI=","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"FA698BF5EBF64F54B3D3BD810977C155","D03","OSBS","OSBS_006","N","2014-04-28","2014-04-29","2014-04-29",,"OSBS_006.20140428.ib.01","OSBS_006.20140428.ib.01",,"invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"E98ECED15BF94C4D82F67E9A885AFDC0","D03","OSBS","OSBS_001","S","2014-04-28","2014-04-29","2014-04-29",,"OSBS_001.20140428.ib.01","OSBS_001.20140428.ib.01","Y","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"0DC6A14676E540279A44A2403DCB931F","D03","OSBS","OSBS_001","S","2014-04-28","2014-04-29","2014-04-29",,"OSBS_001.S.20140428.oc.01",,"Y","other carabid",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"DBDA34EE81164508B1B84F4C150EA7F7","D03","OSBS","OSBS_002","E","2014-04-28","2014-04-29","2014-04-29","2014-04-29","OSBS_002.E.20140428.BUFQUE.01","OSBS_002.E.20140428.BUFQUE.01",,"vert bycatch herp","ANAQUE","Anaxyrus quercicus","species",,"Holbrook",,1,"Peterson's Guide to Amphibians and Reptiles","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"FFE41428915E4192BDE2D6E4247ED202","D03","OSBS","OSBS_002","N","2014-04-28","2014-04-29","2014-04-29","2014-06-25","OSBS_002.N.20140428.PASSTR.01","OSBS_002.N.20140428.PASSTR.01","Y","common carabid","PASSTR","Pasimachus strenuus","species",,"LeConte",,,"LeConte	1874","7ZsG8s1cQijU1p7CX6b9FNrZuRO+/rX6","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"10DD90A22B154063ABB2CE394CCE47CB","D03","OSBS","OSBS_002","N","2014-04-28","2014-05-12","2014-05-12",,"OSBS_002.20140428.ib.01","OSBS_002.20140428.ib.01","N","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,2
"7390D4E20B1E4D51841D25EB712FAF20","D03","OSBS","OSBS_002","S","2014-04-28","2014-04-29","2014-04-29",,"OSBS_002.20140428.ib.01","OSBS_002.20140428.ib.01","Y","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,2
"D4BF308CB128467AB514DD94871341A0","D03","OSBS","OSBS_002","S","2014-04-28","2014-04-29","2014-04-29",,"OSBS_002.S.20140428.oc.01",,"Y","other carabid",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"CD7F5259BA2D45A7B77D0C90DC917C5D","D03","OSBS","OSBS_002","N","2014-04-28","2014-04-29","2014-04-29",,"OSBS_002.N.20140428.oc.01",,"Y","other carabid",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"EE4A770FC1854913999C7764285AD4C9","D03","OSBS","OSBS_003","N","2014-04-28","2014-04-29","2014-04-29",,"OSBS_003.20140428.ib.01","OSBS_003.20140428.ib.01","Y","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"5E59A73C8A7A49D4A59F495AF63EDE5F","D03","OSBS","OSBS_003","W","2014-05-12","2014-05-12","2014-05-12",,"OSBS_003.W.20140512.oc.01",,,"other carabid",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"D22B4E08566242C88A4B6654B97C0491","D03","OSBS","OSBS_022","N","2014-05-12","2014-05-12","2014-05-12",,"OSBS_022.20140512.ib.01","OSBS_022.20140512.ib.01","N","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"33F85F0DCA98464DA1FD20F681DA5A97","D03","OSBS","OSBS_008","N","2014-05-12","2014-05-12","2014-05-12",,"OSBS_008.20140512.ib.01","OSBS_008.20140512.ib.01","Y","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"3D9B3EFBA7B64547BD303691CD71FDEA","D03","OSBS","OSBS_006","N","2014-05-12","2014-05-12","2014-05-12",,"OSBS_006.20140512.ib.01","OSBS_006.20140512.ib.01","N","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"CCD60460FBF6492AB7F2526193AE96BF","D03","OSBS","OSBS_005","N","2014-05-12","2014-05-12","2014-05-12",,"OSBS_005.20140512.ib.01","OSBS_005.20140512.ib.01",,"invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"2CE1934A81A0467A94E18FD9279E4588","D03","OSBS","OSBS_007","N","2014-05-12","2014-05-12","2014-05-12",,"OSBS_007.20140512.ib.01","OSBS_007.20140512.ib.01","N","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"0AD1A6452BA54856874285DDA65DDD07","D03","OSBS","OSBS_004","N","2014-05-12","2014-05-12","2014-05-12",,"OSBS_004.20140512.ib.01","OSBS_004.20140512.ib.01",,"invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"F16C61BEF0A043448CAEB1590CA36FDA","D03","OSBS","OSBS_004","N","2014-05-12","2014-05-12","2014-05-12","2014-09-19","OSBS_004.N.20140512.PASSUB2.01","OSBS_004.N.20140512.PASSUB2.01","Y","common carabid","PASSUB2","Pasimachus subsulcatus","species",,"Say",,,"say 1823","w/KL6MXJXvQ9p4XzhV28GG2D83wW5unkeKKvBIBIGMI=","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"CE28B12694CF47F487D909B8B1B8415B","D03","OSBS","OSBS_004","W","2014-05-12","2014-05-12","2014-05-12","2014-09-19","OSBS_004.W.20140512.PASSUB2.01","OSBS_004.W.20140512.PASSUB2.01","Y","common carabid","PASSUB2","Pasimachus subsulcatus","species",,"Say",,1,"Say 1823","YK5ulgcjQA5M6hxjAkVbmv4a8AjznrKv","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"B04E055004A84967B2549BBCEE8CBA58","D03","OSBS","OSBS_004","W","2014-05-12","2014-05-12","2014-05-12",,"OSBS_004.W.20140512.oc.01",,"Y","other carabid",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"A0D88C2371BC4058870AE7C956048D03","D03","OSBS","OSBS_001","N","2014-05-12","2014-05-12","2014-05-12",,"OSBS_001.20140512.ib.01","OSBS_001.20140512.ib.01",,"invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"2794DCBCB96D443D875B9D0FF9E3C01F","D03","OSBS","OSBS_001","W","2014-05-12","2014-05-12","2014-05-12",,"OSBS_001.W.20140512.oc.01",,,"other carabid",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"96AB7375BFF048E7A462E8B10B6A4F08","D03","OSBS","OSBS_003","W","2014-05-12","2014-05-12","2014-05-12","2014-09-19","OSBS_003.W.20140512.PASSUB2.01","OSBS_003.W.20140512.PASSUB2.01","Y","common carabid","PASSUB2","Pasimachus subsulcatus","species",,"Say",,1,"Say 1823","w/KL6MXJXvQ9p4XzhV28GG2D83wW5unkeKKvBIBIGMI=","iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
"BC7BDBF7B0C848FEB6B4542E47D1CA89","D03","OSBS","OSBS_003","N","2014-05-12","2014-05-12","2014-05-12",,"OSBS_003.20140512.ib.01","OSBS_003.20140512.ib.01","Y","invert bycatch",,,,,,,,,,"iiDgbhaUgfPlmO3sDuElTmkNgYTXyxbk",,0
