"uid","domainID","siteID","plotID","trapID","collectDate","processingDate","identifiedDate","sampleID","individualID","specimenSource","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","identificationReferences","identifiedBy","recordedBy","remarks","duplicateIndividualIDQF"
"B90F31F01C4E4205AC74AD47AED48927","D05","UNDE","UNDE_010","E","2014-08-12","2014-11-20","2014-12-01","UNDE_010.E.20140812.oc.01","NEON.BET.D05.000216","vial of pooled individuals",,,,,,"D05.2014.MorphJ","Arnett, R.H. Jr., Thomas, M.C. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. 1st Ed. CRC Press, Boca Raton, FL.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","~10mm. Sparse setea on integument. Color is reddish-brown with legs, antennae and pronotum edges lighter. Anterior coxal cavities open posteriorly, distinguished from N. pallipes by lack or red spots on head. Tribe Lebiini, probably genus Dromius.",0
"057563E732AB41409A8678916692E08C","D05","UNDE","UNDE_001","W","2014-08-19","2014-11-20","2014-12-01","UNDE_001.W.20140819.oc.01","NEON.BET.D05.000194","vial of pooled individuals",,,,,,"D05.2014.MorphJ","Arnett, R.H. Jr., Thomas, M.C. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. 1st Ed. CRC Press, Boca Raton, FL.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","~10mm. Sparse setea on integument. Color is reddish-brown with legs, antennae and pronotum edges lighter. Anterior coxal cavities open posteriorly, distinguished from N. pallipes by lack or red spots on head. Tribe Lebiini, probably genus Dromius.",0
"EDC7A32798CD48F0A104462E80A0383C","D05","UNDE","UNDE_017","N","2014-08-19","2014-11-17","2014-11-21","UNDE_017.N.20140819.oc.01","NEON.BET.D05.000028","vial of pooled individuals","CARNEM","Carabus nemoralis nemoralis","subspecies",,"Mueller",,"Evans, A.V. 2014. Beetles of Eastern North America. 1st Ed. Princeton University Press, Princeton, NJ.; http://bugguide.net/node/view/186","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",,0
"3B7ED2B2C0C04C5F9079A5780D77C919","D05","UNDE","UNDE_017","N","2014-08-19","2014-11-17","2014-12-01","UNDE_017.N.20140819.oc.01","NEON.BET.D05.000030","vial of pooled individuals",,,,,,"D05.2014.MorphJ","Arnett, R.H. Jr., Thomas, M.C. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. 1st Ed. CRC Press, Boca Raton, FL.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","~10mm. Sparse setea on integument. Color is reddish-brown with legs, antennae and pronotum edges lighter. Anterior coxal cavities open posteriorly, distinguished from N. pallipes by lack or red spots on head. Tribe Lebiini, probably genus Dromius.",0
"EFECF1C14C794410B6B5A795162EE058","D05","UNDE","UNDE_017","N","2014-08-19","2014-11-17","2014-12-01","UNDE_017.N.20140819.oc.01","NEON.BET.D05.000031","vial of pooled individuals",,,,,,"D05.2014.MorphJ","Arnett, R.H. Jr., Thomas, M.C. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. 1st Ed. CRC Press, Boca Raton, FL.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Wings broke off, glued back on. Morph description: ~10mm. Sparse setea on integument. Color is reddish-brown with legs, antennae and pronotum edges lighter. Anterior coxal cavities open posteriorly. Tribe Lebiini, probably genus Dromius.",0
"829351C0BC9E42EA8CD697C3A7013ACD","D05","UNDE","UNDE_017","N","2014-08-19","2014-11-17","2014-12-01","UNDE_017.N.20140819.oc.01","NEON.BET.D05.000029","vial of pooled individuals",,,,,,"D05.2014.MorphJ","Arnett, R.H. Jr., Thomas, M.C. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. 1st Ed. CRC Press, Boca Raton, FL.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","~10mm. Sparse setea on integument. Color is reddish-brown with legs, antennae and pronotum edges lighter. Anterior coxal cavities open posteriorly, distinguished from N. pallipes by lack or red spots on head. Tribe Lebiini, probably genus Dromius.",0
"BFB0ED74CA504987B819AAA9630C2D4A","D05","UNDE","UNDE_017","E","2014-08-19","2014-10-28","2014-11-21","UNDE_017.E.20140819.oc.01","NEON.BET.D05.000012","vial of pooled individuals","CARNEM","Carabus nemoralis nemoralis","subspecies",,"Mueller",,"Evans, A.V. 2014. Beetles of Eastern North America. 1st Ed. Princeton University Press, Princeton, NJ.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",,0
"04FA47802543428BB77F2714B734E006","D05","UNDE","UNDE_017","E","2014-08-19","2014-10-28","2014-12-01","UNDE_017.E.20140819.oc.01","NEON.BET.D05.000013","vial of pooled individuals",,,,,,"D05.2014.MorphJ",,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Approximately 10mm in length, sparse setea on integument (not densely hairy). Color is reddish-brown with legs, antennae and pronotum edges lighter. In tribe Lebiini, probably genus Dromius.",0
"6FDCFBFC7A0247D5BBFB40D597382DA6","D05","UNDE","UNDE_017","E","2014-08-19","2014-10-28","2014-12-01","UNDE_017.E.20140819.oc.01","NEON.BET.D05.000014","vial of pooled individuals",,,,,,"D05.2014.MorphJ","Arnett, R.H. Jr., Thomas, M.C. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. 1st Ed. CRC Press, Boca Raton, FL.; http://bugguide.net/node/view/186","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","~10mm. Sparse setea on integument. Color is reddish-brown with legs, antennae and pronotum edges lighter. Anterior coxal cavities open posteriorly, distinguished from N. pallipes by lack or red spots on head. Tribe Lebiini, probably genus Dromius.",0
"C64629C415E44CF1B5CF7B0944448341","D05","UNDE","UNDE_017","S","2014-08-19","2014-11-18","2014-11-21","UNDE_017.S.20140819.oc.01","NEON.BET.D05.000102","vial of pooled individuals",,,,,,"D05.2014.MorphA","Arnett, R.H. Jr., Thomas, M.C. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. 1st Ed. CRC Press, Boca Raton, FL.","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","Believe to be cysod2, but not 100% sure the genus is correct (cg). 16-21mm, differs from ptecor1 by tooth at basal angle of pronotum.",0
