"uid","domainID","siteID","plotID","trapID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDate","collectDate","boutNumber","eventID","sampleID","daysOfTrapping","cupStatus","lidStatus","fluidLevel","trapReset","samplingProtocol","recordedBy","remarks","missingRecordsPerBoutQF","duplicateCollectionEventQF","compareSetCollectDateQF"
"EEC9A16C01F341E8B3B87312ECF3F4B8","D05","UNDE","UNDE_001","W","deciduousForest",46.234619,-89.561030,"WGS84",1.1,523.7,0.2,"2014-08-05","2014-08-19",1,"BET.UNDE_001.2014.01","UNDE_001.W.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","CxWlXtj1NvvcObP5u/oRylizjHXzCt58",,0,0,0
"E2F9C4E0241342E280EAAF7A594C64D8","D05","UNDE","UNDE_017","W","mixedForest",46.237955,-89.496598,"WGS84",1.2,523.8,0.3,"2014-08-05","2014-08-19",1,"BET.UNDE_017.2014.01","UNDE_017.W.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,0,0,0
"71B18E6B39C64C63A65D309366F6796E","D05","UNDE","UNDE_017","S","mixedForest",46.237781,-89.496331,"WGS84",1.2,523.8,0.3,"2014-08-05","2014-08-19",1,"BET.UNDE_017.2014.01","UNDE_017.S.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,0,0,0
"271D9DC29244436396372F590C766A6C","D05","UNDE","UNDE_017","E","mixedForest",46.237966,-89.496080,"WGS84",1.2,523.8,0.3,"2014-08-05","2014-08-19",1,"BET.UNDE_017.2014.01","UNDE_017.E.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,0,0,0
"54D2BA12D4E1435D9829D30C6C8A8392","D05","UNDE","UNDE_017","N","mixedForest",46.238140,-89.496347,"WGS84",1.2,523.8,0.3,"2014-08-05","2014-08-19",1,"BET.UNDE_017.2014.01","UNDE_017.N.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,0,0,0
"A966F4BAAC774156B73CC9BCD4EED224","D05","UNDE","UNDE_012","W","woodyWetlands",46.236974,-89.504722,"WGS84",1.1,514.9,0.1,"2014-08-05","2014-08-19",1,"BET.UNDE_012.2014.01","UNDE_012.W.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,0,0,0
"E85F06F7CF0F4B11A773CD7841C6AA4D","D05","UNDE","UNDE_012","N","woodyWetlands",46.237159,-89.504471,"WGS84",1.1,514.9,0.1,"2014-08-05","2014-08-19",1,"BET.UNDE_012.2014.01","UNDE_012.N.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,0,0,0
"716E32B1CCAB4707B2CFEA27EF03D86E","D05","UNDE","UNDE_012","E","woodyWetlands",46.236985,-89.504204,"WGS84",1.1,514.9,0.1,"2014-08-05","2014-08-19",1,"BET.UNDE_012.2014.01","UNDE_012.E.20140819",14,"ok","ok","high","Y","NEON.DOC.014050","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,0,0,0
"4B3316F7F1694B669DF338E03D4885E5","D05","UNDE","UNDE_012","S","woodyWetlands",46.236800,-89.504455,"WGS84",1.1,514.9,0.1,"2014-08-05","2014-08-19",1,"BET.UNDE_012.2014.01","UNDE_012.S.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,0,0,0
"4BC2EA56F4614660B6F1CC777F12C914","D05","UNDE","UNDE_011","W","woodyWetlands",46.215093,-89.505289,"WGS84",1.1,503.6,0.1,"2014-08-05","2014-08-19",1,"BET.UNDE_011.2014.01","UNDE_011.W.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,0,0,0
"55ED3D9EEAEA48E9AEC93953FBF590A6","D05","UNDE","UNDE_011","S","woodyWetlands",46.214919,-89.505022,"WGS84",1.1,503.6,0.1,"2014-08-05","2014-08-19",1,"BET.UNDE_011.2014.01","UNDE_011.S.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,0,0,0
"7C5382BF40FA42B49AE86872252ED4CC","D05","UNDE","UNDE_011","N","woodyWetlands",46.215278,-89.505038,"WGS84",1.1,503.6,0.1,"2014-08-05","2014-08-19",1,"BET.UNDE_011.2014.01","UNDE_011.N.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,0,0,0
"B21B840FBF78492685B50FEA9A6C3C68","D05","UNDE","UNDE_011","E","woodyWetlands",46.215104,-89.504771,"WGS84",1.1,503.6,0.1,"2014-08-05","2014-08-19",1,"BET.UNDE_011.2014.01","UNDE_011.E.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,0,0,0
"FC39196A4FC44C75BFD84F1D18561CF0","D05","UNDE","UNDE_010","S","woodyWetlands",46.237598,-89.541849,"WGS84",1.3,512.8,0.4,"2014-08-05","2014-08-19",1,"BET.UNDE_010.2014.01","UNDE_010.S.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","CxWlXtj1NvvcObP5u/oRylizjHXzCt58",,0,0,0
"60A6E8CF31CF40B99D03CD51C509C187","D05","UNDE","UNDE_010","N","woodyWetlands",46.237957,-89.541865,"WGS84",1.3,512.8,0.4,"2014-08-05","2014-08-19",1,"BET.UNDE_010.2014.01","UNDE_010.N.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","CxWlXtj1NvvcObP5u/oRylizjHXzCt58",,0,0,0
"BC0A267AF42049CCB4A25C571DF9AA3B","D05","UNDE","UNDE_010","E","woodyWetlands",46.237783,-89.541598,"WGS84",1.3,512.8,0.4,"2014-08-05","2014-08-19",1,"BET.UNDE_010.2014.01","UNDE_010.E.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","CxWlXtj1NvvcObP5u/oRylizjHXzCt58",,0,0,0
"1A28468904B6448E97A45EE6CD4B60BE","D05","UNDE","UNDE_010","W","woodyWetlands",46.237772,-89.542116,"WGS84",1.3,512.8,0.4,"2014-08-05","2014-08-19",1,"BET.UNDE_010.2014.01","UNDE_010.W.20140819",14,"ok","disturbed","ok","Y","NEON.DOC.014050","CxWlXtj1NvvcObP5u/oRylizjHXzCt58",,0,0,0
"1B80BA9E5AA2415A92A38CBC8F411346","D05","UNDE","UNDE_008","W","mixedForest",46.256187,-89.515311,"WGS84",1.2,514.8,0.4,"2014-08-05","2014-08-19",1,"BET.UNDE_008.2014.01","UNDE_008.W.20140819",14,"ok","ok","high","Y","NEON.DOC.014050","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,0,0,0
"2A2D0E817E5C408991642F9D84D92B2D","D05","UNDE","UNDE_008","E","mixedForest",46.256198,-89.514793,"WGS84",1.2,514.8,0.4,"2014-08-05","2014-08-19",1,"BET.UNDE_008.2014.01","UNDE_008.E.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,0,0,0
"50F56D6FB3A64647B951A356FD3E0F3B","D05","UNDE","UNDE_008","N","mixedForest",46.256372,-89.515060,"WGS84",1.2,514.8,0.4,"2014-08-05","2014-08-19",1,"BET.UNDE_008.2014.01","UNDE_008.N.20140819",14,"ok","ok","high","Y","NEON.DOC.014050","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,0,0,0
"083F8F1F158B487FA1D63C6C671A7E50","D05","UNDE","UNDE_008","S","mixedForest",46.256013,-89.515044,"WGS84",1.2,514.8,0.4,"2014-08-05","2014-08-19",1,"BET.UNDE_008.2014.01","UNDE_008.S.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,0,0,0
"EA9AE21770734CFAA504BD753EF02C33","D05","UNDE","UNDE_007","N","deciduousForest",46.248883,-89.536143,"WGS84",1.1,518.7,0.2,"2014-08-05","2014-08-19",1,"BET.UNDE_007.2014.01","UNDE_007.N.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","CxWlXtj1NvvcObP5u/oRylizjHXzCt58",,0,0,0
"F51099A48A794B349C20444722F73A22","D05","UNDE","UNDE_007","W","deciduousForest",46.248697,-89.536393,"WGS84",1.1,518.7,0.2,"2014-08-05","2014-08-19",1,"BET.UNDE_007.2014.01","UNDE_007.W.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","CxWlXtj1NvvcObP5u/oRylizjHXzCt58",,0,0,0
"08C25B0F138D41FBA9C235297381A7D1","D05","UNDE","UNDE_007","S","deciduousForest",46.248523,-89.536126,"WGS84",1.1,518.7,0.2,"2014-08-05","2014-08-19",1,"BET.UNDE_007.2014.01","UNDE_007.S.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","CxWlXtj1NvvcObP5u/oRylizjHXzCt58",,0,0,0
"59044973BF3F4B9BB2A956FBBEA80CF8","D05","UNDE","UNDE_007","E","deciduousForest",46.248709,-89.535875,"WGS84",1.1,518.7,0.2,"2014-08-05","2014-08-19",1,"BET.UNDE_007.2014.01","UNDE_007.E.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","CxWlXtj1NvvcObP5u/oRylizjHXzCt58",,0,0,0
"EB60F15CC9714C6C988811F337239119","D05","UNDE","UNDE_003","E","woodyWetlands",46.256253,-89.535830,"WGS84",1.2,504.8,0.3,"2014-08-05","2014-08-19",1,"BET.UNDE_003.2014.01","UNDE_003.E.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","CxWlXtj1NvvcObP5u/oRylizjHXzCt58",,0,0,0
"6AA7DF4D31DB4886B98DBB832CA052F7","D05","UNDE","UNDE_003","S","woodyWetlands",46.256067,-89.536081,"WGS84",1.2,504.8,0.3,"2014-08-05","2014-08-19",1,"BET.UNDE_003.2014.01","UNDE_003.S.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","CxWlXtj1NvvcObP5u/oRylizjHXzCt58",,0,0,0
"FCD68A9DAF374422986CF411B532FDCD","D05","UNDE","UNDE_003","N","woodyWetlands",46.256427,-89.536098,"WGS84",1.2,504.8,0.3,"2014-08-05","2014-08-19",1,"BET.UNDE_003.2014.01","UNDE_003.N.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","CxWlXtj1NvvcObP5u/oRylizjHXzCt58",,0,0,0
"41560ED542B340AE90CEBCEFC20C91EC","D05","UNDE","UNDE_003","W","woodyWetlands",46.256241,-89.536349,"WGS84",1.2,504.8,0.3,"2014-08-05","2014-08-19",1,"BET.UNDE_003.2014.01","UNDE_003.W.20140819",14,"ok","disturbed","ok","Y","NEON.DOC.014050","CxWlXtj1NvvcObP5u/oRylizjHXzCt58",,0,0,0
"870834B243444D1CB31B8807F5049273","D05","UNDE","UNDE_002","N","woodyWetlands",46.243282,-89.544813,"WGS84",1.1,504.2,0.1,"2014-08-05","2014-08-19",1,"BET.UNDE_002.2014.01","UNDE_002.N.20140819",14,"disturbed","disturbed","low","Y","NEON.DOC.014050","CxWlXtj1NvvcObP5u/oRylizjHXzCt58",,0,0,0
"47057216BCE34896815A36AB5F74CB53","D05","UNDE","UNDE_002","S","woodyWetlands",46.242923,-89.544796,"WGS84",1.1,504.2,0.1,"2014-08-05","2014-08-19",1,"BET.UNDE_002.2014.01",,14,"disturbed","disturbed","low","Y","NEON.DOC.014050","CxWlXtj1NvvcObP5u/oRylizjHXzCt58","No sample collected due to disturbance",0,0,0
"AA1BB62ADB304300843EB07F9748E1EC","D05","UNDE","UNDE_002","W","woodyWetlands",46.243097,-89.545064,"WGS84",1.1,504.2,0.1,"2014-08-05","2014-08-19",1,"BET.UNDE_002.2014.01","UNDE_002.W.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","CxWlXtj1NvvcObP5u/oRylizjHXzCt58",,0,0,0
"4C01D6DCF36F4C0A9F8358A32ACF47C8","D05","UNDE","UNDE_002","E","woodyWetlands",46.243108,-89.544545,"WGS84",1.1,504.2,0.1,"2014-08-05","2014-08-19",1,"BET.UNDE_002.2014.01","UNDE_002.E.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","CxWlXtj1NvvcObP5u/oRylizjHXzCt58",,0,0,0
"8F57C006FEE74EFCBC41C0C34E432520","D05","UNDE","UNDE_006","S","deciduousForest",46.254434,-89.512649,"WGS84",1.2,530.0,0.2,"2014-08-05","2014-08-19",1,"BET.UNDE_006.2014.01","UNDE_006.S.20140819",14,"ok","disturbed","ok","Y","NEON.DOC.014050","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,0,0,0
"A0BD3CA1E8CC473E9099A70CB1BAB848","D05","UNDE","UNDE_006","W","deciduousForest",46.254608,-89.512916,"WGS84",1.2,530.0,0.2,"2014-08-05","2014-08-19",1,"BET.UNDE_006.2014.01","UNDE_006.W.20140819",14,"ok","ok","ok","Y","NEON.DOC.014050","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,0,0,0
