"uid","domainID","siteID","plotID","trapID","collectDate","etOHChangeDate","processingDate","identifiedDate","associatedSampleID","sampleID","targetTaxaPresent","sampleType","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","individualCount","identificationReferences","identifiedBy","recordedBy","remarks","duplicateSampleIDQF"
"CA61603268694A948E75292B2A2D1B6F","D05","UNDE","UNDE_001","N","2014-08-19","2014-08-20","2014-09-23",,"UNDE_001.20140819.ib.01","UNDE_001.20140819.ib.01","Y","invert bycatch",,,,,,,,,,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",,0
"D7889B3147D14096BF10F1855DAA524C","D05","UNDE","UNDE_017","S","2014-08-19","2014-08-20","2014-09-23","2014-08-20","UNDE_017.S.20140819.PLECIN.01","UNDE_017.S.20140819.PLECIN.01","Y","vert bycatch herp","PLECIN","Plethodon cinereus","species",,"Green",,1,"Harding, J.H. 1997. Amphibians and reptiles of the Great Lakes Region. University of Michigan Press, Ann Arbor, MI.","bhyqAGH4uRkcir9xDj7d5wq9Q3xNnOdK","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",,0
"70428920396E455EAAAB8B1E0CCE0E5D","D05","UNDE","UNDE_017","E","2014-08-19","2014-08-20","2014-09-23",,"UNDE_017.E.20140819.oc.01",,"Y","other carabid",,,,,,,,,,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",,0
"87596201F4E64CBB9F25F6ABC026FFA5","D05","UNDE","UNDE_017","N","2014-08-19","2014-08-20","2014-09-23",,"UNDE_017.N.20140819.oc.01",,"N","other carabid",,,,,,,,,,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",,0
"9E6ECF4E168A499DA9CD3BF35B4741B5","D05","UNDE","UNDE_017","S","2014-08-19","2014-08-20","2014-09-23",,"UNDE_017.S.20140819.oc.01",,"Y","other carabid",,,,,,,,,,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",,0
"6E26638A03D846708AEDF6AE353595A7","D05","UNDE","UNDE_017","W","2014-08-19","2014-08-20","2014-09-23",,"UNDE_017.W.20140819.oc.01",,"Y","other carabid",,,,,,,,,,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",,0
"A6D8A5D35FDB4C57AAEA506DBA3279DC","D05","UNDE","UNDE_017","N","2014-08-19","2014-08-20","2014-09-23",,"UNDE_017.20140819.ib.01","UNDE_017.20140819.ib.01","Y","invert bycatch",,,,,,,,,,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",,0
"C7F54F7D7F3C4309811CFBCC852789A6","D05","UNDE","UNDE_012","N","2014-08-19","2014-08-20","2014-09-23",,"UNDE_012.20140819.ib.01","UNDE_012.20140819.ib.01","N","invert bycatch",,,,,,,,,,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",,2
"C4DD9B83DEE148CB8651A7CD9F5D2998","D05","UNDE","UNDE_012","S","2014-08-19","2014-08-20","2014-09-23",,"UNDE_012.20140819.ib.01","UNDE_012.20140819.ib.01","Y","invert bycatch",,,,,,,,,,"Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",,2
"81A04EDFB20C44A7A4656A2EE446810D","D05","UNDE","UNDE_012","N","2014-08-19","2014-08-20","2014-09-23","2014-08-20","UNDE_012.N.20140819.ANAAME.01","UNDE_012.N.20140819.ANAAME.01","N","vert bycatch herp","ANAAME","Anaxyrus americanus","species",,"Holbrook",,1,"Harding, J.H. 1997. Amphibians and reptiles of the Great Lakes Region. University of Michigan Press, Ann Arbor, MI.","bhyqAGH4uRkcir9xDj7d5wq9Q3xNnOdK","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g",,0
