"uid","domainID","siteID","plotID","trapID","collectDate","processingDate","identifiedDate","sampleID","individualID","specimenSource","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","identificationReferences","identifiedBy","recordedBy","remarks","duplicateIndividualIDQF"
"B0A399E579364FB8A3347689BDEFE1C5","D07","ORNL","ORNL_001","W","2014-06-03","2014-06-04","2015-01-08","ORNL_001.W.20140603.CYCFUC.02","NEON.BET.D07.000211","vial of pooled individuals","CYCFUC","Cyclotrachelus fucatus","species","cf. species","Freitag",,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke",,0
"FA76BC4A8F404A6E95E408309F6C984C","D07","ORNL","ORNL_031","E","2014-06-03","2014-06-04","2015-01-08","ORNL_031.E.20140603.ANISP9.03","NEON.BET.D07.000310","vial of pooled individuals","ANISP9","Anisodactylus sp.","genus","cf. species","Dejean",,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke",,0
"554EF9BB055845DFBB2E197D6DE3FA54","D07","ORNL","ORNL_031","E","2014-06-03","2014-06-04","2015-01-08","ORNL_031.E.20140603.SCASP12.01","NEON.BET.D07.000461","vial of pooled individuals","SCASP12","Scarites sp.","genus",,"Fabricius",,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke",,0
"68D4358659C3431C92C3992828C25E9D","D07","ORNL","ORNL_031","W","2014-06-03","2014-06-04","2015-01-08","ORNL_031.W.20140603.SCASP12.02","NEON.BET.D07.000458","vial of pooled individuals","SCASP12","Scarites sp.","genus",,"Fabricius",,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke",,0
"970799EE69404E0D9A9C232C4507FEC6","D07","ORNL","ORNL_032","E","2014-06-03","2014-06-04","2015-01-08","ORNL_032.E.20140603.CYCFUC.13","NEON.BET.D07.000165","vial of pooled individuals","CYCFUC","Cyclotrachelus fucatus","species","cf. species","Freitag",,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke",,0
"48B62C22790247E3BAA0FEA987DCA6C4","D07","ORNL","ORNL_032","N","2014-06-03","2014-06-04","2015-01-08","ORNL_032.N.20140603.CYCFUC.12","NEON.BET.D07.000156","vial of pooled individuals","CYCFUC","Cyclotrachelus fucatus","species","cf. species","Freitag",,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke",,0
"D7D70EEDA17748BEBD3414024B29EFBF","D07","ORNL","ORNL_032","E","2014-06-03","2014-06-04","2015-01-08","ORNL_032.E.20140603.CYCFUC.13","NEON.BET.D07.000154","vial of pooled individuals","CYCFUC","Cyclotrachelus fucatus","species","cf. species","Freitag",,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke",,0
"42539BDACF3642E0B141F88CAF6C7060","D07","ORNL","ORNL_032","N","2014-06-03","2014-06-04","2015-01-08","ORNL_032.N.20140603.CYCFUC.12","NEON.BET.D07.000152","vial of pooled individuals","CYCFUC","Cyclotrachelus fucatus","species","cf. species","Freitag",,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke",,0
"D2827FFCE8CA4D459B23CD1740F3D6FB","D07","ORNL","ORNL_032","N","2014-06-03","2014-06-04","2015-01-08","ORNL_032.N.20140603.CYCFUC.12","NEON.BET.D07.000153","vial of pooled individuals","CYCFUC","Cyclotrachelus fucatus","species","cf. species","Freitag",,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke",,0
"918CD5C3BD9C4BBF95739EC8A4042B98","D07","ORNL","ORNL_032","W","2014-06-03","2014-06-04","2015-01-08","ORNL_032.W.20140603.CYCFUC.14","NEON.BET.D07.000171","vial of pooled individuals","CYCFUC","Cyclotrachelus fucatus","species","cf. species","Freitag",,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke",,0
"2330B6ECF5544727A24841139EDD488B","D07","ORNL","ORNL_032","W","2014-06-03","2014-06-04","2015-01-08","ORNL_032.W.20140603.CHLSP10.02","NEON.BET.D07.000030","vial of pooled individuals","CHLSP10","Chlaenius sp.","genus",,"Bonelli",,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","SwQFnZuakvNlojbzbwi0Q7Lk54l+Hztc0cig3HNKUGA=","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke",,0
"42FBE3DA3DE04AB2A535DCAD171766BC","D07","ORNL","ORNL_032","E","2014-06-03","2014-06-04","2015-01-08","ORNL_032.E.20140603.CYCFUC.13","NEON.BET.D07.000172","vial of pooled individuals","CYCFUC","Cyclotrachelus fucatus","species","cf. species","Freitag",,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke",,0
"B2A989F6AF8047B8AABDAD58D7458DBC","D07","ORNL","ORNL_032","W","2014-06-03","2014-06-04","2015-01-08","ORNL_032.W.20140603.CYCFUC.14","NEON.BET.D07.000169","vial of pooled individuals","CYCFUC","Cyclotrachelus fucatus","species","cf. species","Freitag",,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke",,0
"B7B2CFC227D040E1BEA9274DD3C368D8","D07","ORNL","ORNL_032","E","2014-06-03","2014-06-04","2015-01-08","ORNL_032.E.20140603.CYCFUC.13","NEON.BET.D07.000163","vial of pooled individuals","CYCFUC","Cyclotrachelus fucatus","species","cf. species","Freitag",,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke",,0
"09975DC20711406087416C71C49882A6","D07","ORNL","ORNL_032","W","2014-06-03","2014-06-04","2015-01-08","ORNL_032.W.20140603.CYCFUC.14","NEON.BET.D07.000160","vial of pooled individuals","CYCFUC","Cyclotrachelus fucatus","species","cf. species","Freitag",,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke",,0
"31925922A26742C388367808EF46382D","D07","ORNL","ORNL_032","N","2014-06-03","2014-06-04","2015-01-08","ORNL_032.N.20140603.CYCFUC.12","NEON.BET.D07.000164","vial of pooled individuals","CYCFUC","Cyclotrachelus fucatus","species","cf. species","Freitag",,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke",,0
"91CAFA3B14A84B52A77C4D0141EABF2C","D07","ORNL","ORNL_029","E","2014-06-03","2014-06-04","2015-01-08","ORNL_029.E.20140603.CYCSOD2.04","NEON.BET.D07.000265","vial of pooled individuals","CYCSOD2","Cyclotrachelus sodalis sodalis","subspecies","cf. species","LeConte",,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke",,0
"C2CEA3578DAE4381B703DF20FC0B55A7","D07","ORNL","ORNL_029","W","2014-06-03","2014-06-04","2015-01-08","ORNL_029.W.20140603.CYCSOD2.05","NEON.BET.D07.000263","vial of pooled individuals","CYCSOD2","Cyclotrachelus sodalis sodalis","subspecies","cf. species","LeConte",,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke",,0
"3718E9687250402C9B3CDB0685CAD329","D07","ORNL","ORNL_029","W","2014-06-03","2014-06-04","2015-01-08","ORNL_029.W.20140603.CYCSOD2.05","NEON.BET.D07.000264","vial of pooled individuals","CYCSOD2","Cyclotrachelus sodalis sodalis","subspecies","cf. species","LeConte",,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke",,0
"BC077617FB0E4518B5FCB5312CD37874","D07","ORNL","ORNL_027","W","2014-06-03","2014-06-04","2015-01-08","ORNL_027.W.20140603.cc.02","NEON.BET.D07.000467","vial of pooled individuals",,,,,,"D07.2014.MorphA",,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke","shiny, rounded-boxy pronotum",0
"17A73A795B09410BA3571F676F7B8F8A","D07","ORNL","ORNL_027","W","2014-06-03","2014-06-04","2015-01-08","ORNL_027.W.20140603.cc.02","NEON.BET.D07.000468","vial of pooled individuals",,,,,,"D07.2014.MorphA",,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","EY6DvO8NpI5lJHYW3QnRiw31VQzGQ6ke","shiny, rounded-boxy pronotum",0
