"uid","domainID","siteID","plotID","trapID","collectDate","etOHChangeDate","processingDate","identifiedDate","associatedSampleID","sampleID","targetTaxaPresent","sampleType","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","individualCount","identificationReferences","identifiedBy","recordedBy","remarks","duplicateSampleIDQF"
"E704ED09904249E8976E0B7255DD9D74","D07","ORNL","ORNL_001","N","2014-06-03","2014-06-04","2014-06-04",,"ORNL_001.20140603.ib.01","ORNL_001.20140603.ib.01","Y","invert bycatch",,,,,,,,,,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8",,0
"031E3CF82FF44F56A87F254EAD0126C6","D07","ORNL","ORNL_031","E","2014-06-03","2014-06-04","2014-06-04","2015-01-08","ORNL_031.E.20140603.SCASP12.01","ORNL_031.E.20140603.SCASP12.01","Y","common carabid","SCASP12","Scarites sp.","genus",,"Fabricius",,1,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","SwQFnZuakvNlojbzbwi0Q7Lk54l+Hztc0cig3HNKUGA=","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","all pinned",0
"5DC4A3056C804B7482C97DA1E57CD598","D07","ORNL","ORNL_031","N","2014-06-03","2014-06-04","2014-06-04",,"ORNL_031.20140603.ib.01","ORNL_031.20140603.ib.01","Y","invert bycatch",,,,,,,,,,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8",,0
"79E95467330240F4B813DC73A0CFC5E4","D07","ORNL","ORNL_031","E","2014-06-03","2014-06-04","2014-06-04","2015-01-08","ORNL_031.E.20140603.ANISP9.03","ORNL_031.E.20140603.ANISP9.03","Y","common carabid","ANISP9","Anisodactylus sp.","genus",,"Dejean",,2,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","SwQFnZuakvNlojbzbwi0Q7Lk54l+Hztc0cig3HNKUGA=","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","all pinned",0
"FC241926128340A588865CBF904ECF20","D07","ORNL","ORNL_031","W","2014-06-03","2014-06-04","2014-06-04","2015-01-08","ORNL_031.W.20140603.SCASP12.02","ORNL_031.W.20140603.SCASP12.02","Y","common carabid","SCASP12","Scarites sp.","genus",,"Fabricius",,1,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","SwQFnZuakvNlojbzbwi0Q7Lk54l+Hztc0cig3HNKUGA=","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","all pinned",0
"34138B12C2224A3CA17AE0FB4B4D3875","D07","ORNL","ORNL_032","N","2014-06-03","2014-06-04","2014-06-04","2015-01-08","ORNL_032.N.20140603.CYCFUC.12","ORNL_032.N.20140603.CYCFUC.12","Y","common carabid","CYCFUC","Cyclotrachelus fucatus","species","cf. species","Freitag",,5,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","all pinned",0
"0D9AD41BF0CA4CDBBFAB8AC6B30449E7","D07","ORNL","ORNL_032","N","2014-06-03","2014-06-04","2014-06-04",,"ORNL_032.20140603.ib.01","ORNL_032.20140603.ib.01","Y","invert bycatch",,,,,,,,,,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8",,0
"258E932B42E74EF9BBC5D0C40158FF83","D07","ORNL","ORNL_032","W","2014-06-03","2014-06-04","2014-06-04","2015-01-08","ORNL_032.W.20140603.CYCFUC.14","ORNL_032.W.20140603.CYCFUC.14","Y","common carabid","CYCFUC","Cyclotrachelus fucatus","species","cf. species","Freitag",,3,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","all pinned",0
"B4B57101FA3A4B548D940E5EA966F493","D07","ORNL","ORNL_032","E","2014-06-03","2014-06-04","2014-06-04","2015-01-08","ORNL_032.E.20140603.CYCFUC.13","ORNL_032.E.20140603.CYCFUC.13","Y","common carabid","CYCFUC","Cyclotrachelus fucatus","species","cf. species","Freitag",,4,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","all pinned",0
"03EF623842B14E6682E981A2135A3858","D07","ORNL","ORNL_032","W","2014-06-03","2014-06-04","2014-06-04","2015-01-08","ORNL_032.W.20140603.CHLSP10.02","ORNL_032.W.20140603.CHLSP10.02","Y","common carabid","CHLSP10","Chlaenius sp.","genus",,"Bonelli",,1,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","SwQFnZuakvNlojbzbwi0Q7Lk54l+Hztc0cig3HNKUGA=","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","all pinned",0
"9FF48CEC24514C33A2328DB064223F53","D07","ORNL","ORNL_029","W","2014-06-03","2014-06-04","2014-06-04","2015-01-08","ORNL_029.W.20140603.CYCSOD2.05","ORNL_029.W.20140603.CYCSOD2.05","Y","common carabid","CYCSOD2","Cyclotrachelus sodalis sodalis","subspecies","cf. species","LeConte",,2,"Eaton, E.R., Kaufman, K. 2007. Kaufman  Field Guide to Insects of North America. 1st Ed. Houghton Mifflin Company, New York, New York.; http://carabidae.org; http://bugguide.net/node/view/186","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8","all pinned",0
"C9DBFDEF439640AFB45D72F8126E7C6F","D07","ORNL","ORNL_029","N","2014-06-03","2014-06-04","2014-06-04",,"ORNL_029.20140603.ib.01","ORNL_029.20140603.ib.01","Y","invert bycatch",,,,,,,,,,"nAKPQvGWPz3w50pS9SF/Wg/TlEjgxRE8",,0
