"uid","domainID","siteID","plotID","trapID","collectDate","processingDate","identifiedDate","sampleID","individualID","specimenSource","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","identificationReferences","identifiedBy","recordedBy","remarks","duplicateIndividualIDQF"
"C18E05ED67AA4E5D9D7E0BF3F8AFF377","D08","TALL","TALL_001","W","2014-06-04","2014-06-05","2014-10-23","TALL_001.W.20140604.cc","NEON.BET.D08.000002","vial of pooled individuals",,,,,,"D08.2014.MorphD","Ciegler, J.C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson University, Clemson, S.C.","EWdKrbu/G4xVCw/4OJmBbnmJl40j4eIs","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg","    11.6-19.2mm. Elytra dull, pronotum moderately shiny. Frontal grooves of head fairly deep and sharply defined, angulate near middle, the bend directed medially. Pronotum quadrate slightly constricted anteriorly and posteriorly, sides not anterior trans",0
"BDCE35C3563E4745BFFB349EED313703","D08","TALL","TALL_013","W","2014-06-04","2014-06-05","2014-10-13","TALL_013.W.20140604.oc","NEON.BET.D08.000038","vial of pooled individuals",,,,,,"D08.2014.MorphL","Ciegler, J.C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson University, Clemson, S.C.","EWdKrbu/G4xVCw/4OJmBbnmJl40j4eIs","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg","Very shiny, overall very reddish brown.  Pronotum margins bright red, center is dark brown.  Elytra striated and very glossy.  Legs bright red. Mandibles short and stubby.
",0
"C7D3EFB946B24789956908FC951F237D","D08","TALL","TALL_013","W","2014-06-04","2014-06-05","2014-10-23","TALL_013.W.20140604.cc","NEON.BET.D08.000039","vial of pooled individuals",,,,,,"D08.2014.MorphD","Ciegler, J.C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson University, Clemson, S.C.","EWdKrbu/G4xVCw/4OJmBbnmJl40j4eIs","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg","    11.6-19.2mm. Elytra dull, pronotum moderately shiny. Frontal grooves of head fairly deep and sharply defined, angulate near middle, the bend directed medially. Pronotum quadrate slightly constricted anteriorly and posteriorly, sides not anterior trans",0
"6FCACE63252140528E4C54131773C983","D08","TALL","TALL_013","S","2014-06-04","2014-06-05","2014-10-23","TALL_013.S.20140604.cc","NEON.BET.D08.000037","vial of pooled individuals",,,,,,"D08.2014.MorphD","Ciegler, J.C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson University, Clemson, S.C.","EWdKrbu/G4xVCw/4OJmBbnmJl40j4eIs","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg","    11.6-19.2mm. Elytra dull, pronotum moderately shiny. Frontal grooves of head fairly deep and sharply defined, angulate near middle, the bend directed medially. Pronotum quadrate slightly constricted anteriorly and posteriorly, sides not anterior trans",0
"B097D864D0394CBD8AD6CA43C92E0E71","D08","TALL","TALL_009","N","2014-06-04","2014-06-05","2014-10-13","TALL_009.N.20140604.oc","NEON.BET.D08.000033","vial of pooled individuals",,,,,,"D08.2014.MorphI","Ciegler, J.C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson University, Clemson, S.C.","EWdKrbu/G4xVCw/4OJmBbnmJl40j4eIs","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg","21-30mm. Black with blue margins, each elytron with three rows of fovae and several intervals between each fovaete row. Pronotum widely reflexed at base. Maxillary palpmere 4 broadly triangular, 1.5 times as long as wide.
",0
"D3B7E4730FEA452F8EE9ED3D197F3A22","D08","TALL","TALL_009","W","2014-06-04","2014-06-05","2014-10-13","TALL_009.W.20140604.oc","NEON.BET.D08.000031","vial of pooled individuals",,,,,,"D08.2014.MorphI","Ciegler, J.C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson University, Clemson, S.C.","EWdKrbu/G4xVCw/4OJmBbnmJl40j4eIs","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg","21-30mm. Black with blue margins, each elytron with three rows of fovae and several intervals between each fovaete row. Pronotum widely reflexed at base. Maxillary palpmere 4 broadly triangular, 1.5 times as long as wide.
",0
"EFC63D36119E4A7C957B69F0A7874F62","D08","TALL","TALL_009","W","2014-06-04","2014-06-05","2014-10-13","TALL_009.W.20140604.oc","NEON.BET.D08.000032","vial of pooled individuals",,,,,,"D08.2014.MorphK","Ciegler, J.C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson University, Clemson, S.C.","EWdKrbu/G4xVCw/4OJmBbnmJl40j4eIs","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg","reddish brown body, Legs bright red.  Pronutum wider than head and heart shaped.  Elytra striated and slightly duller than pronotum.
",0
"C65693A6C14D41B1B01774929EA4A6A2","D08","TALL","TALL_009","N","2014-06-04","2014-06-05","2014-10-03","TALL_009.N.20140604.OC","NEON.BET.D08.000036","vial of pooled individuals",,,,,,"D08.2014.MorphH","Ciegler, J.C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson University, Clemson, S.C.","EWdKrbu/G4xVCw/4OJmBbnmJl40j4eIs","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg","17.9-26.8 mm. Broad, very robust. Dull black. Base of pronotum wider than apex, margins only slightly reflexed; two stigerous punctures near neach lateral margin; transverse basal impression very deep. Elytral interval 7 carinate for about two-third lengt",0
"A92DC8DD3700495DBC296E01425AF9F2","D08","TALL","TALL_009","N","2014-06-04","2014-06-05","2014-10-10","TALL_009.N.20140604.oc","NEON.BET.D08.000034","vial of pooled individuals",,,,,,"D08.2014.MorphI","Ciegler, J.C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson University, Clemson, S.C.","EWdKrbu/G4xVCw/4OJmBbnmJl40j4eIs","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg","21-30mm. Black with blue margins, each elytron with three rows of fovae and several intervals between each fovaete row. Pronotum widely reflexed at base. Maxillary palpmere 4 broadly triangular, 1.5 times as long as wide.
",0
"E93DF4DEC5A64FF792CFD444F3C5BA48","D08","TALL","TALL_009","N","2014-06-04","2014-06-05","2014-10-13","TALL_009.N.20140604.oc","NEON.BET.D08.000035","vial of pooled individuals",,,,,,"D08.2014.MorphE","Ciegler, J.C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson University, Clemson, S.C.","EWdKrbu/G4xVCw/4OJmBbnmJl40j4eIs","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg","Black, pronotum dull and flared, Elytra shiny and striated.  Mandibles long and slender.
",0
