"uid","domainID","siteID","plotID","trapID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDate","collectDate","boutNumber","eventID","sampleID","daysOfTrapping","cupStatus","lidStatus","fluidLevel","trapReset","samplingProtocol","recordedBy","remarks","missingRecordsPerBoutQF","duplicateCollectionEventQF","compareSetCollectDateQF"
"72558CD7502B428DAFF1617C32E7393F","D08","TALL","TALL_001","S","deciduousForest",32.977487,-87.432715,"WGS84",1.3,99.6,0.4,"2014-05-21","2014-06-04",1,"BET.TALL_001.2014.01","TALL_001.S.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0,0,0
"B0510EDB550142779143DB5C647C239F","D08","TALL","TALL_013","S","evergreenForest",32.884568,-87.454395,"WGS84",1.1,118.5,0.2,"2014-05-21","2014-06-04",1,"BET.TALL_013.2014.01","TALL_013.S.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0,0,0
"79F9C9632BD64E79AF7AE0E57206252D","D08","TALL","TALL_013","N","evergreenForest",32.884929,-87.454397,"WGS84",1.1,118.5,0.2,"2014-05-21","2014-06-04",1,"BET.TALL_013.2014.01","TALL_013.N.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0,0,0
"10DEA51E36064E47A26EB3D959A23A3B","D08","TALL","TALL_013","E","evergreenForest",32.884750,-87.454182,"WGS84",1.1,118.5,0.2,"2014-05-21","2014-06-04",1,"BET.TALL_013.2014.01","TALL_013.E.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0,0,0
"579F0EB059414322A6B4FAF8C530B610","D08","TALL","TALL_013","W","evergreenForest",32.884748,-87.454610,"WGS84",1.1,118.5,0.2,"2014-05-21","2014-06-04",1,"BET.TALL_013.2014.01","TALL_013.W.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0,0,0
"2197328ABB70474790F8C609DB5345DB","D08","TALL","TALL_009","N","evergreenForest",32.899977,-87.406680,"WGS84",1.2,106.0,0.4,"2014-05-21","2014-06-04",1,"BET.TALL_009.2014.01","TALL_009.N.20140604",14,"ok","ok","high","Y","NEON.DOC.014050","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0,0,0
"D72CF9207F6549C99B85EE289E4F2DE7","D08","TALL","TALL_009","E","evergreenForest",32.899797,-87.406465,"WGS84",1.2,106.0,0.4,"2014-05-21","2014-06-04",1,"BET.TALL_009.2014.01","TALL_009.E.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0,0,0
"67BE0E60F4C04095A2D27AD84CB3EE5C","D08","TALL","TALL_009","S","evergreenForest",32.899616,-87.406678,"WGS84",1.2,106.0,0.4,"2014-05-21","2014-06-04",1,"BET.TALL_009.2014.01","TALL_009.S.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0,0,0
"5F7F9355BBB946599FB758CADDBD43CF","D08","TALL","TALL_009","W","evergreenForest",32.899795,-87.406893,"WGS84",1.2,106.0,0.4,"2014-05-21","2014-06-04",1,"BET.TALL_009.2014.01","TALL_009.W.20140604",14,"ok","ok","high","Y","NEON.DOC.014050","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0,0,0
"E2EB9B9AA1A64EE892E2A864F573A321","D08","TALL","TALL_008","N","deciduousForest",32.921797,-87.433389,"WGS84",1.3,114.0,0.3,"2014-05-21","2014-06-04",1,"BET.TALL_008.2014.01","TALL_008.N.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0,0,0
"1FC2F944B67A4E318174C37EFBC69747","D08","TALL","TALL_008","E","deciduousForest",32.921618,-87.433174,"WGS84",1.3,114.0,0.3,"2014-05-21","2014-06-04",1,"BET.TALL_008.2014.01","TALL_008.E.20140604",14,"ok","ok","high","Y","NEON.DOC.014050","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0,0,0
