"uid","domainID","siteID","plotID","trapID","collectDate","etOHChangeDate","processingDate","identifiedDate","associatedSampleID","sampleID","targetTaxaPresent","sampleType","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","individualCount","identificationReferences","identifiedBy","recordedBy","remarks","duplicateSampleIDQF"
"AD7A98B005244F9CA3706BA32BE88B69","D08","TALL","TALL_001","N","2014-06-04","2014-06-05","2014-06-05",,"TALL_001.N.20140604.oc.01",,"Y","other carabid",,,,,,,,,,"us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg",,0
"29AD2A90871E4B12AA51A3A5DA5DD92F","D08","TALL","TALL_013","S","2014-06-04","2014-06-05","2014-06-05","2014-10-13","TALL_013.S.20140604.cc.01","TALL_013.S.20140604.cc.01","Y","common carabid",,,,,,"D08.2014.MorphD",,"Ciegler, J.C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson University, Clemson, S.C.","us1ZuF/YFaJ9IETdiexVrD+fHDIIxGwg","uXSN77Q7x9cACyt+x8PEhxuBjTDRBKZV","    11.6-19.2mm. Elytra dull, pronotum moderately shiny. Frontal grooves of head fairly deep and sharply defined, angulate near middle, the bend directed medially. Pronotum quadrate slightly constricted anteriorly and posteriorly, sides not anterior trans",0
"5FD80235502049A8A95BA0F881679477","D08","TALL","TALL_013","W","2014-06-04","2014-06-05","2014-06-05",,"TALL_013.W.20140604.oc.01",,"Y","other carabid",,,,,,,,,,"uXSN77Q7x9cACyt+x8PEhxuBjTDRBKZV",,0
"54B961CBED904CFE85B5CD17305B8594","D08","TALL","TALL_013","W","2014-06-04","2014-06-05","2014-06-05","2014-10-13","TALL_013.W.20140604.cc.01","TALL_013.W.20140604.cc.01","Y","common carabid",,,,,,"D08.2014.MorphD",1,"Ciegler, J.C. 2000. Ground beetles and wrinkled bark beetles of South Carolina (Coleoptera: Geadephaga: Carabidae and Rhysodidae). Biota of South Carolina. Vol. 1. Clemson University, Clemson, S.C.","EWdKrbu/G4xVCw/4OJmBbnmJl40j4eIs","uXSN77Q7x9cACyt+x8PEhxuBjTDRBKZV","    11.6-19.2mm. Elytra dull, pronotum moderately shiny. Frontal grooves of head fairly deep and sharply defined, angulate near middle, the bend directed medially. Pronotum quadrate slightly constricted anteriorly and posteriorly, sides not anterior trans",0
"A2DBCCFDD5B948849636D1419066823C","D08","TALL","TALL_013","S","2014-06-04","2014-06-05","2014-06-05",,"TALL_013.20140604.ib.01","TALL_013.20140604.ib.01","N","invert bycatch",,,,,,,,,,"uXSN77Q7x9cACyt+x8PEhxuBjTDRBKZV",,2
"FBBFDAC22D4449E2A1CD727B15CE8EBB","D08","TALL","TALL_013","W","2014-06-04","2014-06-05","2014-06-05",,"TALL_013.20140604.ib.01","TALL_013.20140604.ib.01","N","invert bycatch",,,,,,,,,,"uXSN77Q7x9cACyt+x8PEhxuBjTDRBKZV",,2
"ACBBEB0AB35D4D24912C0F1D40E333A2","D08","TALL","TALL_013","E","2014-06-04","2014-06-05","2014-06-05",,"TALL_013.20140604.ib.01","TALL_013.20140604.ib.01","N","invert bycatch",,,,,,,,,,"uXSN77Q7x9cACyt+x8PEhxuBjTDRBKZV",,2
"65DC9FB56BA643BEA0E65A281DB2D37F","D08","TALL","TALL_013","N","2014-06-04","2014-06-05","2014-06-05",,"TALL_013.20140604.ib.01","TALL_013.20140604.ib.01","N","invert bycatch",,,,,,,,,,"uXSN77Q7x9cACyt+x8PEhxuBjTDRBKZV",,2
"3A2DEFF4A1064D8CBA6B4E636C120D88","D08","TALL","TALL_009","N","2014-06-04","2014-06-05","2014-06-05",,"TALL_009.N.20140604.oc.01",,"Y","other carabid",,,,,,,,,,"uXSN77Q7x9d8K4YNojlWoLfuAfr3cQqR",,1
"367C6DB14117457BA33B05A5DE450F95","D08","TALL","TALL_009","W","2014-06-04","2014-06-05","2014-06-05",,"TALL_009.20140604.ib.01","TALL_009.20140604.ib.01","N","invert bycatch",,,,,,,,,,"uXSN77Q7x9d8K4YNojlWoLfuAfr3cQqR",,2
