"uid","domainID","siteID","plotID","trapID","collectDate","processingDate","identifiedDate","sampleID","individualID","specimenSource","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","identificationReferences","identifiedBy","recordedBy","remarks","duplicateIndividualIDQF"
"406F25FDA3CE4CA5B94D836BB9BE7AE9","D09","WOOD","WOOD_021","E","2014-06-04","2015-04-23","2015-04-23","WOOD_021.E.20140604.oc.01","NEON.BET.D09.000427","vial of pooled individuals",,,,,,"D09.2014.MorphAF",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Oval-double-dimples; plica, no setae on 3rd interstice; medium size; oval-shaped overall; black overall with trace of red on legs; 2 pairs of dimples; matte elytra and pronotum",0
"0C6BC12C9A164924BCD6D0ABDEF9ACD3","D09","WOOD","WOOD_003","N","2014-06-04","2015-04-22","2015-04-22","WOOD_003.N.20140604.oc.01","NEON.BET.D09.000285","vial of pooled individuals",,,,,,"D09.2014.MorphI",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Itty-bitty; very small; large claw-like protarsus; widened first leg; hairy; pocked elytra; rufous color",0
"475151707D304ED29C6DC74124FBDBA1","D09","WOOD","WOOD_003","S","2014-06-04","2015-04-22","2015-04-22","WOOD_003.S.20140604.oc.01","NEON.BET.D09.000286","vial of pooled individuals",,,,,,"D09.2014.MorphI",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Itty-bitty; very small; large claw-like protarsus; widened first leg; hairy; pocked elytra; rufous color",0
"E850C2E726DF4102882C2E425C481976","D09","WOOD","WOOD_003","E","2014-06-04","2015-04-23","2015-04-23","WOOD_003.E.20140604.oc.01","NEON.BET.D09.000425","vial of pooled individuals",,,,,,"D09.2014.MorphAF",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Oval-double-dimples; plica, no setae on 3rd interstice; medium size; oval-shaped overall; black overall with trace of red on legs; 2 pairs of dimples; matte elytra and pronotum",0
"98E48A427E154E22ACB6FE7B80475BF5","D09","WOOD","WOOD_003","E","2014-06-04","2015-04-23","2015-04-23","WOOD_003.E.20140604.oc.01","NEON.BET.D09.000424","vial of pooled individuals",,,,,,"D09.2014.MorphAF",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Oval-double-dimples; plica, no setae on 3rd interstice; medium size; oval-shaped overall; black overall with trace of red on legs; 2 pairs of dimples; matte elytra and pronotum",0
"83FD800B6A5F4F31B0C9B52FA17D0E0C","D09","WOOD","WOOD_003","W","2014-06-04","2015-04-23","2015-04-23","WOOD_003.W.20140604.oc.01","NEON.BET.D09.000410","vial of pooled individuals",,,,,,"D09.2014.MorphAE",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Oval-bronzed-body; plica, no setae on 3rd interstice; medium size; metallic-bronze color overall; oval-shaped overall",0
"3BE5474DFC314D9EB344681FE761C196","D09","WOOD","WOOD_003","E","2014-06-04","2015-04-23","2015-04-23","WOOD_003.E.20140604.oc.01","NEON.BET.D09.000409","vial of pooled individuals",,,,,,"D09.2014.MorphAE",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Oval-bronzed-body; plica, no setae on 3rd interstice; medium size; metallic-bronze color overall; oval-shaped overall",0
"6637354F681243A4BE3BE7C0D9C2781E","D09","WOOD","WOOD_003","S","2014-06-04","2015-04-23","2015-04-23","WOOD_003.S.20140604.oc.01","NEON.BET.D09.000447","vial of pooled individuals",,,,,,"D09.2014.MorphAK",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Fat-protarsus; plica, setae on 3rd interstice; medium size; wide protarsal segments; legs rufous with large spines; black color overall",0
"737D474AD8FC42BBAC3C5C968B725C8D","D09","WOOD","WOOD_003","N","2014-06-04","2015-04-23","2015-04-23","WOOD_003.N.20140604.oc.01","NEON.BET.D09.000436","vial of pooled individuals",,,,,,"D09.2014.MorphAH",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Spot-shoulder; plica, setae on 3rd interstice; very small; black with pale spots on anterior corners of elytra; legs pale yellow",0
"81E3754291614C8E8D05717975DC3C5E","D09","WOOD","WOOD_003","N","2014-06-04","2015-04-23","2015-04-23","WOOD_003.N.20140604.oc.01","NEON.BET.D09.000435","vial of pooled individuals",,,,,,"D09.2014.MorphAH",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Spot-shoulder; plica, setae on 3rd interstice; very small; black with pale spots on anterior corners of elytra; legs pale yellow",0
"2DF389615DC74864997FE69BF6F9316D","D09","WOOD","WOOD_002","E","2014-06-04","2015-04-23","2015-04-23","WOOD_002.E.20140604.oc.01","NEON.BET.D09.000451","vial of pooled individuals",,,,,,"D09.2014.MorphAL",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Shiny-rufous-deep-interstices; plica, setae on 3rd interstice; medium size; shiny-rufous overall; deep interstices; posterior corner of pronotum pointed, pronotum rounded",0
"C0CCBF3E80B84E72B7D14CEA4924E4FD","D09","WOOD","WOOD_002","E","2014-06-04","2015-04-23","2015-04-23","WOOD_002.E.20140604.oc.01","NEON.BET.D09.000450","vial of pooled individuals",,,,,,"D09.2014.MorphAL",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Shiny-rufous-deep-interstices; plica, setae on 3rd interstice; medium size; shiny-rufous overall; deep interstices; posterior corner of pronotum pointed, pronotum rounded",0
"91473E57F47E4F03AB0945077CA7D7D5","D09","WOOD","WOOD_002","N","2014-06-04","2015-04-23","2015-04-23","WOOD_002.N.20140604.oc.01","NEON.BET.D09.000449","vial of pooled individuals",,,,,,"D09.2014.MorphAL",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Shiny-rufous-deep-interstices; plica, setae on 3rd interstice; medium size; shiny-rufous overall; deep interstices; posterior corner of pronotum pointed, pronotum rounded",0
"8C1F4E74E53B4732971DCE0B42C493C0","D09","WOOD","WOOD_002","E","2014-06-04","2015-04-02","2015-04-02","WOOD_002.E.20140604.oc.01","NEON.BET.D09.000054","vial of pooled individuals",,,,,,"D09.2014.MorphA",,"9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","Wrinkles; medium to large sized; glossy black throughout; posterior edge of upper pronotum has several distinctive sutures",0
"4297E88C28B444D78EE5AFC6310E1D5E","D09","WOOD","WOOD_002","E","2014-06-04","2015-04-23","2015-04-23","WOOD_002.E.20140604.POELUC.01","NEON.BET.D09.000503","vial of pooled individuals","POELUC","Poecilus lucublandus","species",,"Say",,"Arnett, R.H. Jr., Thomas, M.C. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. 1st Ed. CRC Press, Boca Raton, FL.; Arnett, R.H. Jr., Downie, N.M., and H.E. Jaques. 1980.  How to Know the Beetles. 2nd Ed. McGr","4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"DA3F0E4A049A442A996ADC0ABC114EF2","D09","WOOD","WOOD_001","W","2014-06-04","2015-04-23","2015-04-23","WOOD_001.W.20140604.oc.01","NEON.BET.D09.000423","vial of pooled individuals",,,,,,"D09.2014.MorphAF",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Oval-double-dimples; plica, no setae on 3rd interstice; medium size; oval-shaped overall; black overall with trace of red on legs; 2 pairs of dimples; matte elytra and pronotum",0
"E5AA5250479B4DD6BB3B48CC4F19D4C8","D09","WOOD","WOOD_001","N","2014-06-04","2015-04-23","2015-04-23","WOOD_001.N.20140604.oc.01","NEON.BET.D09.000440","vial of pooled individuals",,,,,,"D09.2014.MorphAJ",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Two-spots-on-butt; plica, setae on 3rd interstice; small size; elytra rufous-colored and pocked with a pair of pale spots on the posterior half",0
"25C9D8937E474BC4889D14C8E6650207","D09","WOOD","WOOD_001","N","2014-06-04","2015-04-23","2015-04-23","WOOD_001.N.20140604.oc.01","NEON.BET.D09.000438","vial of pooled individuals",,,,,,"D09.2014.MorphAI",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Elytra-not-deeply-pocked; plica, setae on 3rd interstice; small size; interstices slightly impressed; brown to dark-gold color",0
"020C9ADA13E24454B075A14541C2E94E","D09","WOOD","WOOD_007","E","2014-06-04","2015-04-22","2015-04-22","WOOD_007.E.20140604.oc.01","NEON.BET.D09.000359","vial of pooled individuals",,,,,,"D09.2014.MorphQ",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr",""Pronotum-margin-convex"; small size; plica absent, 1 pair of setae; pronotum and elytra dorsal surface rufous to pale yellow; head and ventral surface black; legs golden color",0
"0EDA20B953BF4F0B97BC8E76057DF76B","D09","WOOD","WOOD_007","E","2014-06-04","2015-04-23","2015-04-23","WOOD_007.E.20140604.oc.01","NEON.BET.D09.000454","vial of pooled individuals",,,,,,"D09.2014.MorphAL",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Shiny-rufous-deep-interstices; plica, setae on 3rd interstice; medium size; shiny-rufous overall; deep interstices; posterior corner of pronotum pointed, pronotum rounded",0
"8F3BFFEBDDF74C9EB40FF66AC3AD7087","D09","WOOD","WOOD_007","W","2014-06-04","2015-04-23","2015-04-23","WOOD_007.W.20140604.oc.01","NEON.BET.D09.000461","vial of pooled individuals",,,,,,"D09.2014.MorphAM",,"RGjEJwpVvCGV2xDMnf2V+dkp89vUeq1x","RGjEJwpVvCGV2xDMnf2V+dkp89vUeq1x","Sheenless-greenless-POLU?; plica, setae on 3rd interstice; looks similar to POLU, but unsure of species ID, less green sheen visible",0
"1A2CFE8FBF7248B49EECCDD6663EE354","D09","WOOD","WOOD_007","E","2014-06-04","2015-04-22","2015-04-22","WOOD_007.E.20140604.oc.01","NEON.BET.D09.000361","vial of pooled individuals",,,,,,"D09.2014.MorphQ",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr",""Pronotum-margin-convex"; small size; plica absent, 1 pair of setae; pronotum and elytra dorsal surface rufous to pale yellow; head and ventral surface black; legs golden color",0
"869ED212A24D4D19BBC948AEDAA2A7CF","D09","WOOD","WOOD_007","N","2014-06-04","2015-04-22","2015-04-22","WOOD_007.N.20140604.oc.01","NEON.BET.D09.000288","vial of pooled individuals",,,,,,"D09.2014.MorphI",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Itty-bitty; very small; large claw-like protarsus; widened first leg; hairy; pocked elytra; rufous color",0
"6E56CD30236F4E8F8A369BE81983D310","D09","WOOD","WOOD_007","S","2014-06-04","2015-04-10","2015-04-10","WOOD_007.S.20140604.oc.01","NEON.BET.D09.000233","vial of pooled individuals",,,,,,"D09.2014.MorphC",,"9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","Copper-back; large sized; distinctive copper-metallic dimples on black elytra",0
"9D94EDD932BF489C95118347C6B457A8","D09","WOOD","WOOD_007","S","2014-06-04","2015-04-10","2015-04-10","WOOD_007.S.20140604.oc.01","NEON.BET.D09.000234","vial of pooled individuals",,,,,,"D09.2014.MorphC",,"9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","Copper-back; large sized; distinctive copper-metallic dimples on black elytra",0
"0BF2114434894EB89E0CC45627729C2D","D09","WOOD","WOOD_007","E","2014-06-04","2015-04-23","2015-04-23","WOOD_007.E.20140604.oc.01","NEON.BET.D09.000405","vial of pooled individuals",,,,,,"D09.2014.MorphAD",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Oval-matte-dimples; plica, no setae on 3rd interstice; medium size; oval-shaped overall; dull black with dark reddish legs; one pair of dimples; matte elytra and pronotum",0
"42EBDF0EB53E4F7682D0675E39AA82EA","D09","WOOD","WOOD_007","S","2014-06-04","2015-04-22","2015-04-22","WOOD_007.S.20140604.oc.01","NEON.BET.D09.000327","vial of pooled individuals",,,,,,"D09.2014.MorphN",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Like-HAHE-but-black-elytra; medium size; similar to HAHE; plica absent; 1 pair of setae; posterior edge of pronotum squared-off and nearly hairless; tarsi rufous colored",0
"081E0B2F7D1146F08DECB97A0ED838C4","D09","WOOD","WOOD_007","E","2014-06-04","2015-04-22","2015-04-22","WOOD_007.E.20140604.oc.01","NEON.BET.D09.000312","vial of pooled individuals",,,,,,"D09.2014.MorphM",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Square-butt; small size; plica absent; 2 pair of setae; posterior edge of elytra squared-off; anterior surface black and smooth",0
"CEB752FB88B7409CA0E3D11E1317A060","D09","WOOD","WOOD_007","E","2014-06-04","2015-04-23","2015-04-23","WOOD_007.E.20140604.HARHER.01","NEON.BET.D09.000542","vial of pooled individuals","HARHER","Harpalus herbivagus","species",,"Say",,"Arnett, R.H. Jr., Thomas, M.C. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. 1st Ed. CRC Press, Boca Raton, FL.; Arnett, R.H. Jr., Downie, N.M., and H.E. Jaques. 1980.  How to Know the Beetles. 2nd Ed. McGr","4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk","4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"858C87D80D274C98961920C6ABBB16FF","D09","WOOD","WOOD_006","S","2014-06-04","2015-04-22","2015-04-22","WOOD_006.S.20140604.oc.01","NEON.BET.D09.000287","vial of pooled individuals",,,,,,"D09.2014.MorphI",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","Itty-bitty; very small; large claw-like protarsus; widened first leg; hairy; pocked elytra; rufous color",0
"881D09EBF8704C22A9B02D43EF7B1FA1","D09","WOOD","WOOD_005","N","2014-06-04","2015-04-22","2015-04-22","WOOD_005.N.20140604.oc.01","NEON.BET.D09.000358","vial of pooled individuals",,,,,,"D09.2014.MorphQ",,"GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr","GOvgZIvQ0qQHj/ySC0OOMgunX2ZttPpr",""Pronotum-margin-convex"; small size; plica absent, 1 pair of setae; pronotum and elytra dorsal surface rufous to pale yellow; head and ventral surface black; legs golden color",0
"5D3446A8C3A74313B437E31C9F6CAAD4","D09","WOOD","WOOD_005","W","2014-06-04","2015-04-10","2015-04-10","WOOD_005.W.20140604.oc.01","NEON.BET.D09.000222","vial of pooled individuals",,,,,,"D09.2014.MorphB",,"9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","Bumpy-back; large sized; distinctive series of black bumps on copper-brown elytra",0
