"uid","domainID","siteID","plotID","trapID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDate","collectDate","boutNumber","eventID","sampleID","daysOfTrapping","cupStatus","lidStatus","fluidLevel","trapReset","samplingProtocol","recordedBy","remarks","missingRecordsPerBoutQF","duplicateCollectionEventQF","compareSetCollectDateQF"
"7448448BFF31424BA335FD4E0087BB8A","D09","WOOD","WOOD_021","W","emergentHerbaceousWetlands",47.146636,-99.247843,"WGS84",1.1,0.0,0.2,,"2014-06-04",1,"BET.WOOD_021.2014.01",,,,,,,"NEON.DOC.014050",,"This record is generated by the system",1,,
"004CA953D69A46358EA870F80A112E15","D09","WOOD","WOOD_003","E","grasslandHerbaceous",47.118582,-99.239681,"WGS84",1.1,0.0,0.2,"2014-05-21","2014-06-04",1,"BET.WOOD_003.2014.01","WOOD_003.E.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",,0,0,0
"8A90D077DB6144EABC34BD91EA6B7F58","D09","WOOD","WOOD_003","S","grasslandHerbaceous",47.118401,-99.239943,"WGS84",1.1,0.0,0.2,"2014-05-21","2014-06-04",1,"BET.WOOD_003.2014.01","WOOD_003.S.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",,0,0,0
"C9793B3C7CA44890A0DEE240B2F15247","D09","WOOD","WOOD_003","N","grasslandHerbaceous",47.118761,-99.239945,"WGS84",1.1,0.0,0.2,"2014-05-21","2014-06-04",1,"BET.WOOD_003.2014.01","WOOD_003.N.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",,0,0,0
"BA92958741C940AEB919958E29CDB1D2","D09","WOOD","WOOD_003","W","grasslandHerbaceous",47.118581,-99.240208,"WGS84",1.1,0.0,0.2,"2014-05-21","2014-06-04",1,"BET.WOOD_003.2014.01","WOOD_003.W.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",,0,0,0
"D49E244FC57C43C9BA2397685AC32E1A","D09","WOOD","WOOD_002","E","grasslandHerbaceous",47.136135,-99.232632,"WGS84",1.1,0.0,0.2,"2014-05-21","2014-06-04",1,"BET.WOOD_002.2014.01","WOOD_002.E.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",,0,0,0
"D523F6C6D9004F258B6861CCDAF5D473","D09","WOOD","WOOD_002","N","grasslandHerbaceous",47.136314,-99.232896,"WGS84",1.1,0.0,0.2,"2014-05-21","2014-06-04",1,"BET.WOOD_002.2014.01","WOOD_002.N.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",,0,0,0
"272CE16A6C924309A01796BB5B590131","D09","WOOD","WOOD_002","S","grasslandHerbaceous",47.135954,-99.232895,"WGS84",1.1,0.0,0.2,"2014-05-21","2014-06-04",1,"BET.WOOD_002.2014.01","WOOD_002.S.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",,0,0,0
"4A9C3AC9DAC54D59B57CDD8D4552E8F6","D09","WOOD","WOOD_002","W","grasslandHerbaceous",47.136133,-99.233159,"WGS84",1.1,0.0,0.2,"2014-05-21","2014-06-04",1,"BET.WOOD_002.2014.01","WOOD_002.W.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",,0,0,0
"DEDF323829A647439F75371BAE0D3553","D09","WOOD","WOOD_001","W","grasslandHerbaceous",47.128257,-99.258032,"WGS84",1.1,0.0,0.2,"2014-05-21","2014-06-04",1,"BET.WOOD_001.2014.01","WOOD_001.W.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","a/0SlN26fEtmJ3LLysIxkaRUfZvckIBE",,0,0,0
"172AC66449DC4369990F662DFCCD4D32","D09","WOOD","WOOD_001","E","grasslandHerbaceous",47.128258,-99.257504,"WGS84",1.1,0.0,0.2,"2014-05-21","2014-06-04",1,"BET.WOOD_001.2014.01","WOOD_001.E.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","a/0SlN26fEtmJ3LLysIxkaRUfZvckIBE",,0,0,0
"AB65D349A0F34E6FAE395A19D334CE90","D09","WOOD","WOOD_001","S","grasslandHerbaceous",47.128078,-99.257767,"WGS84",1.1,0.0,0.2,"2014-05-21","2014-06-04",1,"BET.WOOD_001.2014.01","WOOD_001.S.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","a/0SlN26fEtmJ3LLysIxkaRUfZvckIBE",,0,0,0
"6E766157E0B843F1BFAD61888C40DF20","D09","WOOD","WOOD_001","N","grasslandHerbaceous",47.128438,-99.257769,"WGS84",1.1,0.0,0.2,"2014-05-21","2014-06-04",1,"BET.WOOD_001.2014.01","WOOD_001.N.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","a/0SlN26fEtmJ3LLysIxkaRUfZvckIBE",,0,0,0
"311048A5F9D84362A33CEE3B3ECABF5A","D09","WOOD","WOOD_007","S","grasslandHerbaceous",47.134575,-99.249894,"WGS84",1.1,0.0,0.1,"2014-05-21","2014-06-04",1,"BET.WOOD_007.2014.01","WOOD_007.S.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","a/0SlN26fEtmJ3LLysIxkaRUfZvckIBE",,0,0,0
"B5322575EB3F4326AE7075EB47E8820A","D09","WOOD","WOOD_007","N","grasslandHerbaceous",47.134935,-99.249895,"WGS84",1.1,0.0,0.1,"2014-05-21","2014-06-04",1,"BET.WOOD_007.2014.01","WOOD_007.N.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","a/0SlN26fEtmJ3LLysIxkaRUfZvckIBE",,0,0,0
"DD7C8E42990F4353947471A53BA38FA8","D09","WOOD","WOOD_007","W","grasslandHerbaceous",47.134755,-99.250158,"WGS84",1.1,0.0,0.1,"2014-05-21","2014-06-04",1,"BET.WOOD_007.2014.01","WOOD_007.W.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","a/0SlN26fEtmJ3LLysIxkaRUfZvckIBE",,0,0,0
"D8F635DB4E4C4C54A18CE7D5CFA24DEC","D09","WOOD","WOOD_007","E","grasslandHerbaceous",47.134756,-99.249631,"WGS84",1.1,0.0,0.1,"2014-05-21","2014-06-04",1,"BET.WOOD_007.2014.01","WOOD_007.E.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","a/0SlN26fEtmJ3LLysIxkaRUfZvckIBE",,0,0,0
"497B409705544248AD6C36556364ED18","D09","WOOD","WOOD_006","E","grasslandHerbaceous",47.142319,-99.246909,"WGS84",1.1,0.0,0.2,"2014-05-21","2014-06-04",1,"BET.WOOD_006.2014.01","WOOD_006.E.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",,0,0,0
"3D6B0EB315BD483D9E766CF2C010A5A9","D09","WOOD","WOOD_006","N","grasslandHerbaceous",47.142498,-99.247173,"WGS84",1.1,0.0,0.2,"2014-05-21","2014-06-04",1,"BET.WOOD_006.2014.01","WOOD_006.N.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",,0,0,0
"F829EBC996F849B8897633B05356C68E","D09","WOOD","WOOD_006","S","grasslandHerbaceous",47.142138,-99.247172,"WGS84",1.1,0.0,0.2,"2014-05-21","2014-06-04",1,"BET.WOOD_006.2014.01","WOOD_006.S.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",,0,0,0
"0B27515FD7044C109A32E6A56D716576","D09","WOOD","WOOD_006","W","grasslandHerbaceous",47.142318,-99.247436,"WGS84",1.1,0.0,0.2,"2014-05-21","2014-06-04",1,"BET.WOOD_006.2014.01","WOOD_006.W.20140604",14,"disturbed","ok","ok","Y","NEON.DOC.014050","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","Dirt fell into the trap.",0,0,0
"079892A642F44DBB85B8F8C6CA406E59","D09","WOOD","WOOD_005","W","grasslandHerbaceous",47.149339,-99.252192,"WGS84",1.1,0.0,0.2,"2014-05-21","2014-06-04",1,"BET.WOOD_005.2014.01","WOOD_005.W.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",,0,0,0
"73A9540FAFC849EBA47946F96246657B","D09","WOOD","WOOD_005","N","grasslandHerbaceous",47.149519,-99.251929,"WGS84",1.1,0.0,0.2,"2014-05-21","2014-06-04",1,"BET.WOOD_005.2014.01","WOOD_005.N.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",,0,0,0
"20C2E2B87414411DABA525A6F4672A9A","D09","WOOD","WOOD_005","S","grasslandHerbaceous",47.149159,-99.251927,"WGS84",1.1,0.0,0.2,"2014-05-21","2014-06-04",1,"BET.WOOD_005.2014.01","WOOD_005.S.20140604",14,"ok","ok","ok","Y","NEON.DOC.014050","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",,0,0,0
