"uid","domainID","siteID","plotID","trapID","collectDate","etOHChangeDate","processingDate","identifiedDate","associatedSampleID","sampleID","targetTaxaPresent","sampleType","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","individualCount","identificationReferences","identifiedBy","recordedBy","remarks","duplicateSampleIDQF"
"95F7F219E9974FB2AFD2EDE6B04D568D","D09","WOOD","WOOD_021","E","2014-06-04","2014-06-05","2015-03-01",,"WOOD_021.20140604.ib.01","WOOD_021.20140604.ib.01","Y","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"638751EF31394449B2CB5D1DCDFA026B","D09","WOOD","WOOD_003","N","2014-06-04","2014-06-05","2015-03-01",,"WOOD_003.N.20140604.oc.01",,"Y","other carabid",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"8A0443DA84F74710BB15DD154377E84A","D09","WOOD","WOOD_003","S","2014-06-04","2014-06-05","2015-03-01",,"WOOD_003.S.20140604.oc.01",,"Y","other carabid",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"2CCAAAB7ABCA4972B0E4DAC4D9C79007","D09","WOOD","WOOD_003","S","2014-06-04","2014-06-05","2015-03-01",,"WOOD_003.20140604.ib.02","WOOD_003.20140604.ib.02","Y","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"F4985B51843B4F1A89E13D930FB31CEA","D09","WOOD","WOOD_003","N","2014-06-04","2014-06-05","2015-03-01",,"WOOD_003.20140604.ib.01","WOOD_003.20140604.ib.01","Y","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,2
"C5DCDC4BEA384D169791FA9E60895201","D09","WOOD","WOOD_003","E","2014-06-04","2014-06-05","2015-03-01",,"WOOD_003.20140604.ib.01","WOOD_003.20140604.ib.01","Y","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,2
"6FB94465F9DE44FA81A860698AC835C5","D09","WOOD","WOOD_003","W","2014-06-04","2014-06-05","2015-03-01",,"WOOD_003.20140604.ib.01","WOOD_003.20140604.ib.01","Y","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,2
"184181AD9FDF4A7AAF6801B1143AB09B","D09","WOOD","WOOD_003","E","2014-06-04","2014-06-05","2015-03-01",,"WOOD_003.E.20140604.oc.01",,"Y","other carabid",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"1C56E545C9164EF4BBD028E2D0E7130A","D09","WOOD","WOOD_002","E","2014-06-04","2014-06-05","2015-03-01",,"WOOD_002.E.20140604.oc.01",,"Y","other carabid",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"5320DABE0686433E9D2A0A7FBB94810E","D09","WOOD","WOOD_002","N","2014-06-04","2014-06-05","2015-03-01",,"WOOD_002.N.20140604.oc.01",,"Y","other carabid",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"8414B98695DB4D198ABBD1204A0C8D2F","D09","WOOD","WOOD_002","S","2014-06-04","2014-06-05","2015-03-01",,"WOOD_002.20140604.ib.02","WOOD_002.20140604.ib.02","N","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"F446529F20CA43779B71B9BCA1CEB9A7","D09","WOOD","WOOD_002","E","2014-06-04","2014-06-05","2015-03-01",,"WOOD_002.20140604.ib.03","WOOD_002.20140604.ib.03","Y","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"1C1717DFBB624493AF5E528E36C1F6F2","D09","WOOD","WOOD_002","N","2014-06-04","2014-06-05","2015-03-01",,"WOOD_002.20140604.ib.01","WOOD_002.20140604.ib.01","Y","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,2
"C91C8DB26FF940A19765A6211F95697F","D09","WOOD","WOOD_002","W","2014-06-04","2014-06-05","2015-03-01",,"WOOD_002.20140604.ib.01","WOOD_002.20140604.ib.01","N","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,2
"A1B685CA5FE44389907F95793D33C5D2","D09","WOOD","WOOD_001","N","2014-06-04","2014-06-05","2015-03-01",,"WOOD_001.N.20140604.oc.01",,"Y","other carabid",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"A9397D39D5A344C4B208093185EDB397","D09","WOOD","WOOD_001","W","2014-06-04","2014-06-05","2015-03-01",,"WOOD_001.W.20140604.oc.01",,"Y","other carabid",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"202B99C6D87F4E0C8048F00E7678E99B","D09","WOOD","WOOD_001","N","2014-06-04","2014-06-05","2015-03-01",,"WOOD_001.20140604.ib.01","WOOD_001.20140604.ib.01","Y","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,2
"0E5BCAC7B885499084F76617E68A9119","D09","WOOD","WOOD_001","W","2014-06-04","2014-06-05","2015-03-01",,"WOOD_001.20140604.ib.01","WOOD_001.20140604.ib.01","Y","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,2
"95016BD28D364CD4AC58DA81C08E44D4","D09","WOOD","WOOD_001","S","2014-06-04","2014-06-05","2015-03-01",,"WOOD_001.20140604.ib.02","WOOD_001.20140604.ib.02","N","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"8B63D984068B417B99F46936DEBA6C9D","D09","WOOD","WOOD_001","E","2014-06-04","2014-06-05","2015-03-01",,"WOOD_001.20140604.ib.03","WOOD_001.20140604.ib.03","N","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"66D35ABE1E1F4330903B09DBE069FC6C","D09","WOOD","WOOD_007","S","2014-06-04","2014-06-05","2015-03-01",,"WOOD_007.S.20140604.oc.01",,"Y","other carabid",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"DD70B6EA206E4BE58EAFD4FDEBFEB8B7","D09","WOOD","WOOD_007","E","2014-06-04","2014-06-05","2015-03-01",,"WOOD_007.20140604.ib.03","WOOD_007.20140604.ib.03","Y","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"A18FD9F8270A4622A1D281D8748F0827","D09","WOOD","WOOD_007","W","2014-06-04","2014-06-05","2015-03-01",,"WOOD_007.20140604.ib.04","WOOD_007.20140604.ib.04","Y","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"9A45C76FD3714904A767DCB8835203CE","D09","WOOD","WOOD_007","N","2014-06-04","2014-06-05","2015-03-01",,"WOOD_007.20140604.ib.01","WOOD_007.20140604.ib.01","Y","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"BBA56C1454234E75AD80502504F10FAD","D09","WOOD","WOOD_007","S","2014-06-04","2014-06-05","2015-03-01",,"WOOD_007.20140604.ib.02","WOOD_007.20140604.ib.02","Y","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"F0CA5CD457D84D019285FBD6BC675FD9","D09","WOOD","WOOD_007","N","2014-06-04","2014-06-05","2015-03-01",,"WOOD_007.N.20140604.oc.01",,"Y","other carabid",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"C53763DEB7D94338AC4D00D26A528C1E","D09","WOOD","WOOD_007","W","2014-06-04","2014-06-05","2015-03-01",,"WOOD_007.W.20140604.oc.01",,"Y","other carabid",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"47FAA488BC024CE0B9C902A0C71AF0F7","D09","WOOD","WOOD_007","E","2014-06-04","2014-06-05","2015-03-01",,"WOOD_007.E.20140604.oc.01",,"Y","other carabid",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"08E6A0AD1A6C494985A7F4253C910E3D","D09","WOOD","WOOD_006","W","2014-06-04","2014-06-05","2015-03-01",,"WOOD_006.20140604.ib.04","WOOD_006.20140604.ib.04","N","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"DDA01475AE444B2087989B2EA2010F5E","D09","WOOD","WOOD_006","N","2014-06-04","2014-06-05","2015-03-01",,"WOOD_006.20140604.ib.01","WOOD_006.20140604.ib.01","N","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"A4FCD07AE8EF4FD8ADCDD9249932F542","D09","WOOD","WOOD_006","S","2014-06-04","2014-06-05","2015-03-01",,"WOOD_006.20140604.ib.02","WOOD_006.20140604.ib.02","Y","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"10CC81A280C84D3A9940CFEBC93F7DCE","D09","WOOD","WOOD_006","E","2014-06-04","2014-06-05","2015-03-01",,"WOOD_006.20140604.ib.03","WOOD_006.20140604.ib.03","N","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"DD7A8A84A289417F8003DE87E5E43243","D09","WOOD","WOOD_006","S","2014-06-04","2014-06-05","2015-03-01",,"WOOD_006.S.20140604.oc.01",,"Y","other carabid",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
"40AC9626DAC7488B827B6A09CFA3A507","D09","WOOD","WOOD_005","N","2014-06-04","2014-06-05","2015-03-01",,"WOOD_005.20140604.ib.01","WOOD_005.20140604.ib.01","Y","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,2
"AE1801C4C51144778B2030CCEFE1276E","D09","WOOD","WOOD_005","W","2014-06-04","2014-06-05","2015-03-01",,"WOOD_005.20140604.ib.01","WOOD_005.20140604.ib.01","Y","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,2
"C4DCC94B41054F31850729F6B8B2B838","D09","WOOD","WOOD_005","S","2014-06-04","2014-06-05","2015-03-01",,"WOOD_005.20140604.ib.02","WOOD_005.20140604.ib.02","N","invert bycatch",,,,,,,,,,"4oCBvlQIQ4DhSH30J22+0bs0GAacIQwk",,0
