"uid","domainID","siteID","plotID","trapID","collectDate","etOHChangeDate","processingDate","identifiedDate","associatedSampleID","sampleID","targetTaxaPresent","sampleType","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","individualCount","identificationReferences","identifiedBy","recordedBy","remarks","duplicateSampleIDQF"
"12ACDBE2E8B94C87BD020E6491DDCF77","D10","CPER","CPER_003","W","2014-06-05","2014-06-06","2014-11-06","2014-11-06","CPER_003.W.20140605.PASELO.01","CPER_003.W.20140605.PASELO.01","Y","common carabid","PASELO","Pasimachus elongatus","species",,"LeConte",,2,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,0
"4F2DD976F2FD4B008D2D15B46578EA10","D10","CPER","CPER_006","E","2014-06-05","2014-06-06","2014-11-06",,"CPER_006.20140605.ib.01","CPER_006.20140605.ib.01","Y","invert bycatch",,,,,,,,,,"XdS8CDjUuNjPJ6QmvBH0ukFyxBLMfwwN",,2
"DC7305CA4D7E424584699FF21A8E75DE","D10","CPER","CPER_006","W","2014-06-05","2014-06-06","2014-11-06",,"CPER_006.20140605.ib.01","CPER_006.20140605.ib.01","Y","invert bycatch",,,,,,,,,,"XdS8CDjUuNjPJ6QmvBH0ukFyxBLMfwwN",,2
"76651C326C6A4D07847DF5D4E659930E","D10","CPER","CPER_006","N","2014-06-05","2014-06-06","2014-11-06",,"CPER_006.20140605.ib.01","CPER_006.20140605.ib.01","N","invert bycatch",,,,,,,,,,"N7nP5pe6dRdg5ouR8ph2jkGtnTJtrcdp",,2
"A99CB17D79D6439D8581B4F0E21B0846","D10","CPER","CPER_006","S","2014-06-05","2014-06-06","2014-11-06",,"CPER_006.20140605.ib.01","CPER_006.20140605.ib.01","N","invert bycatch",,,,,,,,,,"N7nP5pe6dRdg5ouR8ph2jkGtnTJtrcdp",,2
"616777B99942400A80056D87FF0D23DD","D10","CPER","CPER_006","W","2014-06-05","2014-06-06","2014-11-06","2014-11-06","CPER_006.W.20140605.PASELO.01","CPER_006.W.20140605.PASELO.01","Y","common carabid","PASELO","Pasimachus elongatus","species",,"LeConte",,2,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"AADE8C41ABD748798B2249D6E300B974","D10","CPER","CPER_006","E","2014-06-05","2014-06-06","2014-11-06","2014-11-06","CPER_006.E.20140605.PASELO.01","CPER_006.E.20140605.PASELO.01","Y","common carabid","PASELO","Pasimachus elongatus","species",,"LeConte",,1,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","N7nP5pe6dRdg5ouR8ph2jkGtnTJtrcdp",,0
"694C9F4435C847F5BDD9AC51ED06308D","D10","CPER","CPER_005","E","2014-06-05","2014-06-06","2014-11-07","2014-11-07","CPER_005.E.20140605.DYSGLO.01","CPER_005.E.20140605.DYSGLO.01","Y","common carabid","DYSGLO","Dyschirius globulosus","species",,"Say",,1,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","N7nP5pe6dRdg5ouR8ph2jkGtnTJtrcdp",,0
"C281F986463A425793CCDD927E09C80C","D10","CPER","CPER_005","S","2014-06-05","2014-06-06","2014-11-07",,"CPER_005.S.20140605.oc.01",,"Y","other carabid",,,,,,,,,,"N7nP5pe6dRdg5ouR8ph2jkGtnTJtrcdp",,0
"8880F0A6631B4CFB9EF68E17FB54EDBE","D10","CPER","CPER_005","W","2014-06-05","2014-06-06","2014-11-07",,"CPER_005.20140605.ib.01","CPER_005.20140605.ib.01","N","invert bycatch",,,,,,,,,,"N7nP5pe6dRdg5ouR8ph2jkGtnTJtrcdp",,2
