"uid","domainID","siteID","plotID","trapID","collectDate","etOHChangeDate","processingDate","identifiedDate","associatedSampleID","sampleID","targetTaxaPresent","sampleType","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","individualCount","identificationReferences","identifiedBy","recordedBy","remarks","duplicateSampleIDQF"
"B88406F206D54D7695B4A9A8E6FDCA7E","D10","STER","STER_006","W","2014-06-24","2014-06-25","2014-07-28",,"STER_006.W.20140624.oc.01",,"Y","other carabid",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"0C685AF8173D4724AE759331AE846C72","D10","STER","STER_035","E","2014-06-24","2014-06-25","2014-07-25",,"STER_035.E.20140624.oc.01",,"Y","other carabid",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"538BDDCA66A9470DBBDCBDA0234192F8","D10","STER","STER_035","S","2014-06-24","2014-06-25","2014-07-25",,"STER_035.S.20140624.oc.01",,"Y","other carabid",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"DD1E75C26E9B4567B9FF0D7552C0D407","D10","STER","STER_035","W","2014-06-24","2014-06-25","2014-07-25","2014-11-25","STER_035.W.20140624.POESCI.01","STER_035.W.20140624.POESCI.01","Y","common carabid","POESCI","Poecilus scitulus","species",,"LeConte",,1,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"B74A9ADDEFED428A940FFD1B061B44DC","D10","STER","STER_035","N","2014-06-24","2014-06-25","2014-07-25",,"STER_035.20140624.ib.03","STER_035.20140624.ib.03","Y","invert bycatch",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"AD350B67D6E34FBD809354857E7D7AED","D10","STER","STER_035","E","2014-06-24","2014-06-25","2014-07-25","2014-11-25","STER_035.E.20140624.AMACAR.01","STER_035.E.20140624.AMACAR.01","Y","common carabid","AMACAR","Amara carinata","species",,"LeConte",,2,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"47BC8F5973D24803986B6CDD689F8977","D10","STER","STER_035","S","2014-06-24","2014-06-25","2014-07-25","2014-11-25","STER_035.S.20140624.PASELO.01","STER_035.S.20140624.PASELO.01","Y","common carabid","PASELO","Pasimachus elongatus","species",,"LeConte",,1,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"4325500DA5FB45278A33B7DF189BAB01","D10","STER","STER_035","S","2014-06-24","2014-06-25","2014-07-25","2014-11-25","STER_035.S.20140624.AMACAR.01","STER_035.S.20140624.AMACAR.01","Y","common carabid","AMACAR","Amara carinata","species",,"LeConte",,1,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"82DF0FFF1E1245D3BE05232165B3878B","D10","STER","STER_035","W","2014-06-24","2014-06-25","2014-07-25",,"STER_035.W.20140624.oc.01",,"Y","other carabid",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"A7FC961BAB7D468E883C8F9A3358DA68","D10","STER","STER_034","W","2014-06-24","2014-06-25","2014-10-09",,"STER_034.W.20140624.oc.01",,"Y","other carabid",,,,,,,,,,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"00D36D5EEFB348EFA519F72D978A1530","D10","STER","STER_034","W","2014-06-24","2014-06-25","2014-10-09","2014-10-09","STER_034.W.20140624.AMACAR.01","STER_034.W.20140624.AMACAR.01","Y","common carabid","AMACAR","Amara carinata","species",,"LeConte",,1,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
"E368E8124B144BD0B2BBCC2CA1F9A624","D10","STER","STER_034","N","2014-06-24","2014-06-25","2014-10-09","2014-10-09","STER_034.N.20140624.AMACAR.01","STER_034.N.20140624.AMACAR.01","Y","common carabid","AMACAR","Amara carinata","species",,"LeConte",,1,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,0
