"uid","domainID","siteID","plotID","trapID","collectDate","processingDate","identifiedDate","sampleID","individualID","specimenSource","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","identificationReferences","identifiedBy","recordedBy","remarks","duplicateIndividualIDQF"
"8559A0831D58406EB30FD7ED6ACA797B","D15","ONAQ","ONAQ_004","N","2014-07-03","2015-04-14","2015-04-14","ONAQ_004.N.20140703.oc.01","NEON.BET.D15.000070","vial of pooled individuals",,,,,,"D15.2014.MorphE",""American Beetles" Arnett/ Thomas 2001","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","Tribe: Hairy Harpalini",0
"C1AB804DA82342D2ADEBBDE7C6228632","D15","ONAQ","ONAQ_012","W","2014-07-03","2015-04-15","2015-04-15","ONAQ_012.W.20140703.oc.01","NEON.BET.D15.000162","vial of pooled individuals",,,,,,"D15.2014.MorphD",""American Beetles" Arnett/Thomas","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","Tribe: Carabini",0
"300DF7B4A0AB49B7A55BE4F02DD02C58","D15","ONAQ","ONAQ_006","S","2014-07-03","2015-04-14","2015-04-14","ONAQ_006.S.20140703.oc.01","NEON.BET.D15.000057","vial of pooled individuals",,,,,,"D15.2014.MorphD",""American Beetles" Arnett/ Thomas 2001","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","Tribe: Carabini",0
"C82377988EA6485C87D2D71E9ABADA75","D15","ONAQ","ONAQ_006","S","2014-07-03","2015-04-14","2015-04-14","ONAQ_006.S.20140703.oc.01","NEON.BET.D15.000056","vial of pooled individuals",,,,,,"D15.2014.MorphD",""American Beetles" Arnett/ Thomas 2001","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","Tribe: Carabini",0
"611DE4A6FA1F4A1391B8DFA65BABDAF6","D15","ONAQ","ONAQ_007","E","2014-07-03","2015-04-14","2015-04-14","ONAQ_007.E.20140703.cc.01","NEON.BET.D15.000063","vial of pooled individuals",,,,,,"D15.2014.MorphB",""American Beetles" Arnett/ Thomas 2001","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","Tribe: Lebiini",0
"7BC079724AF5413CB82C6D8B8BBCF6A0","D15","ONAQ","ONAQ_007","E","2014-07-03","2015-04-14","2015-04-14","ONAQ_007.E.20140703.cc.01","NEON.BET.D15.000062","vial of pooled individuals",,,,,,"D15.2014.MorphB",""American Beetles" Arnett/ Thomas 2001","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","Tribe: Lebiini",0
"C19CA7DED539453287CD96124C79A2C4","D15","ONAQ","ONAQ_004","W","2014-07-03","2015-04-14","2015-04-14","ONAQ_004.W.20140703.cc.01","NEON.BET.D15.000064","vial of pooled individuals",,,,,,"D15.2014.MorphB",""American Beetles" Arnett/ Thomas 2001","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","Tribe: Lebiini",0
"C8AC552C7366442BA79D52E7D5AEA0AA","D15","ONAQ","ONAQ_004","E","2014-07-03","2015-04-14","2015-04-14","ONAQ_004.E.20140703.cc.01","NEON.BET.D15.000069","vial of pooled individuals",,,,,,"D15.2014.MorphB",""American Beetles" Arnett/ Thomas 2001","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","Tribe: Lebiini",0
"67F4813F2D684E8881F3561A57F048BF","D15","ONAQ","ONAQ_004","E","2014-07-03","2015-04-14","2015-04-14","ONAQ_004.E.20140703.cc.01","NEON.BET.D15.000068","vial of pooled individuals",,,,,,"D15.2014.MorphB",""American Beetles" Arnett/ Thomas 2001","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","Tribe: Lebiini",0
"D585F2DC9CD5421C842276C1AA27D58F","D15","ONAQ","ONAQ_006","S","2014-07-17","2015-04-16","2015-04-16","ONAQ_006.S.20140717.oc.01","NEON.BET.D15.000222","vial of pooled individuals",,,,,,"D15.2014.MorphD",""American Beetles" Arnett/ Thomas 2001","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","Tribe: Carabini",0
"8113FBF652C549B6BC58054E874B3332","D15","ONAQ","ONAQ_012","S","2014-07-17","2015-04-16","2015-04-16","ONAQ_012.S.20140717.oc.01","NEON.BET.D15.000166","vial of pooled individuals",,,,,,"D15.2014.MorphD",""American Beetles" Arnett/Thomas","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","Tribe: Carabini",2
"628D6041EEF94959AC2827507337DE6E","D15","ONAQ","ONAQ_012","S","2014-07-17","2015-04-16","2015-04-16","ONAQ_012.S.20140717.oc.01","NEON.BET.D15.000166","vial of pooled individuals",,,,,,"D15.2014.MorphD",""American Beetle" Arnett/Thomas","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","Tribe: Carabini",2
"FFEE4D6F941D4EC6A922D79C47A5274A","D15","ONAQ","ONAQ_012","S","2014-07-17","2015-04-15","2015-04-15","ONAQ_012.S.20140717.oc.01","NEON.BET.D15.000164","vial of pooled individuals",,,,,,"D15.2014.MorphI",""American Beetles" Arnett/Thomas","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","Tribe: Carabini",0
"7DBF6A3882034617907782413379FD52","D15","ONAQ","ONAQ_012","W","2014-07-17","2015-04-15","2015-04-15","ONAQ_012.W.20140717.oc.01","NEON.BET.D15.000165","vial of pooled individuals",,,,,,"D15.2014.MorphI",""American Beetles" Arnett/Thomas","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","Tribe: Carabini",0
"9984A4D7DECD4C138B41E8ED45EC6F14","D15","ONAQ","ONAQ_012","S","2014-07-17","2015-04-16","2015-04-16","ONAQ_012.S.20140717.oc.01","NEON.BET.D15.000221","vial of pooled individuals",,,,,,"D15.2014.MorphI",""American Beetles" Arnett/ Thomas 2001","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","Tribe: Carabini",0
"CFC4D9FEBA1E421CA41A18B6DD7178C4","D15","ONAQ","ONAQ_012","S","2014-07-17","2015-04-16","2015-04-16","ONAQ_012.S.20140717.oc.01","NEON.BET.D15.000220","vial of pooled individuals",,,,,,"D15.2014.MorphI",""American Beetles" Arnett/ Thomas 2001","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","Tribe: Carabini",0
"77F5279F7EC044EFA9C2693D5F99F0D0","D15","ONAQ","ONAQ_010","W","2014-07-17","2015-04-14","2015-04-14","ONAQ_010.W.20140717.oc.01","NEON.BET.D15.000120","vial of pooled individuals",,,,,,"D15.2014.MorphD",""American Beetles" Arnett/ Thomas 2001","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","Tribe: Carabini",0
"48CA88B3206B4668A00862DAE87656BC","D15","ONAQ","ONAQ_009","W","2014-07-17","2015-04-16","2015-04-16","ONAQ_009.W.20140717.oc.01","NEON.BET.D15.000167","vial of pooled individuals",,,,,,"D15.2014.MorphH",""American Beetles" Arnett/Thomas","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","Tribe: Harapalini",0
"6B2644F706564A7B862D29D2728A9404","D15","ONAQ","ONAQ_010","S","2014-07-19","2015-04-14","2015-04-14","ONAQ_010.S.20140719.cc.01","NEON.BET.D15.000108","vial of pooled individuals",,,,,,"D15.2014.MorphB",""American Beetles" Arnett/ Thomas 2001","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","Tribe: Lebiini",0
