"uid","domainID","siteID","plotID","trapID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDate","collectDate","boutNumber","eventID","sampleID","daysOfTrapping","cupStatus","lidStatus","fluidLevel","trapReset","samplingProtocol","recordedBy","remarks","missingRecordsPerBoutQF","duplicateCollectionEventQF","compareSetCollectDateQF"
"D2B08F47775A4A5999B15921006DC149","D15","ONAQ","ONAQ_002","N","shrubScrub",40.193497,-112.464539,"WGS84",1.1,0.0,0.1,"2014-06-19","2014-07-03",1,"BET.ONAQ_002.2014.01","ONAQ_002.N.20140703",14,"ok","ok","low","Y","NEON.DOC.014050","xwW9faweG9yezxUGEB9quDydrYQYJWI4","added 250mL PG",0,0,0
"58EFD69DCB7A4D51B0F71F79E5D5989B","D15","ONAQ","ONAQ_012","S","evergreenForest",40.184764,-112.529539,"WGS84",1.1,0.0,0.1,"2014-06-19","2014-07-03",1,"BET.ONAQ_012.2014.01","ONAQ_012.S.20140703",14,"ok","ok","low","Y","NEON.DOC.014050","qnNRlNDF2ndv9+C3oWEt5IdhKZpI37LJ",,0,0,0
"AC58A4CBA84545078257CDD3BA78B3FF","D15","ONAQ","ONAQ_012","W","evergreenForest",40.184941,-112.529778,"WGS84",1.1,0.0,0.1,"2014-06-19","2014-07-03",1,"BET.ONAQ_012.2014.01","ONAQ_012.W.20140703",14,"ok","ok","low","Y","NEON.DOC.014050","qnNRlNDF2ndv9+C3oWEt5IdhKZpI37LJ",,0,0,0
"CF17A9CB2B414D36A64011200A59FEE4","D15","ONAQ","ONAQ_012","N","evergreenForest",40.185124,-112.529548,"WGS84",1.1,0.0,0.1,"2014-06-19","2014-07-03",1,"BET.ONAQ_012.2014.01","ONAQ_012.N.20140703",14,"ok","ok","low","Y","NEON.DOC.014050","qnNRlNDF2ndv9+C3oWEt5IdhKZpI37LJ",,0,0,0
"247814FE09C846E18099F2CACF100BEB","D15","ONAQ","ONAQ_012","E","evergreenForest",40.184947,-112.529309,"WGS84",1.1,0.0,0.1,"2014-06-19","2014-07-03",1,"BET.ONAQ_012.2014.01","ONAQ_012.E.20140703",14,"ok","ok","low","Y","NEON.DOC.014050","qnNRlNDF2ndv9+C3oWEt5IdhKZpI37LJ",,0,0,0
"42DFB88A01194F55A9D04B4EA2156795","D15","ONAQ","ONAQ_010","S","evergreenForest",40.200863,-112.497125,"WGS84",1.1,0.0,0.1,"2014-06-19","2014-07-03",1,"BET.ONAQ_010.2014.01","ONAQ_010.S.20140703",14,"ok","ok","low","Y","NEON.DOC.014050","xwW9faweG9yezxUGEB9quDydrYQYJWI4","added 250 mL PG to cup",0,0,0
"122C4F28187B46BE94309A2564E07038","D15","ONAQ","ONAQ_010","N","evergreenForest",40.201224,-112.497133,"WGS84",1.1,0.0,0.1,"2014-06-19","2014-07-03",1,"BET.ONAQ_010.2014.01","ONAQ_010.N.20140703",14,"ok","ok","low","Y","NEON.DOC.014050","xwW9faweG9yezxUGEB9quDydrYQYJWI4","added 250 mL PG to cup",0,0,0
"1F9F39AEFBCB4A6EA4CFED9A98CFF18B","D15","ONAQ","ONAQ_010","W","evergreenForest",40.201040,-112.497364,"WGS84",1.1,0.0,0.1,"2014-06-19","2014-07-03",1,"BET.ONAQ_010.2014.01","ONAQ_010.W.20140703",14,"ok","ok","low","Y","NEON.DOC.014050","xwW9faweG9yezxUGEB9quDydrYQYJWI4","added 250 mL PG to cup",0,0,0
"8613A58339FD4222AD2B78A765CD3E32","D15","ONAQ","ONAQ_010","E","evergreenForest",40.201046,-112.496895,"WGS84",1.1,0.0,0.1,"2014-06-19","2014-07-03",1,"BET.ONAQ_010.2014.01","ONAQ_010.E.20140703",14,"ok","ok","low","Y","NEON.DOC.014050","xwW9faweG9yezxUGEB9quDydrYQYJWI4","added 250mL PG to cup",0,0,0
"AB26EDF7B65C41558A9F044BFDCFEE71","D15","ONAQ","ONAQ_009","E","shrubScrub",40.160806,-112.471015,"WGS84",1.1,0.0,0.1,"2014-06-19","2014-07-03",1,"BET.ONAQ_009.2014.01","ONAQ_009.E.20140703",14,"ok","ok","low","Y","NEON.DOC.014050","qnNRlNDF2ndv9+C3oWEt5IdhKZpI37LJ","dead lizard in trap",0,0,0
